station,date,temp,glorad
606900,01/01/2021,0.1,1.1
606900,02/01/2021,0.4,1.1
606900,03/01/2021,1.2,0.9
606900,04/01/2021,-0.1,0.5
606900,05/01/2021,0.9,0.7
606900,06/01/2021,-0.1,0.4
606900,07/01/2021,0,0.4
606900,08/01/2021,-0.2,0.8
606900,09/01/2021,0.2,0.8
606900,10/01/2021,0.8,1.6
606900,11/01/2021,4.1,1.1
606900,12/01/2021,0.7,2.1
606900,13/01/2021,0.2,1
606900,14/01/2021,-1.8,0.6
606900,15/01/2021,-3.4,1.2
606900,16/01/2021,-5.7,4.2
606900,17/01/2021,-1.2,2.6
606900,18/01/2021,0,1.1
606900,19/01/2021,1.6,0.9
606900,20/01/2021,5.3,0.6
606900,21/01/2021,5.2,2
606900,22/01/2021,4.2,2.1
606900,23/01/2021,1.9,1.7
606900,24/01/2021,1.2,1.5
606900,25/01/2021,0.3,1.7
606900,26/01/2021,-1.1,2.3
606900,27/01/2021,0.3,1.3
606900,28/01/2021,-2.6,5.4
606900,29/01/2021,-3.6,2.4
606900,30/01/2021,-2.1,3.4
606900,31/01/2021,-0.8,5.7
606900,01/02/2021,-2.5,5.4
606900,02/02/2021,-4.8,3.6
606900,03/02/2021,-2.2,1.7
606900,04/02/2021,-4.2,2.3
606900,05/02/2021,-5,3.4
606900,06/02/2021,-4.9,6.1
606900,07/02/2021,-4.4,2.9
606900,08/02/2021,-3.3,3.2
606900,09/02/2021,-4.4,2.5
606900,10/02/2021,-5.3,6.9
606900,11/02/2021,-7.4,5.1
606900,12/02/2021,-7.6,8.8
606900,13/02/2021,-6,8.5
606900,14/02/2021,-5.2,7.8
606900,15/02/2021,-1.3,2
606900,16/02/2021,-1.2,2.9
606900,17/02/2021,0.6,2.3
606900,18/02/2021,2.8,2.2
606900,19/02/2021,4.2,6.3
606900,20/02/2021,6.3,4.4
606900,21/02/2021,7.4,6.3
606900,22/02/2021,6,6.9
606900,23/02/2021,6.4,2.3
606900,24/02/2021,9.8,2.6
606900,25/02/2021,8.4,4.8
606900,26/02/2021,5.6,4.5
606900,27/02/2021,5.1,8.7
606900,28/02/2021,5.5,8.9
606900,01/03/2021,4.3,5
606900,02/03/2021,3.8,11.2
606900,03/03/2021,1.4,6.8
606900,04/03/2021,0.9,11.9
606900,05/03/2021,0.1,12.2
606900,06/03/2021,2.7,5.9
606900,07/03/2021,3,11.4
606900,08/03/2021,-0.5,13
606900,09/03/2021,-0.1,13.6
606900,10/03/2021,0.5,6.2
606900,11/03/2021,4.5,2.4
606900,12/03/2021,4.3,5.8
606900,13/03/2021,2.9,3.1
606900,14/03/2021,4,8.6
606900,15/03/2021,3.7,6.3
606900,16/03/2021,2.7,13.2
606900,17/03/2021,2.7,8
606900,18/03/2021,1.5,11.9
606900,19/03/2021,0.6,12.7
606900,20/03/2021,3.5,4.7
606900,21/03/2021,4.6,13.4
606900,22/03/2021,4.1,6.2
606900,23/03/2021,5.6,8.2
606900,24/03/2021,6.9,9
606900,25/03/2021,6.3,12.9
606900,26/03/2021,6.9,6.9
606900,27/03/2021,5.4,8.1
606900,28/03/2021,6,3.5
606900,29/03/2021,8.9,2.8
606900,30/03/2021,10.6,16.3
606900,31/03/2021,9.9,10.2
606900,01/04/2021,6.5,17.5
606900,02/04/2021,5.6,15.7
606900,03/04/2021,4.6,17.7
606900,04/04/2021,5.3,6.4
606900,05/04/2021,2.4,11.5
606900,06/04/2021,3.1,16.2
606900,07/04/2021,3.7,12.3
606900,08/04/2021,3.3,8.9
606900,09/04/2021,4.7,14.8
606900,10/04/2021,2.8,16.3
606900,11/04/2021,1.1,3.7
606900,12/04/2021,2.9,15.8
606900,13/04/2021,4.2,16.8
606900,14/04/2021,4.1,17.9
606900,15/04/2021,4.4,15.8
606900,16/04/2021,5.4,18.6
606900,17/04/2021,8.3,16.7
606900,18/04/2021,9.9,20.9
606900,19/04/2021,10.3,21.7
606900,20/04/2021,10.3,22.7
606900,21/04/2021,6.6,19.5
606900,22/04/2021,6.5,23.9
606900,23/04/2021,6,16.3
606900,24/04/2021,5.1,23
606900,25/04/2021,4.2,23.6
606900,26/04/2021,4.2,17.7
606900,27/04/2021,5.2,23.1
606900,28/04/2021,6.6,15.7
606900,29/04/2021,7.4,18.4
606900,30/04/2021,6.2,4.2
606900,01/05/2021,6.9,12.9
606900,02/05/2021,8.3,18.2
606900,03/05/2021,6.7,16.4
606900,04/05/2021,6.5,5.8
606900,05/05/2021,6,8.5
606900,06/05/2021,4.7,10.9
606900,07/05/2021,5.2,15.8
606900,08/05/2021,7.6,20.6
606900,09/05/2021,13.3,18.6
606900,10/05/2021,14.9,15
606900,11/05/2021,11.5,8.6
606900,12/05/2021,10.4,4.5
606900,13/05/2021,11.2,11.5
606900,14/05/2021,11.2,9.3
606900,15/05/2021,8.4,7.6
606900,16/05/2021,9.5,6.7
606900,17/05/2021,9.8,11.2
606900,18/05/2021,9.8,16.1
606900,19/05/2021,8.7,12.2
606900,20/05/2021,8.8,20
606900,21/05/2021,9.8,15.2
606900,22/05/2021,9.9,10.8
606900,23/05/2021,8.6,8.6
606900,24/05/2021,10.1,8.5
606900,25/05/2021,10.3,7.2
606900,26/05/2021,8.7,6
