Day of sim.,Day of year,Year,Slurry mass,Frozen mass,Slurry depth,Air T,Wall T,Floor T,In T,Slurry T
,,,(Mg = 1000 kg),(Mg = 1000 kg),(m),(deg. C),(deg. C),(deg. C),(deg. C),(deg. C)
day,doy,year,slurry_mass,frozen_mass,slurry_depth,air_temp,wall_temp,floor_temp,in_temp,slurry_temp
   1, 64,   1, 4714.35,    0.00,    4.90,    3.90,    6.15,    6.60,   10.00,    9.97
   2, 65,   1, 4683.12,    0.00,    4.87,    2.90,    5.40,    6.20,    9.94,    9.90
   3, 66,   1, 4651.88,    0.00,    4.84,    4.40,    5.65,    6.08,    9.87,    9.83
   4, 67,   1, 4620.64,    0.00,    4.80,    3.80,    6.10,    5.88,    9.81,    9.77
   5, 68,   1, 4589.40,    0.00,    4.77,    6.50,    7.15,    6.30,    9.74,    9.73
   6, 69,   1, 4558.17,    0.00,    4.74,    6.60,    8.55,    6.84,    9.71,    9.69
   7, 70,   1, 4526.93,    0.00,    4.71,    6.00,    8.30,    7.46,    9.68,    9.65
   8, 71,   1, 4495.69,    0.00,    4.67,    7.00,    8.50,    7.98,    9.63,    9.62
   9, 72,   1, 4464.45,    0.00,    4.64,    6.10,    8.55,    8.44,    9.61,    9.60
  10, 73,   1, 4433.22,    0.00,    4.61,    4.30,    7.20,    8.00,    9.58,    9.56
  11, 74,   1, 4401.98,    0.00,    4.58,    2.40,    5.35,    7.16,    9.53,    9.50
  12, 75,   1, 4370.74,    0.00,    4.54,    6.40,    6.40,    7.24,    9.46,    9.45
  13, 76,   1, 4339.51,    0.00,    4.51,    7.60,    9.00,    7.36,    9.43,    9.42
  14, 77,   1, 4308.27,    0.00,    4.48,    6.90,    9.25,    7.52,    9.41,    9.40
  15, 78,   1, 4277.03,    0.00,    4.45,    7.50,    9.20,    8.16,    9.39,    9.38
  16, 79,   1, 4245.79,    0.00,    4.41,    6.20,    8.85,    8.92,    9.37,    9.36
  17, 80,   1, 4214.56,    0.00,    4.38,    4.80,    7.50,    8.60,    9.35,    9.33
  18, 81,   1, 4183.32,    0.00,    4.35,    2.80,    5.80,    7.64,    9.31,    9.28
  19, 82,   1, 4152.08,    0.00,    4.32,    1.50,    4.15,    6.56,    9.25,    9.21
  20, 83,   1, 4120.84,    0.00,    4.28,    1.60,    3.55,    5.38,    9.17,    9.13
  21, 84,   1, 4089.61,    0.00,    4.25,    3.30,    4.45,    4.80,    9.09,    9.06
  22, 85,   1, 4058.37,    0.00,    4.22,    4.00,    5.65,    4.64,    9.03,    9.01
  23, 86,   1, 4027.13,    0.00,    4.19,    3.90,    5.95,    4.86,    8.98,    8.96
  24, 87,   1, 3995.90,    0.00,    4.15,    5.40,    6.65,    5.64,    8.93,    8.92
  25, 88,   1, 3964.66,    0.00,    4.12,    4.10,    6.75,    6.14,    8.90,    8.88
  26, 89,   1, 3933.42,    0.00,    4.09,    1.90,    5.00,    5.86,    8.85,    8.82
  27, 90,   1, 3902.18,    0.00,    4.06,    3.50,    4.70,    5.76,    8.79,    8.76
  28, 91,   1, 3870.95,    0.00,    4.02,    2.60,    5.05,    5.50,    8.74,    8.71
  29, 92,   1, 3839.71,    0.00,    3.99,    6.00,    6.30,    5.62,    8.68,    8.66
  30, 93,   1, 3808.47,    0.00,    3.96,    6.40,    8.20,    6.08,    8.65,    8.64
  31, 94,   1, 3777.23,    0.00,    3.93,    4.90,    7.65,    6.68,    8.62,    8.61
  32, 95,   1, 3746.00,    0.00,    3.89,    4.60,    6.75,    6.90,    8.59,    8.57
  33, 96,   1, 3714.76,    0.00,    3.86,    7.90,    8.25,    7.96,    8.56,    8.56
  34, 97,   1, 3683.52,    0.00,    3.83,   11.10,   11.50,    8.98,    8.57,    8.60
  35, 98,   1, 3652.28,    0.00,    3.80,   10.60,   12.85,    9.82,    8.62,    8.65
  36, 99,   1, 3621.05,    0.00,    3.76,    9.80,   12.20,   10.80,    8.68,    8.70
  37,100,   1, 3589.81,    0.00,    3.73,    8.40,   11.10,   11.56,    8.72,    8.73
  38,101,   1, 3558.57,    0.00,    3.70,    5.40,    8.90,   11.06,    8.74,    8.74
  39,102,   1, 3527.33,    0.00,    3.67,    5.90,    7.65,   10.02,    8.73,    8.72
  40,103,   1, 3496.10,    0.00,    3.63,   11.30,   10.60,   10.16,    8.71,    8.74
  41,104,   1, 3464.86,    0.00,    3.60,    5.60,   10.45,    9.32,    8.77,    8.77
  42,105,   1, 3433.62,    0.00,    3.57,    5.70,    7.65,    8.78,    8.76,    8.75
  43,106,   1, 3402.38,    0.00,    3.54,    8.90,    9.30,    9.48,    8.74,    8.76
  44,107,   1, 3371.15,    0.00,    3.50,    8.90,   10.90,   10.08,    8.77,    8.79
  45,108,   1, 3339.91,    0.00,    3.47,    7.10,   10.00,    9.24,    8.81,    8.81
  46,109,   1, 3308.67,    0.00,    3.44,    7.40,    9.25,    9.60,    8.81,    8.82
  47,110,   1, 3277.43,    0.00,    3.41,    7.80,    9.60,   10.02,    8.82,    8.83
  48,111,   1, 3246.20,    0.00,    3.37,    8.60,   10.20,    9.96,    8.84,    8.86
  49,112,   1, 3214.96,    0.00,    3.34,    9.60,   11.10,   10.10,    8.87,    8.90
  50,113,   1, 3183.72,    0.00,    3.31,   10.40,   12.00,   10.76,    8.92,    8.95
  51,114,   1, 3152.48,    0.00,    3.28,   11.20,   12.80,   11.52,    8.98,    9.01
  52,115,   1, 3121.25,    0.00,    3.24,    9.80,   12.50,   11.92,    9.05,    9.07
  53,116,   1, 3090.01,    0.00,    3.21,    9.30,   11.55,   12.06,    9.10,    9.12
  54,117,   1, 3058.77,    0.00,    3.18,    7.40,   10.35,   11.62,    9.14,    9.14
  55,118,   1, 3027.53,    0.00,    3.15,    9.70,   10.55,   11.48,    9.14,    9.16
  56,119,   1, 2996.30,    0.00,    3.11,    9.70,   11.70,   11.18,    9.17,    9.20
  57,120,   1, 2965.06,    0.00,    3.08,    7.10,   10.40,   10.64,    9.22,    9.21
  58,121,   1, 2933.82,    0.00,    3.05,    8.10,    9.60,   10.40,    9.20,    9.20
  59,122,   1, 2902.58,    0.00,    3.02,    8.90,   10.50,   10.70,    9.20,    9.21
