Day of sim.,Day of year,Year,Radiation,Generation,Air,Floor,Lower wall,Upper wall,Feed,Total,Total step,          Total step adjusted,Steady state temp,Steady state used
,,,(W),(W),(W),(W),(W),(W),(W),(W),(J),(J),,
day,doy,year,rad,gen,air,floor,lower_wall,upper_wall,feed,total,total_step,total_adjusted,          steady_state_used,steady_state_temp
   1, 64,   1,  -1986.626,      0.000,  10361.174,   1545.217,      0.000,   3781.006,           -17.,         13771.,      49574848.,      49574848., 5.52,    F
   2, 65,   1,  -1160.413,      0.000,  11949.258,   1695.986,      0.000,   4331.640,             0.,         16916.,      60898292.,      60898292., 3.86,    F
   3, 66,   1,  -1053.101,      0.000,   9274.402,   1723.787,      0.000,   3339.572,             0.,         13364.,      48109860.,      48109860., 5.05,    F
   4, 67,   1,  -1875.227,      0.000,  10197.545,   1787.746,      0.000,   3647.325,             0.,         13840.,      49823412.,      49823412., 4.82,    F
   5, 68,   1,  -1288.522,      0.000,   5505.632,   1576.860,      0.000,   1955.870,             0.,          7797.,      28067514.,      28067514., 6.93,    F
   6, 69,   1,  -1030.446,      0.000,   5276.163,   1311.566,      0.000,   1861.594,             0.,          7464.,      26869734.,      26869734., 7.01,    F
   7, 70,   1,   -428.888,      0.000,   6234.870,   1006.001,      0.000,   2184.780,             0.,          9052.,      32585586.,      32585586., 6.40,    F
   8, 71,   1,  -2525.058,      0.000,   4484.709,    756.053,      0.000,   1560.657,             0.,          4303.,      15489168.,      15489168., 8.07,    F
   9, 72,   1,  -1912.360,      0.000,   5975.765,    529.290,      0.000,   2065.088,             0.,          6699.,      24115594.,      24115594., 7.18,    F
  10, 73,   1,  -1674.707,      0.000,   8974.886,    709.123,      0.000,   3079.814,             0.,         11158.,      40167992.,      40167992., 5.52,    F
  11, 74,   1,  -2974.406,      0.000,  12118.208,   1066.533,      0.000,   4129.173,             0.,         14429.,      51943644.,      51943644., 4.27,    F
  12, 75,   1,   -857.777,      0.000,   5198.718,   1013.286,      0.000,   1758.847,             0.,          7158.,      25767406.,      25767406., 6.85,    F
  13, 76,   1,  -1461.191,      0.000,   3109.933,    949.440,      0.000,   1044.643,             0.,          3666.,      13196752.,      13196752., 8.09,    F
  14, 77,   1,  -1717.411,      0.000,   4270.715,    864.797,      0.000,   1424.229,             0.,          4873.,      17542794.,      17542794., 7.63,    F
  15, 78,   1,   -621.981,      0.000,   3206.640,    559.415,      0.000,   1061.620,             0.,          4232.,      15236939.,      15236939., 7.84,    F
  16, 79,   1,  -2784.990,      0.000,   5397.592,    197.721,      0.000,   1773.926,             0.,          4614.,      16609043.,      16609043., 7.68,    F
  17, 80,   1,  -2636.457,      0.000,   7732.390,    327.896,      0.000,   2522.564,             0.,          7998.,      28791402.,      28791402., 6.41,    F
  18, 81,   1,  -3471.954,      0.000,  11062.016,    744.783,      0.000,   3582.052,             0.,         11994.,      43178996.,      43178996., 4.89,    F
  19, 82,   1,  -2190.859,      0.000,  13152.327,   1206.646,      0.000,   4227.125,             0.,         16502.,      59407892.,      59407892., 3.16,    F
  20, 83,   1,  -3490.521,      0.000,  12849.395,   1716.756,      0.000,   4098.694,             0.,         15274.,      54986068.,      54986068., 3.52,    F
  21, 84,   1,  -3286.288,      0.000,   9831.909,   1957.318,      0.000,   3112.405,             0.,         11692.,      42091340.,      42091340., 4.76,    F
  22, 85,   1,  -3639.054,      0.000,   8546.646,   2008.399,      0.000,   2684.875,             0.,          9665.,      34792760.,      34792760., 5.45,    F
  23, 86,   1,  -3583.354,      0.000,   8633.091,   1883.760,      0.000,   2691.156,             0.,          9689.,      34880380.,      34880380., 5.39,    F
  24, 87,   1,  -3527.654,      0.000,   6007.447,   1508.729,      0.000,   1858.149,             0.,          5886.,      21189624.,      21189624., 6.74,    F
  25, 88,   1,  -2877.823,      0.000,   8156.729,   1256.008,      0.000,   2503.217,             0.,          9099.,      32757558.,      32757558., 5.51,    F
  26, 89,   1,  -3880.420,      0.000,  11814.125,   1354.414,      0.000,   3597.067,             0.,         12973.,      46702732.,      46702732., 4.02,    F
  27, 90,   1,  -3694.754,      0.000,   8983.593,   1377.228,      0.000,   2713.528,             0.,          9444.,      33998112.,      33998112., 5.26,    F
  28, 91,   1,  -3917.553,      0.000,  10425.480,   1470.088,      0.000,   3123.847,             0.,         11178.,      40242596.,      40242596., 4.55,    F
  29, 92,   1,  -1912.360,      0.000,   4543.112,   1400.571,      0.000,   1350.294,             0.,          5419.,      19508442.,      19508442., 6.65,    F
  30, 93,   1,  -1503.895,      0.000,   3813.805,   1176.200,      0.000,   1124.309,             0.,          4643.,      16713615.,      16713615., 6.91,    F
  31, 94,   1,  -3880.420,      0.000,   6337.260,    885.660,      0.000,   1852.900,             0.,          5232.,      18835158.,      18835158., 6.66,    F
  32, 95,   1,  -2506.491,      0.000,   6785.764,    766.170,      0.000,   1967.626,             0.,          7063.,      25426058.,      25426058., 5.93,    F
  33, 96,   1,  -4066.086,      0.000,   1145.412,    281.079,      0.000,    329.359,             0.,         -2327.,      -8376224.,      -8376224., 9.43,    F
  34, 97,   1,  -4177.485,      0.000,  -4250.133,   -165.749,      0.000,  -1211.832,             0.,         -9876.,     -35552484.,     -35552484.,12.30,    F
  35, 98,   1,  -4251.751,      0.000,  -3304.485,   -530.315,      0.000,   -934.211,             0.,         -9086.,     -32709838.,     -32709838.,12.06,    F
  36, 99,   1,  -3936.119,      0.000,  -1860.348,   -963.907,      0.000,   -521.441,             0.,         -7335.,     -26405648.,     -26405648.,11.45,    F
  37,100,   1,  -4307.451,      0.000,    589.523,  -1302.026,      0.000,    163.813,             0.,         -4892.,     -17610478.,     -17610478.,10.57,    F
  38,101,   1,  -4158.918,      0.000,   5716.167,  -1075.643,      0.000,   1574.553,             0.,          2071.,       7456926.,       7456926., 7.96,    F
  39,102,   1,  -2413.658,      0.000,   4827.626,   -603.214,      0.000,   1318.125,             0.,          3152.,      11347879.,      11347879., 7.53,    F
  40,103,   1,  -3639.054,      0.000,  -4337.908,   -642.500,      0.000,  -1173.925,             0.,         -9867.,     -35520788.,     -35520788.,12.48,    F
  41,104,   1,  -4158.918,      0.000,   5416.396,   -259.541,      0.000,   1452.689,             0.,          2469.,       8888959.,       8888959., 7.83,    F
  42,105,   1,  -4381.718,      0.000,   5221.872,    -16.095,      0.000,   1387.891,             0.,          2229.,       8023686.,       8023686., 7.91,    F
  43,106,   1,  -3991.819,      0.000,   -220.263,   -327.538,      0.000,    -58.010,             0.,         -4633.,     -16678524.,     -16678524.,10.52,    F
  44,107,   1,  -4734.483,      0.000,   -162.267,   -589.301,      0.000,    -42.343,             0.,         -5571.,     -20056134.,     -20056134.,10.91,    F
  45,108,   1,  -4288.885,      0.000,   2934.892,   -198.103,      0.000,    758.758,             0.,          -800.,      -2878275.,      -2878275., 9.11,    F
  46,109,   1,  -4734.483,      0.000,   2441.725,   -358.807,      0.000,    625.355,             0.,         -2042.,      -7351670.,      -7351670., 9.60,    F
  47,110,   1,  -4400.284,      0.000,   1784.935,   -545.134,      0.000,    452.828,             0.,         -2729.,      -9824753.,      -9824753., 9.88,    F
