Day of sim.,Day of year,Year,Slurry mass,Frozen mass,Slurry depth,Air T,Wall T,Floor T,In T,Slurry T
,,,(Mg = 1000 kg),(Mg = 1000 kg),(m),(deg. C),(deg. C),(deg. C),(deg. C),(deg. C)
day,doy,year,slurry_mass,frozen_mass,slurry_depth,air_temp,wall_temp,floor_temp,in_temp,slurry_temp
   1, 64,   1, 1908.83,    0.00,    3.10,    3.90,    6.15,    6.60,   10.00,    9.95
   2, 65,   1, 1889.64,    0.00,    3.07,    2.90,    5.40,    6.20,    9.91,    9.85
   3, 66,   1, 1870.45,    0.00,    3.04,    4.40,    5.65,    6.08,    9.80,    9.75
   4, 67,   1, 1851.25,    0.00,    3.01,    3.80,    6.10,    5.88,    9.71,    9.66
   5, 68,   1, 1832.06,    0.00,    2.98,    6.50,    7.15,    6.30,    9.62,    9.59
   6, 69,   1, 1812.87,    0.00,    2.94,    6.60,    8.55,    6.84,    9.57,    9.54
   7, 70,   1, 1793.68,    0.00,    2.91,    6.00,    8.30,    7.46,    9.52,    9.49
   8, 71,   1, 1774.49,    0.00,    2.88,    7.00,    8.50,    7.98,    9.46,    9.45
   9, 72,   1, 1755.29,    0.00,    2.85,    6.10,    8.55,    8.44,    9.44,    9.41
  10, 73,   1, 1736.10,    0.00,    2.82,    4.30,    7.20,    8.00,    9.39,    9.35
  11, 74,   1, 1716.91,    0.00,    2.79,    2.40,    5.35,    7.16,    9.32,    9.27
  12, 75,   1, 1697.72,    0.00,    2.76,    6.40,    6.40,    7.24,    9.22,    9.19
  13, 76,   1, 1678.52,    0.00,    2.73,    7.60,    9.00,    7.36,    9.17,    9.16
  14, 77,   1, 1659.33,    0.00,    2.69,    6.90,    9.25,    7.52,    9.15,    9.13
  15, 78,   1, 1640.14,    0.00,    2.66,    7.50,    9.20,    8.16,    9.12,    9.11
  16, 79,   1, 1620.95,    0.00,    2.63,    6.20,    8.85,    8.92,    9.09,    9.08
  17, 80,   1, 1601.75,    0.00,    2.60,    4.80,    7.50,    8.60,    9.07,    9.04
  18, 81,   1, 1582.56,    0.00,    2.57,    2.80,    5.80,    7.64,    9.01,    8.97
  19, 82,   1, 1563.37,    0.00,    2.54,    1.50,    4.15,    6.56,    8.93,    8.86
  20, 83,   1, 1544.18,    0.00,    2.51,    1.60,    3.55,    5.38,    8.80,    8.74
  21, 84,   1, 1524.98,    0.00,    2.48,    3.30,    4.45,    4.80,    8.69,    8.65
  22, 85,   1, 1505.79,    0.00,    2.45,    4.00,    5.65,    4.64,    8.61,    8.57
  23, 86,   1, 1486.60,    0.00,    2.41,    3.90,    5.95,    4.86,    8.54,    8.50
  24, 87,   1, 1467.41,    0.00,    2.38,    5.40,    6.65,    5.64,    8.47,    8.45
  25, 88,   1, 1448.22,    0.00,    2.35,    4.10,    6.75,    6.14,    8.43,    8.40
  26, 89,   1, 1429.02,    0.00,    2.32,    1.90,    5.00,    5.86,    8.37,    8.31
  27, 90,   1, 1409.83,    0.00,    2.29,    3.50,    4.70,    5.76,    8.27,    8.23
  28, 91,   1, 1390.64,    0.00,    2.26,    2.60,    5.05,    5.50,    8.20,    8.16
  29, 92,   1, 1371.45,    0.00,    2.23,    6.00,    6.30,    5.62,    8.12,    8.10
  30, 93,   1, 1352.25,    0.00,    2.20,    6.40,    8.20,    6.08,    8.08,    8.07
  31, 94,   1, 1333.06,    0.00,    2.16,    4.90,    7.65,    6.68,    8.05,    8.04
  32, 95,   1, 1313.87,    0.00,    2.13,    4.60,    6.75,    6.90,    8.02,    7.99
  33, 96,   1, 1294.68,    0.00,    2.10,    7.90,    8.25,    7.96,    7.97,    7.99
  34, 97,   1, 1275.48,    0.00,    2.07,   11.10,   11.50,    8.98,    8.01,    8.07
  35, 98,   1, 1256.29,    0.00,    2.04,   10.60,   12.85,    9.82,    8.12,    8.18
  36, 99,   1, 1237.10,    0.00,    2.01,    9.80,   12.20,   10.80,    8.23,    8.27
  37,100,   1, 1217.91,    0.00,    1.98,    8.40,   11.10,   11.56,    8.31,    8.35
  38,101,   1, 1198.72,    0.00,    1.95,    5.40,    8.90,   11.06,    8.38,    8.38
  39,102,   1, 1179.52,    0.00,    1.92,    5.90,    7.65,   10.02,    8.37,    8.36
  40,103,   1, 1160.33,    0.00,    1.88,   11.30,   10.60,   10.16,    8.35,    8.41
  41,104,   1, 1141.14,    0.00,    1.85,    5.60,   10.45,    9.32,    8.47,    8.46
  42,105,   1, 1121.95,    0.00,    1.82,    5.70,    7.65,    8.78,    8.45,    8.45
  43,106,   1, 1102.75,    0.00,    1.79,    8.90,    9.30,    9.48,    8.44,    8.48
  44,107,   1, 1083.56,    0.00,    1.76,    8.90,   10.90,   10.08,    8.51,    8.55
  45,108,   1, 1064.37,    0.00,    1.73,    7.10,   10.00,    9.24,    8.58,    8.59
  46,109,   1, 1045.18,    0.00,    1.70,    7.40,    9.25,    9.60,    8.60,    8.62
  47,110,   1, 1025.98,    0.00,    1.67,    7.80,    9.60,   10.02,    8.64,    8.66
  48,111,   1, 1006.79,    0.00,    1.64,    8.60,   10.20,    9.96,    8.68,    8.72
  49,112,   1,  987.60,    0.00,    1.60,    9.60,   11.10,   10.10,    8.75,    8.80
  50,113,   1,  968.41,    0.00,    1.57,   10.40,   12.00,   10.76,    8.84,    8.91
  51,114,   1,  949.22,    0.00,    1.54,   11.20,   12.80,   11.52,    8.97,    9.04
  52,115,   1,  930.02,    0.00,    1.51,    9.80,   12.50,   11.92,    9.11,    9.17
  53,116,   1,  910.83,    0.00,    1.48,    9.30,   11.55,   12.06,    9.21,    9.26
  54,117,   1,  891.64,    0.00,    1.45,    7.40,   10.35,   11.62,    9.30,    9.30
  55,118,   1,  872.45,    0.00,    1.42,    9.70,   10.55,   11.48,    9.30,    9.33
  56,119,   1,  853.25,    0.00,    1.39,    9.70,   11.70,   11.18,    9.37,    9.42
  57,120,   1,  834.06,    0.00,    1.35,    7.10,   10.40,   10.64,    9.46,    9.43
  58,121,   1,  814.87,    0.00,    1.32,    8.10,    9.60,   10.40,    9.41,    9.41
  59,122,   1,  795.68,    0.00,    1.29,    8.90,   10.50,   10.70,    9.40,    9.42
  60,123,   1,  776.49,    0.00,    1.26,    8.90,   10.90,   10.54,    9.44,    9.46
