Day of sim.,Day of year,Year,Air T,Radiation
,,,(deg. C),(W/m2)
day,doy,year,air_temp,rad
   1,299,   1,          10.00,          68.30
   2,300,   1,          13.30,           9.26
   3,301,   1,          12.50,          46.30
   4,302,   1,          10.50,          71.80
   5,303,   1,          10.80,          30.10
   6,304,   1,          10.20,          49.80
   7,305,   1,          10.60,          34.70
   8,306,   1,           7.40,          49.80
   9,307,   1,           5.40,          60.20
  10,308,   1,           3.50,          33.60
  11,309,   1,           7.70,          52.10
  12,310,   1,           9.70,          17.40
  13,311,   1,           7.60,          34.70
  14,312,   1,           5.90,          20.80
  15,313,   1,           9.30,           9.26
  16,314,   1,          10.50,          26.60
  17,315,   1,           7.50,          27.80
  18,316,   1,           6.90,          12.70
  19,317,   1,           7.40,          12.70
  20,318,   1,           7.50,           8.10
  21,319,   1,           6.40,           6.94
  22,320,   1,           5.10,           4.63
  23,321,   1,           5.70,          23.10
  24,322,   1,           9.10,          10.40
  25,323,   1,          11.10,          22.00
  26,324,   1,           9.60,           9.26
  27,325,   1,           4.30,          27.80
  28,326,   1,           3.20,          38.20
  29,327,   1,           6.90,          28.90
  30,328,   1,           7.20,          19.70
  31,329,   1,           5.20,          28.90
  32,330,   1,           2.20,          25.50
  33,331,   1,           2.30,          15.00
  34,332,   1,           1.40,          10.40
  35,333,   1,          -0.60,          25.50
  36,334,   1,           1.30,          26.60
  37,335,   1,          -0.40,           8.10
  38,336,   1,          -1.00,          30.10
  39,337,   1,           0.40,          10.40
  40,338,   1,           0.90,          10.40
  41,339,   1,           0.20,           6.94
  42,340,   1,          -0.90,          16.20
  43,341,   1,           1.10,          11.60
  44,342,   1,           1.20,           5.79
  45,343,   1,           0.90,           8.10
  46,344,   1,           0.90,           6.94
  47,345,   1,          -0.10,          10.40
  48,346,   1,           2.20,           8.10
  49,347,   1,           7.00,          10.40
  50,348,   1,           5.50,          18.50
  51,349,   1,           8.20,           9.26
  52,350,   1,           6.50,          25.50
  53,351,   1,           6.10,           6.94
  54,352,   1,           7.00,          23.10
  55,353,   1,           4.90,          25.50
  56,354,   1,           0.40,          25.50
  57,355,   1,          -0.80,          10.40
  58,356,   1,           1.60,          10.40
  59,357,   1,           0.00,           5.79
  60,358,   1,          -3.90,          13.90
  61,359,   1,          -4.60,          24.30
  62,360,   1,          -5.50,          34.70
  63,361,   1,          -3.10,          34.70
  64,362,   1,           0.20,           5.79
  65,363,   1,           0.90,          12.70
  66,364,   1,           7.00,          17.40
  67,365,   1,           8.20,          13.90
  68,  1,   2,           7.60,          10.40
  69,  2,   2,           8.40,           5.79
  70,  3,   2,           6.90,           9.26
  71,  4,   2,           1.60,          23.10
  72,  5,   2,           1.10,          13.90
  73,  6,   2,          -0.80,          38.20
  74,  7,   2,           1.90,          17.40
  75,  8,   2,           1.40,          17.40
  76,  9,   2,           0.60,          12.70
  77, 10,   2,           1.60,          13.90
  78, 11,   2,           2.20,          11.60
  79, 12,   2,           4.50,          17.40
  80, 13,   2,           7.50,          23.10
  81, 14,   2,           5.20,          34.70
  82, 15,   2,           1.90,          23.10
  83, 16,   2,           4.90,          11.60
  84, 17,   2,           3.80,          40.50
  85, 18,   2,           4.90,          19.70
  86, 19,   2,           4.70,           4.63
  87, 20,   2,           0.50,          45.10
  88, 21,   2,           2.00,          25.50
  89, 22,   2,           4.20,          15.00
  90, 23,   2,           6.30,          17.40
  91, 24,   2,           5.30,           5.79
  92, 25,   2,           5.70,          44.00
  93, 26,   2,           5.60,          17.40
  94, 27,   2,           6.00,          27.80
  95, 28,   2,           3.60,          50.90
  96, 29,   2,           6.90,          11.60
  97, 30,   2,           4.00,          57.90
  98, 31,   2,           1.40,          33.60
  99, 32,   2,           3.80,          19.70
 100, 33,   2,           3.40,          52.10
 101, 34,   2,           5.80,          15.00
 102, 35,   2,           4.10,          13.90
 103, 36,   2,           3.60,          44.00
 104, 37,   2,           2.40,          41.70
