"slurry","date","temp"
"a",2021-10-26,14.8080434782609
"av",2021-10-26,16.0986910994764
"s",2021-10-26,15.6616666666667
"a",2021-10-27,13.7180729166667
"av",2021-10-27,14.5826215277778
"s",2021-10-27,14.1740972222222
"sv",2021-10-27,15.2015309446254
"a",2021-10-28,13.3791666666667
"av",2021-10-28,13.8359027777778
"s",2021-10-28,13.7155729166667
"sv",2021-10-28,14.1397048611111
"a",2021-10-29,12.01671875
"av",2021-10-29,12.5187847222222
"s",2021-10-29,12.4295659722222
"sv",2021-10-29,12.0568229166667
"a",2021-10-30,11.505625
"av",2021-10-30,11.8623958333333
"s",2021-10-30,11.6699652777778
"sv",2021-10-30,11.4519444444444
"a",2021-10-31,11.0530434782609
"av",2021-10-31,11.3072644927536
"s",2021-10-31,11.1154347826087
"sv",2021-10-31,11.0412862318841
"a",2021-11-01,10.9364409722222
"av",2021-11-01,11.1031423611111
"s",2021-11-01,10.9940798611111
"sv",2021-11-01,10.9305034722222
"a",2021-11-02,10.0234375
"av",2021-11-02,10.1998958333333
"s",2021-11-02,10.0125
"sv",2021-11-02,9.97260416666667
"a",2021-11-03,8.99328125
"av",2021-11-03,9.28282986111111
"s",2021-11-03,9.06715277777778
"sv",2021-11-03,9.06232638888889
"a",2021-11-04,8.07364583333333
"av",2021-11-04,8.39465277777778
"s",2021-11-04,8.14633680555556
"sv",2021-11-04,8.16984375
"a",2021-11-05,7.71012152777778
"av",2021-11-05,7.99350694444444
"s",2021-11-05,7.760625
"sv",2021-11-05,7.79064236111111
"a",2021-11-06,8.10956597222222
"av",2021-11-06,8.29717013888889
"s",2021-11-06,8.13133680555556
"sv",2021-11-06,8.069375
"a",2021-11-07,8.43852430555556
"av",2021-11-07,8.56951388888889
"s",2021-11-07,8.48739583333333
"sv",2021-11-07,8.42385416666667
"a",2021-11-08,7.9653125
"av",2021-11-08,8.12671875
"s",2021-11-08,8.05800347222222
"sv",2021-11-08,8.05246527777778
"a",2021-11-09,7.85840277777778
"av",2021-11-09,8.02595486111111
"s",2021-11-09,7.97991319444444
"sv",2021-11-09,7.95012152777778
"a",2021-11-10,9.3128125
"av",2021-11-10,9.34467013888889
"s",2021-11-10,9.43276041666667
"sv",2021-11-10,9.33484375
"a",2021-11-11,8.97486111111111
"av",2021-11-11,8.95434027777778
"s",2021-11-11,9.00772569444444
"sv",2021-11-11,9.05324652777778
"a",2021-11-12,8.26697916666667
"av",2021-11-12,8.31578125
"s",2021-11-12,8.35071180555556
"sv",2021-11-12,8.35185763888889
"a",2021-11-13,8.07064236111111
"av",2021-11-13,8.17098958333333
"s",2021-11-13,8.19060763888889
"sv",2021-11-13,8.15079861111111
"a",2021-11-14,7.94032986111111
"av",2021-11-14,8.07447916666667
"s",2021-11-14,8.07175347222222
"sv",2021-11-14,8.05973958333333
"a",2021-11-15,7.64963541666667
"av",2021-11-15,7.8
"s",2021-11-15,7.76057291666667
"sv",2021-11-15,7.78270833333333
"a",2021-11-16,7.21324652777778
"av",2021-11-16,7.38935763888889
"s",2021-11-16,7.37039930555556
"sv",2021-11-16,7.38222222222222
"a",2021-11-17,6.5428125
"av",2021-11-17,6.74425347222222
"s",2021-11-17,6.72482638888889
"sv",2021-11-17,6.77446180555556
"a",2021-11-18,6.73692708333333
"av",2021-11-18,6.93180555555556
"s",2021-11-18,6.91736111111111
"sv",2021-11-18,6.94664930555556
"a",2021-11-19,8.27017361111111
"av",2021-11-19,8.49701388888889
"s",2021-11-19,8.45272569444444
"sv",2021-11-19,8.45421875
"a",2021-11-20,8.74076388888889
"av",2021-11-20,8.88970486111111
"s",2021-11-20,8.80505208333333
"sv",2021-11-20,8.87284722222222
"a",2021-11-21,8.26170138888889
"av",2021-11-21,8.39767361111111
"s",2021-11-21,8.33322916666667
"sv",2021-11-21,8.38668402777778
"a",2021-11-22,6.50401041666667
"av",2021-11-22,6.83715277777778
"s",2021-11-22,6.77192708333333
"sv",2021-11-22,6.91005208333333
"a",2021-11-23,6.18501736111111
"av",2021-11-23,6.79083333333333
"s",2021-11-23,6.76465277777778
"sv",2021-11-23,6.81883680555556
"a",2021-11-24,6.53864583333333
"av",2021-11-24,6.98630208333333
"s",2021-11-24,6.95592013888889
"sv",2021-11-24,6.99796875
"a",2021-11-25,6.58151041666667
"av",2021-11-25,6.86470486111111
"s",2021-11-25,6.85227430555556
"sv",2021-11-25,6.85996527777778
"a",2021-11-26,5.48335069444444
"av",2021-11-26,5.80449652777778
"s",2021-11-26,5.80277777777778
"sv",2021-11-26,5.83583333333333
"a",2021-11-27,4.64984375
"av",2021-11-27,4.97460069444444
"s",2021-11-27,4.93411458333333
"sv",2021-11-27,4.99189236111111
"a",2021-11-28,4.03263888888889
"av",2021-11-28,4.40407986111111
"s",2021-11-28,4.37663194444444
"sv",2021-11-28,4.40722222222222
"a",2021-11-29,3.32635416666667
"av",2021-11-29,3.75052083333333
"s",2021-11-29,3.65411458333333
"sv",2021-11-29,3.73534722222222
"a",2021-11-30,2.50696180555556
"av",2021-11-30,2.97736111111111
"s",2021-11-30,2.8478125
"sv",2021-11-30,3.01689236111111
"a",2021-12-01,1.90869791666667
"av",2021-12-01,2.28939236111111
