"doy","air.temp","glorad","n","year","date"
1,-1.85,33.1,24,2016,2016-01-01
2,-2.37,25.3,24,2016,2016-01-02
3,-1.99,39.8,24,2016,2016-01-03
4,-16.1,59.3,21,2016,2016-01-04
5,-16.6,106,24,2016,2016-01-05
6,-9.25,79,24,2016,2016-01-06
7,-5.54,62.7,24,2016,2016-01-07
8,-5.41,54.6,24,2016,2016-01-08
9,-0.215,13.8,24,2016,2016-01-09
10,2.52,11.8,24,2016,2016-01-10
11,-6.61,93.5,24,2016,2016-01-11
12,-11.2,26.2,24,2016,2016-01-12
13,-10.3,98.2,24,2016,2016-01-13
14,-12.3,73.7,24,2016,2016-01-14
15,-10.6,32.3,24,2016,2016-01-15
16,-6.53,19.7,24,2016,2016-01-16
17,-9.28,43.3,24,2016,2016-01-17
18,-9.97,106,24,2016,2016-01-18
19,-15.3,46.8,24,2016,2016-01-19
20,-9.61,104,24,2016,2016-01-20
21,-10.6,105,24,2016,2016-01-21
22,-8.08,71.3,24,2016,2016-01-22
23,-11,112,24,2016,2016-01-23
24,-12.4,53.3,24,2016,2016-01-24
25,-5.16,69.4,24,2016,2016-01-25
26,-0.223,15.4,24,2016,2016-01-26
27,-3.17,101,24,2016,2016-01-27
28,-4.81,17.2,24,2016,2016-01-28
29,-2.7,52.2,24,2016,2016-01-29
30,-9.57,20.4,24,2016,2016-01-30
31,-2.45,45.7,24,2016,2016-01-31
32,3.44,105,24,2016,2016-02-01
33,-3.34,124,24,2016,2016-02-02
34,-2.29,21.6,24,2016,2016-02-03
35,2.55,52.5,24,2016,2016-02-04
36,-4.47,130,24,2016,2016-02-05
37,-2.94,69.8,24,2016,2016-02-06
38,-2.19,37,24,2016,2016-02-07
39,-7.5,72.9,24,2016,2016-02-08
40,-7.44,82.5,24,2016,2016-02-09
41,-6.52,76,24,2016,2016-02-10
42,-14.6,105,24,2016,2016-02-11
43,-15.1,86.1,24,2016,2016-02-12
44,-21.4,137,24,2016,2016-02-13
45,-25.1,155,24,2016,2016-02-14
46,-18.9,129,24,2016,2016-02-15
47,-7.68,21.4,24,2016,2016-02-16
48,-4.69,99.8,24,2016,2016-02-17
49,-13.5,165,24,2016,2016-02-18
50,-14.2,58.9,24,2016,2016-02-19
51,0.816,49.4,24,2016,2016-02-20
52,0.671,109,24,2016,2016-02-21
53,-10.7,176,24,2016,2016-02-22
54,-13,79.1,24,2016,2016-02-23
55,-4.15,44.2,24,2016,2016-02-24
56,0.506,51.4,24,2016,2016-02-25
57,-9.73,186,24,2016,2016-02-26
58,-8.18,101,24,2016,2016-02-27
59,-3.41,44.8,24,2016,2016-02-28
60,-5.25,129,24,2016,2016-02-29
61,-11.5,143,24,2016,2016-03-01
62,-10.3,172,24,2016,2016-03-02
63,-14.9,204,24,2016,2016-03-03
64,-14.6,189,24,2016,2016-03-04
65,-10.3,167,24,2016,2016-03-05
66,-4.82,187,24,2016,2016-03-06
67,1.21,53.7,24,2016,2016-03-07
68,3.2,113,24,2016,2016-03-08
69,4.38,60.7,24,2016,2016-03-09
70,5.79,41.1,24,2016,2016-03-10
71,1.47,216,24,2016,2016-03-11
72,1.41,194,24,2016,2016-03-12
73,5.18,196,24,2016,2016-03-13
74,1.41,31.1,24,2016,2016-03-14
75,2.39,27.8,24,2016,2016-03-15
76,4.3,117,24,2016,2016-03-16
77,4.53,144,24,2016,2016-03-17
