doy	level	year
1	1.26	2016
2	1.10	2016
3	1.12	2016
4	1.15	2016
5	1.16	2016
6	1.18	2016
7	1.20	2016
8	1.27	2016
9	1.25	2016
12	1.32	2016
13	1.08	2016
14	0.64	2016
15	0.65	2016
16	0.66	2016
17	0.69	2016
18	0.81	2016
19	0.71	2016
20	0.72	2016
21	0.75	2016
22	0.78	2016
23	0.80	2016
24	0.82	2016
25	0.84	2016
26	0.87	2016
28	0.86	2016
29	0.88	2016
30	0.88	2016
31	0.91	2016
32	0.93	2016
33	0.95	2016
34	0.99	2016
35	1.02	2016
36	1.04	2016
37	1.06	2016
38	1.08	2016
39	1.09	2016
40	1.12	2016
41	1.15	2016
42	1.17	2016
43	1.17	2016
44	1.18	2016
45	1.19	2016
46	1.22	2016
47	1.25	2016
48	1.59	2016
49	1.67	2016
50	1.66	2016
51	1.68	2016
52	1.60	2016
53	1.54	2016
54	1.54	2016
55	1.56	2016
56	1.60	2016
57	1.58	2016
58	1.58	2016
59	1.59	2016
60	1.61	2016
61	1.65	2016
62	1.71	2016
63	2.16	2016
64	2.19	2016
65	2.11	2016
66	2.07	2016
67	2.07	2016
68	2.02	2016
69	1.97	2016
70	1.93	2016
71	1.93	2016
72	1.95	2016
73	1.99	2016
74	2.03	2016
75	2.07	2016
76	2.11	2016
77	2.15	2016
78	2.21	2016
79	2.23	2016
80	2.22	2016
81	2.22	2016
82	2.23	2016
83	2.16	2016
84	2.19	2016
85	2.21	2016
86	2.26	2016
87	2.25	2016
88	2.27	2016
89	2.32	2016
90	2.34	2016
91	2.34	2016
92	2.07	2016
93	2.05	2016
94	2.08	2016
133	0.65	2016
134	0.66	2016
135	0.68	2016
136	0.70	2016
137	0.71	2016
138	0.73	2016
139	0.74	2016
140	0.74	2016
141	0.77	2016
142	0.79	2016
143	0.81	2016
144	0.83	2016
145	0.85	2016
146	0.86	2016
147	0.88	2016
148	0.91	2016
149	0.93	2016
150	0.93	2016
151	0.95	2016
152	0.97	2016
153	0.99	2016
154	1.00	2016
155	1.02	2016
156	1.03	2016
157	1.05	2016
158	1.10	2016
159	1.11	2016
160	1.15	2016
161	1.16	2016
162	1.16	2016
163	1.19	2016
164	1.21	2016
165	1.22	2016
166	1.22	2016
167	1.24	2016
168	1.27	2016
169	1.29	2016
170	1.30	2016
171	1.33	2016
172	1.34	2016
173	1.35	2016
174	1.38	2016
175	1.40	2016
176	1.42	2016
177	1.44	2016
178	1.46	2016
179	1.47	2016
180	1.49	2016
181	1.52	2016
182	1.55	2016
183	1.57	2016
184	1.58	2016
185	1.61	2016
186	1.63	2016
187	1.65	2016
188	1.67	2016
189	1.68	2016
190	1.71	2016
197	1.88	2016
198	1.91	2016
199	1.95	2016
200	1.95	2016
