doy,air temp,rad
1,-9.6,54.4
2,-9.9,59.0
3,-9.7,56.7
4,-9.3,57.9
5,-9.9,63.7
6,-10.2,63.7
7,-10.7,52.1
8,-12.1,74.1
9,-12.1,67.1
10,-11.5,66.0
11,-11.7,60.2
12,-12,70.6
13,-11.8,69.4
14,-11.1,61.3
15,-12,64.8
16,-12.6,70.6
17,-11.6,67.1
18,-10.7,63.7
19,-9.9,72.9
20,-10.2,74.1
21,-10.8,74.1
22,-9.9,74.1
23,-8.5,70.6
24,-7.9,74.1
25,-8.7,70.6
26,-9.8,81.0
27,-10.1,76.4
28,-10.1,86.8
29,-10.1,88.0
30,-10.1,81.0
31,-10.4,90.3
32,-11.2,88.0
33,-11.3,98.4
34,-10.7,93.8
35,-11,96.1
36,-11.7,99.5
37,-11.7,111.1
38,-10.8,97.2
39,-10.2,98.4
40,-10.8,114.6
41,-10.5,119.2
42,-10,107.6
43,-9.9,106.5
44,-9.2,101.9
45,-9.2,111.1
46,-8.9,110.0
47,-8.8,130.8
48,-8.9,123.8
49,-7.1,116.9
50,-4.7,98.4
51,-4.3,110.0
52,-4.9,108.8
53,-5.2,108.8
54,-5.5,125.0
55,-6.3,128.5
56,-7.3,129.6
57,-7.1,143.5
58,-6.2,134.3
59,-5.6,133.1
60,-5.3,131.9
61,-6,133.1
62,-6.7,130.8
63,-6.3,130.8
64,-5.5,155.1
65,-4.6,140.0
66,-4.4,143.5
67,-4.9,156.3
68,-5.3,163.2
69,-4.6,155.1
70,-4.1,150.5
71,-4.9,153.9
72,-4.2,165.5
73,-2.7,155.1
74,-2.5,147.0
75,-2.7,170.1
76,-2.9,164.4
77,-2.8,179.4
78,-2.4,160.9
79,-2.2,167.8
80,-1.7,165.5
81,-1.4,171.3
82,-1.4,174.8
83,-1.2,191.0
84,-0.5,186.3
85,0.3,172.5
86,1,191.0
87,2,185.2
88,2.7,186.3
89,3.1,167.8
90,3.1,177.1
91,2.6,179.4
92,2.6,172.5
93,2.9,170.1
94,3.1,163.2
95,2.9,150.5
96,2.5,171.3
97,2.4,194.4
98,2.5,206.0
99,2.7,200.2
100,2.9,202.5
101,3.4,217.6
102,4.1,217.6
103,4.6,206.0
104,5.2,204.9
105,6.5,186.3
106,7.6,194.4
107,7,196.8
108,6.5,216.4
109,7.5,219.9
110,8,194.4
111,8.1,207.2
112,8.2,224.5
113,8.1,211.8
114,8.4,191.0
115,8.8,196.8
116,9,218.8
117,9.3,214.1
118,9.4,214.1
119,9.8,188.7
120,10.8,226.9
121,10.8,207.2
122,10.1,206.0
123,9.7,209.5
124,10.1,228.0
125,11.2,202.5
126,11.5,219.9
127,11.1,240.7
128,11.3,210.6
129,12.2,211.8
130,12.7,223.4
131,13,239.6
132,12.9,214.1
133,12.5,226.9
134,13,244.2
135,13.2,231.5
136,13.5,222.2
137,13.6,213.0
138,13.8,245.4
139,14.1,236.1
140,14.6,219.9
141,15.1,228.0
142,15.2,262.7
143,15.7,237.3
144,15.9,237.3
145,15.5,251.2
146,14.9,232.6
147,15,222.2
148,15.8,254.6
149,16.4,254.6
150,16.8,241.9
151,17.4,218.8
152,16.9,219.9
153,16.1,252.3
154,16,243.1
155,16.2,247.7
156,16.3,248.8
157,16.6,266.2
158,17.3,252.3
159,17.5,235.0
160,17.4,245.4
161,17.7,253.5
162,17.9,265.0
163,17.6,213.0
164,17.8,255.8
165,18.5,256.9
166,19.1,254.6
167,19.1,214.1
168,19,258.1
169,19.2,256.9
170,19.4,241.9
171,19.8,261.6
172,19.9,247.7
173,19.7,241.9
174,19.4,247.7
175,19.2,258.1
176,19.4,250.0
177,19.9,231.5
178,20.1,248.8
179,20,268.5
180,19.8,226.9
181,19.7,261.6
182,19.8,236.1
183,20,261.6
184,20.3,263.9
185,20.4,248.8
186,20.7,254.6
187,21.3,273.1
188,21.6,270.8
189,21.5,266.2
190,21.3,273.1
191,20.2,270.8
192,19.8,258.1
193,20.5,252.3
194,21.1,245.4
195,21.5,233.8
196,21.6,252.3
197,21.4,255.8
198,21.4,241.9
199,21.8,247.7
200,22,237.3
201,21.8,232.6
202,21.2,243.1
203,20.9,261.6
204,20.9,255.8
205,21.1,230.3
206,21.5,240.7
207,21.3,233.8
208,20.7,231.5
209,20.5,232.6
210,20.5,224.5
211,20.4,244.2
212,20.5,213.0
213,20.9,233.8
214,21,221.1
215,21.1,221.1
216,21.1,206.0
217,20.3,231.5
218,20,236.1
219,20.4,215.3
220,20.6,211.8
221,20.7,216.4
222,20.6,209.5
223,19.9,222.2
224,19.5,238.4
225,19.8,206.0
226,20.1,218.8
227,20,186.3
228,20,214.1
229,20.2,209.5
230,19.4,225.7
231,19,229.2
232,19,218.8
233,18.4,210.6
234,18.3,223.4
235,18.6,211.8
236,18.2,191.0
237,18.2,204.9
238,19.6,201.4
239,20.2,188.7
240,19.8,193.3
241,19.2,185.2
242,18.3,185.2
243,17.7,196.8
244,17.8,197.9
245,18,177.1
246,17.3,178.2
247,17.3,192.1
248,17.9,175.9
249,17.4,155.1
250,16.3,184.0
251,16.1,188.7
252,16.4,164.4
253,16.3,157.4
254,16.1,160.9
255,15.8,153.9
256,15.8,163.2
257,15.2,157.4
258,14.6,160.9
259,14.1,151.6
260,13.9,159.7
261,14.3,152.8
262,14.6,151.6
263,14.3,141.2
264,13.6,130.8
265,12.9,134.3
266,11.9,133.1
267,11.5,152.8
268,11.8,150.5
269,12.5,120.4
270,13.1,129.6
271,12.7,131.9
272,12.1,143.5
273,11.6,135.4
274,11.4,126.2
275,11.3,100.7
276,11,118.1
277,10.4,122.7
278,10.4,125.0
279,10.5,119.2
280,9.5,118.1
281,8.8,106.5
282,8.8,98.4
283,7.9,104.2
284,7.7,113.4
285,8.8,98.4
286,9.3,98.4
287,9.1,103.0
288,8.3,94.9
289,7.7,112.3
290,7.5,107.6
291,7.5,103.0
292,7.3,97.2
