Day of Year,Air Temperature,Radiation W
279,12.225,119.212962962963
280,12.3833333333333,118.055555555556
281,8.05,106.481481481481
282,6.84583333333333,98.3796296296296
283,6.20416666666667,104.166666666667
284,13.0125,113.425925925926
285,16.4041666666667,98.3796296296296
286,14.1,98.3796296296296
287,7.37916666666667,103.009259259259
288,7.17083333333333,94.9074074074074
289,7.32708333333333,112.268518518519
290,2.6875,107.638888888889
291,-1.51666666666667,103.009259259259
292,1.49583333333333,97.2222222222222
293,12.31875,100.694444444444
294,6.63749999999999,106.481481481481
295,9.26666666666666,99.537037037037
296,3.59166666666667,91.4351851851852
297,4.50833333333333,104.166666666667
298,8.225,96.0648148148148
299,2.02083333333334,83.3333333333333
300,3.87916666666667,86.8055555555556
301,4.07083333333333,87.962962962963
302,9.5375,94.9074074074074
303,3.8375,89.1203703703704
304,1.68333333333333,94.9074074074074
305,8.25416666666666,87.962962962963
306,8.63333333333333,77.5462962962963
307,8.92083333333333,75.2314814814815
308,7.40416666666667,77.5462962962963
309,11.8,77.5462962962963
310,15.69375,61.3425925925926
311,6.77916666666666,64.8148148148148
312,2.88749999999999,65.9722222222222
313,5.07083333333333,71.7592592592593
314,4.5,61.3425925925926
315,8.2625,50.9259259259259
316,8.4875,60.1851851851852
317,6.025,64.8148148148148
318,-0.729166666666664,64.8148148148148
319,3.70000000000001,61.3425925925926
320,3.82916666666667,61.3425925925926
321,-0.533333333333331,57.8703703703704
322,3.1125,68.287037037037
323,12.9833333333333,63.6574074074074
324,4.30416666666667,52.0833333333333
325,1.15,53.2407407407407
326,2.19166666666667,60.1851851851852
327,-3.78333333333333,60.1851851851852
328,-3.88333333333333,50.9259259259259
329,-2.93333333333333,47.4537037037037
330,7.175,54.3981481481482
331,8.62083333333333,59.0277777777778
332,-3.29583333333333,47.4537037037037
333,-4.27083333333333,48.6111111111111
334,-4.53125,54.3981481481482
335,-3.39583333333334,52.0833333333333
336,1.34583333333333,52.0833333333333
337,1.42499999999999,49.7685185185185
338,3.275,56.712962962963
339,4.6375,56.712962962963
340,4.12083333333334,48.6111111111111
341,1.33333333333333,54.3981481481482
342,0.920833333333334,52.0833333333333
343,3.22916666666667,47.4537037037037
344,7.63333333333333,53.2407407407407
345,9.6375,56.712962962963
346,5.80416666666666,54.3981481481482
347,1.44166666666667,53.2407407407407
348,2.25416666666667,56.712962962963
349,4.52916666666667,45.1388888888889
350,0,47.4537037037037
351,3.27916666666667,56.712962962963
352,1.5625,56.712962962963
353,-1.90833333333334,61.3425925925926
354,-4.59583333333333,49.7685185185185
355,1.475,56.712962962963
356,3.28333333333333,54.3981481481482
357,4.34583333333334,52.0833333333333
358,10.5916666666667,53.2407407407407
359,4.20833333333334,46.2962962962963
360,-0.262499999999991,53.2407407407407
361,-1.01666666666667,59.0277777777778
362,-9.3,60.1851851851852
363,-9.65416666666666,53.2407407407407
364,-7.63333333333333,54.3981481481482
365,-3.64583333333333,61.3425925925926
1,-1.80416666666667,54.3981481481482
2,-2.14583333333334,59.0277777777778
3,-4.40625000000001,56.712962962963
4,-17.0020833333333,57.8703703703704
5,-16.2395833333333,63.6574074074074
6,-7.37708333333333,63.6574074074074
7,-5.45833333333333,52.0833333333333
8,-5.08333333333334,74.0740740740741
9,1.0125,67.1296296296296
10,2.56458333333333,65.9722222222222
11,-9.70416666666667,60.1851851851852
12,-9.85833333333333,70.6018518518519
13,-12.6541666666667,69.4444444444444
14,-10.8166666666667,61.3425925925926
15,-10.4833333333333,64.8148148148148
16,-5.66666666666667,70.6018518518519
17,-9.78333333333334,67.1296296296296
18,-11.5958333333333,63.6574074074074
19,-14.4208333333333,72.9166666666667
20,-9.29375,74.0740740740741
21,-10.3416666666667,74.0740740740741
22,-8.25625,74.0740740740741
23,-11.7041666666667,70.6018518518519
24,-11.6520833333333,74.0740740740741
25,-3.92083333333334,70.6018518518519
26,0.914583333333331,81.0185185185185
27,-5.72916666666667,76.3888888888889
28,-3.0375,86.8055555555556
29,-4.60625,87.962962962963
30,-8.68958333333333,81.0185185185185
31,-0.877083333333331,90.2777777777778
32,3.375,87.962962962963
33,-4.44166666666666,98.3796296296296
34,-1.07083333333333,93.75
35,2.04791666666667,96.0648148148148
36,-5.47083333333334,99.537037037037
37,-1.52291666666667,111.111111111111
38,-4.17291666666668,97.2222222222222
39,-7.24166666666666,98.3796296296296
40,-7.35833333333334,114.583333333333
41,-6.90208333333333,119.212962962963
42,-16.3833333333333,107.638888888889
43,-13.7166666666667,106.481481481481
44,-24.55625,101.851851851852
