Day of Year,Experimental Depth
1,1.25650555625
2,1.10240555208333
3,1.11703829166667
4,1.1528639375
5,1.16485347916667
6,1.17997854166667
7,1.20285628125
8,1.2700270625
9,1.24936180208333
12,1.32046319791667
13,1.07511395833333
14,0.638525125
15,0.648995239583334
16,0.659693208333333
17,0.687225114583333
18,0.809579917708333
19,0.713092458333333
20,0.716961239583334
21,0.74972784375
22,0.780750114583333
23,0.798338958333334
24,0.823263989583333
25,0.842174395833333
26,0.866644552083333
28,0.8616486875
29,0.87714521875
30,0.877000062500001
31,0.90600496875
32,0.930129927083333
33,0.9493646875
34,0.985229291666667
35,1.01523272916667
36,1.03820846875
37,1.05967921875
38,1.0766083125
39,1.08649719791667
40,1.11726739583333
41,1.14711041666667
42,1.17082088541667
43,1.16527294791667
44,1.1800626875
45,1.19091810416667
46,1.21552154166667
47,1.2462555625
48,1.58656596875
49,1.67273194791667
50,1.66193125
51,1.67637772916667
52,1.60424305208333
53,1.54246458333333
54,1.5446458125
55,1.5616493125
56,1.60384167708333
57,1.58120001041667
58,1.57893679166667
59,1.58902360416667
60,1.6124958125
61,1.64742780208333
62,1.70755690625
63,2.15528333020833
64,2.18508816875
65,2.11382984895833
66,2.06637009375
67,2.06737082291667
68,2.01765490625
69,1.97316734375
70,1.93042290625
71,1.92713336458333
72,1.94595904166667
73,1.99252983333333
74,2.02818819791667
75,2.06947913541667
76,2.11128682291667
77,2.14993266666667
78,2.20648889166667
79,2.22797640416667
80,2.22102780833333
81,2.217811140625
82,2.228805571875
83,2.161585440625
84,2.18962780208333
85,2.21334239791667
86,2.25613961354167
87,2.25466182395833
88,2.27174794166667
89,2.32113545104167
90,2.336139628125
91,2.33865767708333
92,2.06786384479167
93,2.04641597916667
94,2.08152501041667
133,0.647094458333334
134,0.659004260416667
135,0.68324940625
136,0.699000885416667
137,0.714954270833333
138,0.72807515625
139,0.738940395833334
140,0.744072333333334
141,0.772156302083333
142,0.794637625
143,0.810374447916667
144,0.827656364583334
145,0.847783406250001
146,0.862428583333333
147,0.882592395833333
148,0.90754734375
149,0.930210541666667
150,0.928103572916667
151,0.947127843750001
152,0.965569583333333
153,0.988626375
154,0.999899375000001
155,1.02238622916667
156,1.03475709375
157,1.04724735416667
158,1.10215485416667
159,1.11304309375
160,1.14786805208333
161,1.15786603092784
162,1.15882985416667
163,1.19219309375
164,1.21425622916667
165,1.21608125
166,1.221875
167,1.24186877083333
168,1.266948625
169,1.2850319375
170,1.30332567708333
171,1.32595697916667
172,1.33919033333333
173,1.35258890625
174,1.3814159375
175,1.39675141666667
176,1.42035907291667
177,1.44277153125
178,1.459167375
179,1.46767498958333
180,1.49408819791667
181,1.52225204166667
182,1.54814507692308
183,1.56537777083333
184,1.58307713541667
185,1.61100001041667
186,1.63330345833333
187,1.64700555208333
188,1.66513470833333
189,1.68077013541667
190,1.7084563452381
197,1.88421586904762
198,1.90503539583333
199,1.94948820833333
200,1.95054930208333
201,1.9881666875
202,2.04303127083333
203,2.02782429166667
204,2.01186391666667
205,2.06326461458333
206,2.08767079166667
207,2.08086267857143
212,2.18041272619048
213,2.17749651770833
214,2.19534655
215,2.21625835520833
216,2.22217711041667
217,2.23930558854167
218,2.27116599583333
219,2.27272432916667
220,2.266384065625
221,2.32231461145833
222,2.326614609375
223,2.321506284375
224,2.35010280833333
225,2.35255697395833
226,2.39150072916667
227,2.43986323125
228,2.48863475416667
229,1.98799378125
230,2.01582429166667
231,2.04720765625
232,2.11725834375
233,2.12049239583333
234,2.11393265625
235,2.16064586458333
236,2.21416251770833
237,2.20215697708333
238,2.220666696875
239,2.2513048875
240,2.31587781354167
241,2.311525725
242,2.33434933854167
243,2.37586461145833
244,2.37320559270833
245,2.19132848958333
246,2.17647290729167
247,2.21259585208333
248,2.215161834375
249,2.23528683125
250,2.27639170104167
251,2.292002809375
252,2.32350835729167
253,2.36980419375
254,2.24546042395833
255,2.11275275
256,2.1572277625
257,1.94607851041667
258,1.96344305208333
259,2.01005836458333
260,2.02765697916667
261,2.02317984375
262,2.05205414583333
263,2.08054307291667
264,2.12173889583333
265,2.15426315625
266,2.17262708333333
267,2.188545184375
268,2.2466673875
269,2.25146670208333
270,2.27474238541667
271,2.25577503333333
272,2.289634059375
273,2.299314615625
274,2.30997851145833
275,2.33770627395833
276,2.33604238645833
277,2.37697989166667
