"dos","doy","year","mass.slurry","mass.frozen","depth.slurry","temp.air","temp.wall","temp.floor","temp.slurry","sim","date","CH4_emis_rate","CH4_emis_cum","day.of.month"
745,15,2021,1000,20.16,1,-4.9,2.46,9.76,0,"1m",2021-01-15,0,0,"15"
776,46,2021,1000,44.21,1,-2.35,-1.13,7.91,0,"1m",2021-02-15,0,0,"15"
804,74,2021,1000,12.28,1,2.33,-2.33,6.12,0,"1m",2021-03-15,0,0,"15"
835,105,2021,1000,0,1,8.84,-1.05,4.52,5.34,"1m",2021-04-15,413.179062656127,3299.34271893743,"15"
865,135,2021,1000,0,1,14.8,2.46,3.75,10.72,"1m",2021-05-15,5492.03519364726,66730.1682477444,"15"
896,166,2021,1000,0,1,18.95,7.46,3.99,15.28,"1m",2021-06-15,28775.908312073,815330.703866146,"15"
926,196,2021,1000,0,1,19.93,12.32,5.16,17.82,"1m",2021-07-15,28985.2109086253,1635558.69434937,"15"
957,227,2021,1000,0,1,17.55,16.01,7,17.86,"1m",2021-08-15,25924.3545920029,2505632.24463252,"15"
988,258,2021,1000,0,1,12.37,17.33,8.98,15.27,"1m",2021-09-15,17286.0378380362,3179148.1360554,"15"
1018,288,2021,1000,0,1,6.05,16.01,10.5,10.94,"1m",2021-10-15,8367.75157204084,3555838.99799008,"15"
1049,319,2021,1000,0,1,-0.06,12.32,11.26,5.79,"1m",2021-11-15,2121.37775009684,3704704.88394392,"15"
1079,349,2021,1000,0,1,-3.99,7.46,10.99,1.49,"1m",2021-12-15,97.2813253365457,3728155.7161402,"15"
745,15,2021,2000,0,2,-4.9,2.46,9.76,0.71,"2m",2021-01-15,70.0619971081614,3710.07467199303,"15"
776,46,2021,2000,11.8,2,-2.35,-1.13,7.91,0,"2m",2021-02-15,0,3924.52888021991,"15"
804,74,2021,2000,0,2,2.33,-2.33,6.12,0.65,"2m",2021-03-15,14.4737950414419,3974.39857114479,"15"
835,105,2021,2000,0,2,8.84,-1.05,4.52,4,"2m",2021-04-15,563.1891890876,10075.7086245809,"15"
865,135,2021,2000,0,2,14.8,2.46,3.75,8.35,"2m",2021-05-15,4934.96580100246,74613.7564685754,"15"
896,166,2021,2000,0,2,18.95,7.46,3.99,12.82,"2m",2021-06-15,56553.6649285033,733786.374353208,"15"
926,196,2021,2000,0,2,19.93,12.32,5.16,15.96,"2m",2021-07-15,53372.8664233331,2549508.32394836,"15"
957,227,2021,2000,0,2,17.55,16.01,7,17.13,"2m",2021-08-15,55338.4993298352,4276645.16577206,"15"
988,258,2021,2000,0,2,12.37,17.33,8.98,15.86,"2m",2021-09-15,43259.8981296644,5826410.61130384,"15"
1018,288,2021,2000,0,2,6.05,16.01,10.5,12.65,"2m",2021-10-15,25821.3904672936,6857351.99472519,"15"
1049,319,2021,2000,0,2,-0.06,12.32,11.26,8.18,"2m",2021-11-15,10200.4344524182,7393475.42020717,"15"
1079,349,2021,2000,0,2,-3.99,7.46,10.99,3.89,"2m",2021-12-15,1925.5351755023,7552032.69797109,"15"
745,15,2021,3000,0,3,-4.9,2.46,9.76,2.18,"3m",2021-01-15,1272.75266169757,32365.6729012839,"15"
