Day of sim.,Day of year,Year,Radiation,Generation,Air,Floor,Lower wall,Upper wall,Feed,Total,Total step,          Total step adjusted,Steady state temp,Steady state used
,,,(W),(W),(W),(W),(W),(W),(W),(W),(J),(J),,
day,doy,year,rad,gen,air,floor,lower_wall,upper_wall,feed,total,total_step,total_adjusted,          steady_state_used,steady_state_temp
   1,299,   1,     -1.277,     -0.000,      8.492,      2.900,      0.095,     10.267,             0.,            23.,         81699.,         81699.,10.09,    F
   2,300,   1,     -0.173,     -0.000,      1.171,      2.121,      0.045,      1.415,             0.,             5.,         18269.,         18269.,12.97,    F
   3,301,   1,     -0.866,     -0.000,      2.291,      1.504,      0.014,      2.770,             0.,             6.,         22799.,         22799.,12.49,    F
   4,302,   1,     -1.343,     -0.000,      5.360,      1.049,      0.032,      6.480,             0.,            13.,         46197.,         46197.,10.82,    F
   5,303,   1,     -0.563,     -0.000,      3.903,      0.641,      0.041,      4.719,             0.,            10.,         34882.,         34882.,10.97,    F
   6,304,   1,     -0.931,     -0.000,      4.296,      0.413,      0.036,      5.194,             0.,            10.,         35942.,         35942.,10.51,    F
   7,305,   1,     -0.649,     -0.000,      2.867,      0.540,      0.032,      3.467,             0.,             7.,         24966.,         24966.,10.76,    F
   8,306,   1,     -0.931,     -0.000,      7.904,      0.668,      0.045,      9.556,             0.,            19.,         68793.,         68793., 7.84,    F
   9,307,   1,     -1.126,     -0.000,     10.008,      0.686,      0.078,     12.100,             0.,            24.,         86764.,         86764., 5.97,    F
  10,308,   1,     -0.628,     -0.000,     11.524,      0.834,      0.094,     13.933,             0.,            29.,        102768.,        102768., 4.02,    F
  11,309,   1,     -0.974,     -0.000,      2.276,      0.953,      0.065,      2.752,             0.,             6.,         20234.,         20234., 7.81,    F
  12,310,   1,     -0.325,     -0.000,     -1.627,      1.102,      0.004,     -1.967,             0.,            -3.,        -11224.,        -11224., 9.47,    F
  13,311,   1,     -0.649,     -0.000,      2.250,      0.966,      0.001,      2.721,             0.,             6.,         21104.,         21104., 7.65,    F
  14,312,   1,     -0.389,     -0.000,      4.766,      0.670,      0.029,      5.763,             0.,            12.,         43249.,         43249., 6.08,    F
  15,313,   1,     -0.173,     -0.000,     -1.926,      0.167,      0.016,     -2.328,             0.,            -5.,        -16936.,        -16936., 9.20,    F
  16,314,   1,     -0.497,     -0.000,     -3.627,      0.075,     -0.023,     -4.385,             0.,            -9.,        -33745.,        -33745.,10.41,    F
  17,315,   1,     -0.520,     -0.000,      2.202,      0.205,     -0.009,      2.662,             0.,             5.,         18114.,         18114., 7.67,    F
  18,316,   1,     -0.237,     -0.000,      2.861,      0.133,      0.022,      3.459,             0.,             7.,         24889.,         24889., 7.06,    F
  19,317,   1,     -0.237,     -0.000,      1.526,     -0.093,      0.020,      1.845,             0.,             3.,         12211.,         12211., 7.54,    F
  20,318,   1,     -0.151,     -0.000,      1.097,      0.035,      0.012,      1.327,             0.,             3.,          9254.,          9254., 7.58,    F
  21,319,   1,     -0.130,     -0.000,      2.789,      0.308,      0.016,      3.372,             0.,             7.,         25356.,         25356., 6.50,    F
  22,320,   1,     -0.087,     -0.000,      4.526,      0.317,      0.031,      5.472,             0.,            11.,         40935.,         40935., 5.27,    F
  23,321,   1,     -0.432,     -0.000,      2.712,      0.299,      0.033,      3.279,             0.,             7.,         23502.,         23502., 5.86,    F
  24,322,   1,     -0.194,     -0.000,     -3.629,      0.298,     -0.001,     -4.388,             0.,            -9.,        -31580.,        -31580., 8.90,    F
  25,323,   1,     -0.411,     -0.000,     -6.433,      0.260,     -0.043,     -7.778,             0.,           -16.,        -57475.,        -57475.,10.82,    F
  26,324,   1,     -0.173,     -0.000,     -2.719,      0.085,     -0.042,     -3.287,             0.,            -7.,        -24484.,        -24484., 9.49,    F
  27,325,   1,     -0.520,     -0.000,      6.943,     -0.155,      0.014,      8.394,             0.,            16.,         58555.,         58555., 4.78,    F
  28,326,   1,     -0.714,     -0.000,      7.705,     -0.273,      0.064,      9.316,             0.,            18.,         64232.,         64232., 3.77,    F
  29,327,   1,     -0.540,     -0.000,      0.032,     -0.053,      0.038,      0.038,             0.,            -1.,         -1937.,         -1937., 7.01,    F
  30,328,   1,     -0.368,     -0.000,     -0.489,      0.367,     -0.002,     -0.591,             0.,            -1.,         -4324.,         -4324., 7.18,    F
  31,329,   1,     -0.540,     -0.000,      3.035,      0.662,      0.009,      3.669,             0.,             8.,         27268.,         27268., 5.33,    F
  32,330,   1,     -0.477,     -0.000,      7.676,      0.490,      0.045,      9.280,             0.,            19.,         67885.,         67885., 2.57,    F
  33,331,   1,     -0.280,     -0.000,      6.167,      0.263,      0.061,      7.456,             0.,            15.,         54526.,         54526., 2.60,    F
  34,332,   1,     -0.194,     -0.000,      6.622,      0.476,      0.056,      8.006,             0.,            17.,         59707.,         59707., 1.66,    F
  35,333,   1,     -0.477,     -0.000,      8.889,      0.808,      0.067,     10.747,             0.,            22.,         79935.,         79935.,-0.23,    F
  36,334,   1,     -0.497,     -0.000,      4.027,      0.976,      0.059,      4.869,             0.,            10.,         37638.,         37638., 1.40,    F
  37,335,   1,     -0.151,     -0.000,      6.197,      0.909,      0.043,      7.492,             0.,            16.,         57814.,         57814.,-0.25,    F
  38,336,   1,     -0.563,     -0.000,      6.122,      0.921,      0.054,      7.401,             0.,            15.,         55598.,         55598.,-0.78,    F
  39,337,   1,     -0.194,     -0.000,      2.589,      0.867,      0.040,      3.130,             0.,             7.,         25662.,         25662., 0.39,    F
  40,338,   1,     -0.194,     -0.000,      1.240,      0.638,      0.017,      1.500,             0.,             4.,         12771.,         12771., 0.87,    F
  41,339,   1,     -0.130,     -0.000,      2.192,      0.628,      0.014,      2.650,             0.,             6.,         21362.,         21362., 0.21,    F
  42,340,   1,     -0.303,     -0.000,      3.690,      0.488,      0.025,      4.462,             0.,             9.,         33365.,         33365.,-0.76,    F
  43,341,   1,     -0.217,     -0.000,     -0.406,      0.286,      0.016,     -0.491,             0.,            -1.,         -3241.,         -3241., 1.06,    F
  44,342,   1,     -0.108,     -0.000,     -0.517,      0.228,     -0.004,     -0.625,             0.,            -1.,         -4096.,         -4096., 1.15,    F
  45,343,   1,     -0.151,     -0.000,      0.084,      0.223,     -0.002,      0.102,             0.,             0.,          1022.,          1022., 0.89,    F
  46,344,   1,     -0.130,     -0.000,      0.068,      0.148,      0.001,      0.082,             0.,             0.,           677.,           677., 0.90,    F
  47,345,   1,     -0.194,     -0.000,      1.796,     -0.017,      0.007,      2.171,             0.,             4.,         15017.,         15017., 0.03,    F
  48,346,   1,     -0.151,     -0.000,     -2.469,     -0.006,     -0.001,     -2.986,             0.,            -6.,        -22398.,        -22398., 2.11,    F
  49,347,   1,     -0.194,     -0.000,    -10.292,     -0.077,     -0.052,    -12.444,             0.,           -26.,        -92005.,        -92005., 6.55,    F
  50,348,   1,     -0.346,     -0.000,     -5.869,     -0.220,     -0.073,     -7.096,             0.,           -15.,        -54276.,        -54276., 5.33,    F
  51,349,   1,     -0.173,     -0.000,     -9.450,     -0.468,     -0.065,    -11.425,             0.,           -24.,        -86109.,        -86109., 7.87,    F
