Day of sim.,Day of year,Year,Radiation,Generation,Air,Floor,Lower wall,Upper wall,Feed,Total,Total step,          Total step adjusted,Steady state temp,Steady state used
,,,(W),(W),(W),(W),(W),(W),(W),(W),(J),(J),,
day,doy,year,rad,gen,air,floor,lower_wall,upper_wall,feed,total,total_step,total_adjusted,          steady_state_used,steady_state_temp
   1,  1,   1,   -330.168,     -0.000,  16439.217,   6009.307,      0.000,   8077.933,            -0.,         30332.,     109193400.,     109193400.,-4.27,    F
   2,  2,   1,   -325.863,     -0.000,  16310.074,   5959.100,      0.000,   8014.476,            -0.,         30092.,     108330936.,     108330936.,-4.30,    F
   3,  3,   1,   -322.274,     -0.000,  16179.051,   5908.130,      0.000,   7950.093,            -0.,         29848.,     107453016.,     107453016.,-4.32,    F
   4,  4,   1,   -319.401,     -0.000,  16046.170,   5856.408,      0.000,   7884.797,            -0.,         29600.,     106559712.,     106559712.,-4.34,    F
   5,  5,   1,   -317.246,     -0.000,  15911.449,   5803.938,      0.000,   7818.598,            -0.,         29348.,     105651240.,     105651240.,-4.35,    F
   6,  6,   1,   -315.809,     -0.000,  15774.906,   5750.726,      0.000,   7751.503,            -0.,         29091.,     104727640.,     104727640.,-4.36,    F
   7,  7,   1,   -315.090,     -0.000,  15636.556,   5696.780,      0.000,   7683.520,            -0.,         28830.,     103789048.,     103789048.,-4.37,    F
   8,  8,   1,   -315.090,     -0.000,  15496.424,   5642.108,      0.000,   7614.662,            -0.,         28565.,     102835592.,     102835592.,-4.37,    F
   9,  9,   1,   -315.809,     -0.000,  15354.525,   5586.717,      0.000,   7544.936,            -0.,         28297.,     101867432.,     101867432.,-4.37,    F
  10, 10,   1,   -317.246,     -0.000,  15210.884,   5530.614,      0.000,   7474.353,            -0.,         28024.,     100884696.,     100884696.,-4.36,    F
  11, 11,   1,   -319.401,     -0.000,  15065.517,   5473.806,      0.000,   7402.922,            -0.,         27747.,      99887520.,      99887520.,-4.35,    F
  12, 12,   1,   -322.274,     -0.000,  14918.453,   5416.304,      0.000,   7330.658,            -0.,         27466.,      98876072.,      98876072.,-4.33,    F
  13, 13,   1,   -325.863,     -0.000,  14769.709,   5358.114,      0.000,   7257.567,            -0.,         27181.,      97850504.,      97850504.,-4.31,    F
  14, 14,   1,   -330.168,     -0.000,  14619.312,   5299.247,      0.000,   7183.666,            -0.,         26892.,      96810976.,      96810976.,-4.29,    F
  15, 15,   1,   -335.187,     -0.000,  14467.287,   5239.711,      0.000,   7108.963,            -0.,         26599.,      95757656.,      95757656.,-4.26,    F
  16, 16,   1,   -340.918,     -0.000,  14313.654,   5179.516,      0.000,   7033.471,            -0.,         26303.,      94690720.,      94690720.,-4.23,    F
  17, 17,   1,   -347.361,     -0.000,  14158.445,   5118.670,      0.000,   6957.203,            -0.,         26003.,      93610336.,      93610336.,-4.20,    F
  18, 18,   1,   -354.513,     -0.000,  14001.683,   5057.186,      0.000,   6880.173,            -0.,         25699.,      92516728.,      92516728.,-4.16,    F
  19, 19,   1,   -362.372,     -0.000,  13843.392,   4995.072,      0.000,   6802.392,            -0.,         25392.,      91410040.,      91410040.,-4.11,    F
  20, 20,   1,   -370.936,     -0.000,  13683.604,   4932.337,      0.000,   6723.875,            -0.,         25081.,      90290464.,      90290464.,-4.06,    F
  21, 21,   1,   -380.201,     -0.000,  13522.346,   4868.996,      0.000,   6644.635,            -0.,         24766.,      89158240.,      89158240.,-4.01,    F
  22, 22,   1,   -390.167,     -0.000,  13359.645,   4805.057,      0.000,   6564.687,            -0.,         24448.,      88013544.,      88013544.,-3.96,    F
  23, 23,   1,   -400.828,     -0.000,  13195.531,   4740.532,      0.000,   6484.045,            -0.,         24127.,      86856600.,      86856600.,-3.90,    F
  24, 24,   1,   -412.183,     -0.000,  13030.036,   4675.433,      0.000,   6402.724,            -0.,         23802.,      85687608.,      85687608.,-3.83,    F
  25, 25,   1,   -424.228,     -0.000,  12863.190,   4609.771,      0.000,   6320.739,            -0.,         23474.,      84506816.,      84506816.,-3.76,    F
  26, 26,   1,   -436.959,     -0.000,  12695.023,   4543.559,      0.000,   6238.105,            -0.,         23143.,      83314408.,      83314408.,-3.69,    F
  27, 27,   1,   -450.373,     -0.000,  12525.568,   4476.808,      0.000,   6154.837,            -0.,         22809.,      82110664.,      82110664.,-3.62,    F
  28, 28,   1,   -464.466,     -0.000,  12354.855,   4409.531,      0.000,   6070.952,            -0.,         22471.,      80895768.,      80895768.,-3.54,    F
  29, 29,   1,   -479.233,     -0.000,  12182.920,   4341.741,      0.000,   5986.466,            -0.,         22131.,      79669968.,      79669968.,-3.45,    F
  30, 30,   1,   -494.669,     -0.000,  12009.793,   4273.450,      0.000,   5901.395,            -0.,         21787.,      78433520.,      78433520.,-3.36,    F
  31, 31,   1,   -510.772,     -0.000,  11835.509,   4204.672,      0.000,   5815.754,            -0.,         21441.,      77186680.,      77186680.,-3.27,    F
  32, 32,   1,   -527.535,     -0.000,  11660.103,   4135.420,      0.000,   5729.563,            -0.,         21092.,      75929656.,      75929656.,-3.18,    F
  33, 33,   1,   -544.954,     -0.000,  11483.610,   4065.707,      0.000,   5642.838,            -0.,         20740.,      74662768.,      74662768.,-3.08,    F
  34, 34,   1,   -563.023,     -0.000,  11306.065,   3995.548,      0.000,   5555.595,            -0.,         20385.,      73386200.,      73386200.,-2.97,    F
  35, 35,   1,   -581.738,     -0.000,  11127.507,   3924.957,      0.000,   5467.855,            -0.,         20028.,      72100280.,      72100280.,-2.87,    F
  36, 36,   1,   -601.092,     -0.000,  10947.964,   3853.945,      0.000,   5379.631,            -0.,         19668.,      70805248.,      70805248.,-2.76,    F
  37, 37,   1,   -621.081,     -0.000,  10767.477,   3782.529,      0.000,   5290.943,            -0.,         19306.,      69501352.,      69501352.,-2.64,    F
  38, 38,   1,   -641.697,     -0.000,  10586.083,   3710.723,      0.000,   5201.810,            -0.,         18941.,      68188888.,      68188888.,-2.53,    F
  39, 39,   1,   -662.936,     -0.000,  10403.818,   3638.541,      0.000,   5112.248,            -0.,         18574.,      66868096.,      66868096.,-2.40,    F
  40, 40,   1,   -684.789,     -0.000,  10220.726,   3565.999,      0.000,   5022.279,            -0.,         18205.,      65539340.,      65539340.,-2.28,    F
  41, 41,   1,   -707.253,     -0.000,  10036.838,   3493.111,      0.000,   4931.920,            -0.,         17834.,      64202820.,      64202820.,-2.15,    F
  42, 42,   1,   -730.318,     -0.000,   9852.197,   3419.893,      0.000,   4841.191,            -0.,         17461.,      62858880.,      62858880.,-2.02,    F
  43, 43,   1,   -753.979,     -0.000,   9666.842,   3346.360,      0.000,   4750.111,            -0.,         17085.,      61507780.,      61507780.,-1.88,    F
  44, 44,   1,   -778.229,     -0.000,   9480.810,   3272.527,      0.000,   4658.698,            -0.,         16708.,      60149836.,      60149836.,-1.74,    F
  45, 45,   1,   -803.061,     -0.000,   9294.141,   3198.409,      0.000,   4566.972,            -0.,         16329.,      58785308.,      58785308.,-1.60,    F
  46, 46,   1,   -828.466,     -0.000,   9106.879,   3124.024,      0.000,   4474.955,            -0.,         15948.,      57414556.,      57414556.,-1.46,    F
