Day of sim.,Day of year,Year,Radiation,Generation,Air,Floor,Lower wall,Upper wall,Feed,Total,Total step,          Total step adjusted,Steady state temp,Steady state used
,,,(W),(W),(W),(W),(W),(W),(W),(W),(J),(J),,
day,doy,year,rad,gen,air,floor,lower_wall,upper_wall,feed,total,total_step,total_adjusted,          steady_state_used,steady_state_temp
   1,  1,   1,    -13.207,     -0.000,    654.775,     71.261,     80.729,    614.203,            -0.,          1420.,       5112018.,       5112018., 0.12,    F
   2,  2,   1,    -13.035,     -0.000,    646.779,     67.696,     78.454,    606.702,            -0.,          1399.,       5035165.,       5035165., 0.07,    F
   3,  3,   1,    -12.891,     -0.000,    638.792,     64.185,     76.255,    599.210,            -0.,          1377.,       4958748.,       4958748., 0.03,    F
   4,  4,   1,    -12.776,     -0.000,    630.815,     60.729,     74.131,    591.727,            -0.,          1356.,       4882754.,       4882754.,-0.00,    F
   5,  5,   1,    -12.690,     -0.000,    622.845,     57.325,     72.080,    584.251,            -0.,          1335.,       4807172.,       4807172.,-0.04,    F
   6,  6,   1,    -12.632,     -0.000,    614.882,     53.975,     70.101,    576.782,            -0.,          1314.,       4731994.,       4731994.,-0.07,    F
   7,  7,   1,    -12.604,     -0.000,    606.926,     50.678,     68.193,    569.319,            -0.,          1294.,       4657205.,       4657205.,-0.10,    F
   8,  8,   1,    -12.604,     -0.000,    598.976,     47.434,     66.355,    561.861,            -0.,          1273.,       4582798.,       4582798.,-0.12,    F
   9,  9,   1,    -12.632,     -0.000,    591.031,     44.242,     64.586,    554.408,            -0.,          1252.,       4508762.,       4508762.,-0.15,    F
  10, 10,   1,    -12.690,     -0.000,    583.090,     41.102,     62.885,    546.959,            -0.,          1232.,       4435090.,       4435090.,-0.17,    F
  11, 11,   1,    -12.776,     -0.000,    575.153,     38.014,     61.251,    539.514,            -0.,          1212.,       4361772.,       4361772.,-0.18,    F
  12, 12,   1,    -12.891,     -0.000,    567.219,     34.977,     59.683,    532.072,            -0.,          1191.,       4288800.,       4288800.,-0.20,    F
  13, 13,   1,    -13.035,     -0.000,    559.289,     31.992,     58.179,    524.633,            -0.,          1171.,       4216166.,       4216166.,-0.21,    F
  14, 14,   1,    -13.207,     -0.000,    551.361,     29.058,     56.739,    517.197,            -0.,          1151.,       4143864.,       4143864.,-0.22,    F
  15, 15,   1,    -13.407,     -0.000,    543.435,     26.175,     55.361,    509.762,            -0.,          1131.,       4071886.,       4071886.,-0.23,    F
  16, 16,   1,    -13.637,     -0.000,    535.512,     23.343,     54.045,    502.329,            -0.,          1111.,       4000227.,       4000227.,-0.23,    F
  17, 17,   1,    -13.894,     -0.000,    527.590,     20.561,     52.789,    494.898,            -0.,          1091.,       3928878.,       3928878.,-0.23,    F
  18, 18,   1,    -14.181,     -0.000,    519.669,     17.830,     51.593,    487.469,            -0.,          1072.,       3857836.,       3857836.,-0.23,    F
  19, 19,   1,    -14.495,     -0.000,    511.750,     15.148,     50.456,    480.040,            -0.,          1052.,       3787096.,       3787096.,-0.22,    F
  20, 20,   1,    -14.837,     -0.000,    503.832,     12.517,     49.376,    472.613,            -0.,          1032.,       3716651.,       3716651.,-0.22,    F
  21, 21,   1,    -15.208,     -0.000,    495.916,      9.935,     48.352,    465.187,            -0.,          1013.,       3646498.,       3646498.,-0.20,    F
  22, 22,   1,    -15.607,     -0.000,    488.000,      7.402,     47.384,    457.762,            -0.,           994.,       3576632.,       3576632.,-0.19,    F
  23, 23,   1,    -16.033,     -0.000,    480.086,      4.919,     46.471,    450.338,            -0.,           974.,       3507049.,       3507049.,-0.17,    F
  24, 24,   1,    -16.487,     -0.000,    472.172,      2.485,     45.611,    442.915,            -0.,           955.,       3437746.,       3437746.,-0.16,    F
  25, 25,   1,    -16.969,     -0.000,    464.260,      0.099,     44.803,    435.493,            -0.,           936.,       3368723.,       3368723.,-0.13,    F
  26, 26,   1,    -17.478,     -0.000,    456.350,     -2.237,     44.048,    428.073,            -0.,           917.,       3299973.,       3299973.,-0.11,    F
  27, 27,   1,    -18.015,     -0.000,    448.441,     -4.526,     43.343,    420.654,            -0.,           898.,       3231496.,       3231496.,-0.08,    F
  28, 28,   1,    -18.579,     -0.000,    440.534,     -6.766,     42.687,    413.237,            -0.,           879.,       3163289.,       3163289.,-0.05,    F
  29, 29,   1,    -19.169,     -0.000,    432.629,     -8.958,     42.081,    405.822,            -0.,           860.,       3095350.,       3095350.,-0.02,    F
  30, 30,   1,    -19.787,     -0.000,    424.727,    -11.102,     41.522,    398.409,            -0.,           841.,       3027678.,       3027678., 0.02,    F
  31, 31,   1,    -20.431,     -0.000,    416.827,    -13.198,     41.010,    390.999,            -0.,           822.,       2960272.,       2960272., 0.06,    F
  32, 32,   1,    -21.101,     -0.000,    408.930,    -15.247,     40.544,    383.591,            -0.,           804.,       2893131.,       2893131., 0.10,    F
  33, 33,   1,    -21.798,     -0.000,    401.037,    -17.248,     40.124,    376.187,            -0.,           785.,       2826255.,       2826255., 0.14,    F
  34, 34,   1,    -22.521,     -0.000,    393.147,    -19.203,     39.747,    368.787,            -0.,           767.,       2759643.,       2759643., 0.19,    F
  35, 35,   1,    -23.270,     -0.000,    385.262,    -21.110,     39.414,    361.390,            -0.,           748.,       2693295.,       2693295., 0.24,    F
  36, 36,   1,    -24.044,     -0.000,    377.382,    -22.971,     39.123,    353.998,            -0.,           730.,       2627211.,       2627211., 0.29,    F
  37, 37,   1,    -24.843,     -0.000,    369.507,    -24.785,     38.873,    346.611,            -0.,           711.,       2561393.,       2561393., 0.35,    F
  38, 38,   1,    -25.668,     -0.000,    361.638,    -26.553,     38.664,    339.230,            -0.,           693.,       2495841.,       2495841., 0.40,    F
  39, 39,   1,    -26.517,     -0.000,    353.775,    -28.274,     38.494,    331.854,            -0.,           675.,       2430555.,       2430555., 0.46,    F
  40, 40,   1,    -27.392,     -0.000,    345.920,    -29.950,     38.364,    324.486,            -0.,           657.,       2365538.,       2365538., 0.53,    F
  41, 41,   1,    -28.290,     -0.000,    338.072,    -31.579,     38.271,    317.124,            -0.,           639.,       2300791.,       2300791., 0.59,    F
  42, 42,   1,    -29.213,     -0.000,    330.233,    -33.163,     38.215,    309.770,            -0.,           621.,       2236316.,       2236316., 0.66,    F
  43, 43,   1,    -30.159,     -0.000,    322.403,    -34.702,     38.195,    302.426,            -0.,           603.,       2172115.,       2172115., 0.73,    F
  44, 44,   1,    -31.129,     -0.000,    314.582,    -36.196,     38.211,    295.090,            -0.,           586.,       2108190.,       2108190., 0.80,    F
  45, 45,   1,    -32.122,     -0.000,    306.773,    -37.644,     38.261,    287.764,            -0.,           568.,       2044544.,       2044544., 0.88,    F
  46, 46,   1,    -33.139,     -0.000,    298.975,    -39.047,     38.345,    280.449,            -0.,           550.,       1981180.,       1981180., 0.96,    F
  47, 47,   1,    -34.178,     -0.000,    291.188,    -40.406,     38.461,    273.145,            -0.,           533.,       1918099.,       1918099., 1.04,    F
  48, 48,   1,    -35.239,     -0.000,    283.415,    -41.721,     38.610,    265.854,            -0.,           515.,       1855306.,       1855306., 1.12,    F
