Day of sim.,Day of year,Year,Slurry mass,Frozen mass,Slurry depth,Air T,Wall T,Floor T,In T,Slurry T
,,,(Mg = 1000 kg),(Mg = 1000 kg),(m),(deg. C),(deg. C),(deg. C),(deg. C),(deg. C)
day,doy,year,slurry_mass,frozen_mass,slurry_depth,air_temp,wall_temp,floor_temp,in_temp,slurry_temp
   1,  1,   1, 3500.00,    0.00,    4.95,   -4.92,   -2.91,   -2.86,   15.00,   14.91
   2,  2,   1, 3500.00,    0.00,    4.95,   -4.94,   -2.93,   -2.89,   14.82,   14.73
   3,  3,   1, 3500.00,    0.00,    4.95,   -4.96,   -2.95,   -2.92,   14.64,   14.55
   4,  4,   1, 3500.00,    0.00,    4.95,   -4.98,   -2.97,   -2.94,   14.47,   14.38
   5,  5,   1, 3500.00,    0.00,    4.95,   -4.99,   -2.98,   -2.96,   14.29,   14.20
   6,  6,   1, 3500.00,    0.00,    4.95,   -5.00,   -2.99,   -2.97,   14.12,   14.03
   7,  7,   1, 3500.00,    0.00,    4.95,   -5.00,   -3.00,   -2.98,   13.95,   13.86
   8,  8,   1, 3500.00,    0.00,    4.95,   -5.00,   -3.00,   -2.99,   13.78,   13.69
   9,  9,   1, 3500.00,    0.00,    4.95,   -5.00,   -3.00,   -3.00,   13.61,   13.52
  10, 10,   1, 3500.00,    0.00,    4.95,   -4.99,   -2.99,   -3.00,   13.44,   13.36
  11, 11,   1, 3500.00,    0.00,    4.95,   -4.98,   -2.98,   -2.99,   13.28,   13.19
  12, 12,   1, 3500.00,    0.00,    4.95,   -4.96,   -2.97,   -2.98,   13.12,   13.03
  13, 13,   1, 3500.00,    0.00,    4.95,   -4.94,   -2.95,   -2.97,   12.95,   12.87
  14, 14,   1, 3500.00,    0.00,    4.95,   -4.92,   -2.93,   -2.96,   12.79,   12.71
  15, 15,   1, 3500.00,    0.00,    4.95,   -4.90,   -2.91,   -2.94,   12.64,   12.55
  16, 16,   1, 3500.00,    0.00,    4.95,   -4.87,   -2.88,   -2.92,   12.48,   12.40
  17, 17,   1, 3500.00,    0.00,    4.95,   -4.83,   -2.85,   -2.89,   12.32,   12.24
  18, 18,   1, 3500.00,    0.00,    4.95,   -4.80,   -2.81,   -2.86,   12.17,   12.09
  19, 19,   1, 3500.00,    0.00,    4.95,   -4.76,   -2.78,   -2.83,   12.02,   11.94
  20, 20,   1, 3500.00,    0.00,    4.95,   -4.71,   -2.73,   -2.79,   11.87,   11.79
  21, 21,   1, 3500.00,    0.00,    4.95,   -4.66,   -2.69,   -2.75,   11.72,   11.65
  22, 22,   1, 3500.00,    0.00,    4.95,   -4.61,   -2.64,   -2.71,   11.58,   11.50
  23, 23,   1, 3500.00,    0.00,    4.95,   -4.56,   -2.59,   -2.66,   11.43,   11.36
  24, 24,   1, 3500.00,    0.00,    4.95,   -4.50,   -2.53,   -2.61,   11.29,   11.22
  25, 25,   1, 3500.00,    0.00,    4.95,   -4.44,   -2.47,   -2.55,   11.15,   11.08
  26, 26,   1, 3500.00,    0.00,    4.95,   -4.37,   -2.40,   -2.50,   11.01,   10.94
  27, 27,   1, 3500.00,    0.00,    4.95,   -4.30,   -2.34,   -2.43,   10.88,   10.80
  28, 28,   1, 3500.00,    0.00,    4.95,   -4.23,   -2.27,   -2.37,   10.74,   10.67
  29, 29,   1, 3500.00,    0.00,    4.95,   -4.15,   -2.19,   -2.30,   10.61,   10.54
  30, 30,   1, 3500.00,    0.00,    4.95,   -4.07,   -2.11,   -2.23,   10.48,   10.41
  31, 31,   1, 3500.00,    0.00,    4.95,   -3.99,   -2.03,   -2.15,   10.35,   10.28
  32, 32,   1, 3500.00,    0.00,    4.95,   -3.90,   -1.95,   -2.07,   10.22,   10.16
  33, 33,   1, 3500.00,    0.00,    4.95,   -3.81,   -1.86,   -1.99,   10.10,   10.04
  34, 34,   1, 3500.00,    0.00,    4.95,   -3.72,   -1.77,   -1.90,    9.98,    9.91
  35, 35,   1, 3500.00,    0.00,    4.95,   -3.63,   -1.67,   -1.81,    9.86,    9.80
  36, 36,   1, 3500.00,    0.00,    4.95,   -3.53,   -1.58,   -1.72,    9.74,    9.68
  37, 37,   1, 3500.00,    0.00,    4.95,   -3.42,   -1.47,   -1.62,    9.62,    9.56
  38, 38,   1, 3500.00,    0.00,    4.95,   -3.32,   -1.37,   -1.52,    9.51,    9.45
  39, 39,   1, 3500.00,    0.00,    4.95,   -3.21,   -1.26,   -1.42,    9.40,    9.34
  40, 40,   1, 3500.00,    0.00,    4.95,   -3.09,   -1.15,   -1.31,    9.29,    9.23
  41, 41,   1, 3500.00,    0.00,    4.95,   -2.98,   -1.04,   -1.20,    9.18,    9.13
  42, 42,   1, 3500.00,    0.00,    4.95,   -2.86,   -0.92,   -1.09,    9.08,    9.02
  43, 43,   1, 3500.00,    0.00,    4.95,   -2.74,   -0.80,   -0.98,    8.97,    8.92
  44, 44,   1, 3500.00,    0.00,    4.95,   -2.61,   -0.68,   -0.86,    8.87,    8.82
  45, 45,   1, 3500.00,    0.00,    4.95,   -2.48,   -0.55,   -0.73,    8.77,    8.72
  46, 46,   1, 3500.00,    0.00,    4.95,   -2.35,   -0.42,   -0.61,    8.68,    8.63
  47, 47,   1, 3500.00,    0.00,    4.95,   -2.22,   -0.29,   -0.48,    8.58,    8.54
  48, 48,   1, 3500.00,    0.00,    4.95,   -2.08,   -0.15,   -0.35,    8.49,    8.45
  49, 49,   1, 3500.00,    0.00,    4.95,   -1.94,   -0.01,   -0.22,    8.40,    8.36
  50, 50,   1, 3500.00,    0.00,    4.95,   -1.80,    0.13,   -0.08,    8.32,    8.27
  51, 51,   1, 3500.00,    0.00,    4.95,   -1.66,    0.27,    0.06,    8.23,    8.19
  52, 52,   1, 3500.00,    0.00,    4.95,   -1.51,    0.42,    0.20,    8.15,    8.11
  53, 53,   1, 3500.00,    0.00,    4.95,   -1.36,    0.57,    0.35,    8.07,    8.03
  54, 54,   1, 3500.00,    0.00,    4.95,   -1.20,    0.72,    0.49,    7.99,    7.95
  55, 55,   1, 3500.00,    0.00,    4.95,   -1.05,    0.87,    0.64,    7.91,    7.88
  56, 56,   1, 3500.00,    0.00,    4.95,   -0.89,    1.03,    0.80,    7.84,    7.80
