Day of sim.,Day of year,Year,Slurry mass,Frozen mass,Slurry depth,Air T,Wall T,Floor T,In T,Slurry T
,,,(Mg = 1000 kg),(Mg = 1000 kg),(m),(deg. C),(deg. C),(deg. C),(deg. C),(deg. C)
day,doy,year,slurry_mass,frozen_mass,slurry_depth,air_temp,wall_temp,floor_temp,in_temp,slurry_temp
   1,  1,   1,  110.00,    0.00,    3.89,   -4.92,   10.29,    9.50,   15.00,   14.86
   2,  2,   1,  110.00,    0.00,    3.89,   -4.94,   10.15,    9.50,   14.73,   14.60
   3,  3,   1,  110.00,    0.00,    3.89,   -4.96,   10.01,    9.50,   14.47,   14.34
   4,  4,   1,  110.00,    0.00,    3.89,   -4.98,    9.88,    9.50,   14.21,   14.08
   5,  5,   1,  110.00,    0.00,    3.89,   -4.99,    9.74,    9.50,   13.96,   13.83
   6,  6,   1,  110.00,    0.00,    3.89,   -5.00,    9.60,    9.50,   13.71,   13.58
   7,  7,   1,  110.00,    0.00,    3.89,   -5.00,    9.47,    9.50,   13.46,   13.34
   8,  8,   1,  110.00,    0.00,    3.89,   -5.00,    9.33,    9.50,   13.22,   13.10
   9,  9,   1,  110.00,    0.00,    3.89,   -5.00,    9.19,    9.50,   12.98,   12.86
  10, 10,   1,  110.00,    0.00,    3.89,   -4.99,    9.05,    9.50,   12.75,   12.63
  11, 11,   1,  110.00,    0.00,    3.89,   -4.98,    8.92,    9.50,   12.52,   12.40
  12, 12,   1,  110.00,    0.00,    3.89,   -4.96,    8.78,    9.50,   12.29,   12.17
  13, 13,   1,  110.00,    0.00,    3.89,   -4.94,    8.64,    9.50,   12.07,   11.95
  14, 14,   1,  110.00,    0.00,    3.89,   -4.92,    8.51,    9.50,   11.85,   11.73
  15, 15,   1,  110.00,    0.00,    3.89,   -4.90,    8.37,    9.50,   11.63,   11.52
  16, 16,   1,  110.00,    0.00,    3.89,   -4.87,    8.23,    9.50,   11.42,   11.31
  17, 17,   1,  110.00,    0.00,    3.89,   -4.83,    8.10,    9.50,   11.21,   11.10
  18, 18,   1,  110.00,    0.00,    3.89,   -4.80,    7.96,    9.50,   11.00,   10.90
  19, 19,   1,  110.00,    0.00,    3.89,   -4.76,    7.83,    9.50,   10.80,   10.70
  20, 20,   1,  110.00,    0.00,    3.89,   -4.71,    7.70,    9.50,   10.61,   10.51
  21, 21,   1,  110.00,    0.00,    3.89,   -4.66,    7.56,    9.50,   10.41,   10.31
  22, 22,   1,  110.00,    0.00,    3.89,   -4.61,    7.43,    9.50,   10.22,   10.13
  23, 23,   1,  110.00,    0.00,    3.89,   -4.56,    7.30,    9.50,   10.04,    9.94
  24, 24,   1,  110.00,    0.00,    3.89,   -4.50,    7.17,    9.50,    9.85,    9.76
  25, 25,   1,  110.00,    0.00,    3.89,   -4.44,    7.03,    9.50,    9.68,    9.58
  26, 26,   1,  110.00,    0.00,    3.89,   -4.37,    6.90,    9.50,    9.50,    9.41
  27, 27,   1,  110.00,    0.00,    3.89,   -4.30,    6.77,    9.50,    9.33,    9.24
  28, 28,   1,  110.00,    0.00,    3.89,   -4.23,    6.65,    9.50,    9.16,    9.07
  29, 29,   1,  110.00,    0.00,    3.89,   -4.15,    6.52,    9.50,    9.00,    8.91
  30, 30,   1,  110.00,    0.00,    3.89,   -4.07,    6.39,    9.50,    8.83,    8.75
  31, 31,   1,  110.00,    0.00,    3.89,   -3.99,    6.26,    9.50,    8.68,    8.60
  32, 32,   1,  110.00,    0.00,    3.89,   -3.90,    6.14,    9.50,    8.52,    8.44
  33, 33,   1,  110.00,    0.00,    3.89,   -3.81,    6.02,    9.50,    8.37,    8.29
  34, 34,   1,  110.00,    0.00,    3.89,   -3.72,    5.89,    9.50,    8.22,    8.15
  35, 35,   1,  110.00,    0.00,    3.89,   -3.63,    5.77,    9.50,    8.08,    8.01
  36, 36,   1,  110.00,    0.00,    3.89,   -3.53,    5.65,    9.50,    7.94,    7.87
  37, 37,   1,  110.00,    0.00,    3.89,   -3.42,    5.53,    9.50,    7.80,    7.73
  38, 38,   1,  110.00,    0.00,    3.89,   -3.32,    5.41,    9.50,    7.67,    7.60
  39, 39,   1,  110.00,    0.00,    3.89,   -3.21,    5.29,    9.50,    7.54,    7.47
  40, 40,   1,  110.00,    0.00,    3.89,   -3.09,    5.18,    9.50,    7.41,    7.35
  41, 41,   1,  110.00,    0.00,    3.89,   -2.98,    5.06,    9.50,    7.29,    7.23
  42, 42,   1,  110.00,    0.00,    3.89,   -2.86,    4.95,    9.50,    7.17,    7.11
  43, 43,   1,  110.00,    0.00,    3.89,   -2.74,    4.84,    9.50,    7.05,    7.00
  44, 44,   1,  110.00,    0.00,    3.89,   -2.61,    4.73,    9.50,    6.94,    6.88
  45, 45,   1,  110.00,    0.00,    3.89,   -2.48,    4.62,    9.50,    6.83,    6.78
  46, 46,   1,  110.00,    0.00,    3.89,   -2.35,    4.51,    9.50,    6.73,    6.67
  47, 47,   1,  110.00,    0.00,    3.89,   -2.22,    4.40,    9.50,    6.62,    6.57
  48, 48,   1,  110.00,    0.00,    3.89,   -2.08,    4.30,    9.50,    6.52,    6.47
  49, 49,   1,  110.00,    0.00,    3.89,   -1.94,    4.19,    9.50,    6.43,    6.38
  50, 50,   1,  110.00,    0.00,    3.89,   -1.80,    4.09,    9.50,    6.33,    6.28
  51, 51,   1,  110.00,    0.00,    3.89,   -1.66,    3.99,    9.50,    6.24,    6.20
  52, 52,   1,  110.00,    0.00,    3.89,   -1.51,    3.89,    9.50,    6.15,    6.11
  53, 53,   1,  110.00,    0.00,    3.89,   -1.36,    3.80,    9.50,    6.07,    6.03
  54, 54,   1,  110.00,    0.00,    3.89,   -1.20,    3.70,    9.50,    5.99,    5.95
  55, 55,   1,  110.00,    0.00,    3.89,   -1.05,    3.61,    9.50,    5.91,    5.87
  56, 56,   1,  110.00,    0.00,    3.89,   -0.89,    3.52,    9.50,    5.84,    5.80
  57, 57,   1,  110.00,    0.00,    3.89,   -0.73,    3.43,    9.50,    5.77,    5.73
  58, 58,   1,  110.00,    0.00,    3.89,   -0.57,    3.34,    9.50,    5.70,    5.67
  59, 59,   1,  110.00,    0.00,    3.89,   -0.40,    3.25,    9.50,    5.64,    5.60
