Day of sim.,Day of year,Year,Radiation,Generation,Air,Floor,Lower wall,Upper wall,Feed,Total,Total step,          Total step adjusted,Steady state temp,Steady state used
,,,(W),(W),(W),(W),(W),(W),(W),(W),(J),(J),,
day,doy,year,rad,gen,air,floor,lower_wall,upper_wall,feed,total,total_step,total_adjusted,          steady_state_used,steady_state_temp
   1,  1,   1,   -333.469,     -0.000,  16618.945,   1816.214,    412.898,   3264.844,            -0.,         21889.,      78800920.,      78800920.,-0.32,    F
   2,  2,   1,   -329.122,     -0.000,  16504.484,   1762.430,    410.947,   3242.357,            -0.,         21700.,      78119512.,      78119512.,-0.35,    F
   3,  3,   1,   -325.496,     -0.000,  16388.098,   1709.120,    409.139,   3219.493,            -0.,         21508.,      77429384.,      77429384.,-0.37,    F
   4,  4,   1,   -322.595,     -0.000,  16269.795,   1656.292,    407.474,   3196.252,            -0.,         21314.,      76730568.,      76730568.,-0.39,    F
   5,  5,   1,   -320.418,     -0.000,  16149.592,   1603.950,    405.949,   3172.637,            -0.,         21118.,      76023208.,      76023208.,-0.41,    F
   6,  6,   1,   -318.967,     -0.000,  16027.496,   1552.102,    404.562,   3148.652,            -0.,         20919.,      75307304.,      75307304.,-0.42,    F
   7,  7,   1,   -318.241,     -0.000,  15903.521,   1500.750,    403.311,   3124.296,            -0.,         20717.,      74582928.,      74582928.,-0.44,    F
   8,  8,   1,   -318.241,     -0.000,  15777.679,   1449.904,    402.193,   3099.574,            -0.,         20514.,      73850152.,      73850152.,-0.44,    F
   9,  9,   1,   -318.967,     -0.000,  15649.984,   1399.567,    401.206,   3074.488,            -0.,         20308.,      73109048.,      73109048.,-0.45,    F
  10, 10,   1,   -320.418,     -0.000,  15520.453,   1349.746,    400.348,   3049.042,            -0.,         20100.,      72359704.,      72359704.,-0.45,    F
  11, 11,   1,   -322.595,     -0.000,  15389.101,   1300.446,    399.618,   3023.237,            -0.,         19889.,      71602192.,      71602192.,-0.45,    F
  12, 12,   1,   -325.496,     -0.000,  15255.944,   1251.672,    399.012,   2997.078,            -0.,         19677.,      70836608.,      70836608.,-0.45,    F
  13, 13,   1,   -329.122,     -0.000,  15121.001,   1203.431,    398.529,   2970.568,            -0.,         19462.,      70063048.,      70063048.,-0.44,    F
  14, 14,   1,   -333.469,     -0.000,  14984.286,   1155.727,    398.166,   2943.710,            -0.,         19245.,      69281576.,      69281576.,-0.43,    F
  15, 15,   1,   -338.538,     -0.000,  14845.824,   1108.567,    397.922,   2916.509,            -0.,         19026.,      68492328.,      68492328.,-0.42,    F
  16, 16,   1,   -344.328,     -0.000,  14705.628,   1061.954,    397.793,   2888.967,            -0.,         18804.,      67695360.,      67695360.,-0.40,    F
  17, 17,   1,   -350.835,     -0.000,  14563.722,   1015.895,    397.778,   2861.089,            -0.,         18581.,      66890812.,      66890812.,-0.38,    F
  18, 18,   1,   -358.058,     -0.000,  14420.127,    970.395,    397.874,   2832.879,            -0.,         18355.,      66078784.,      66078784.,-0.36,    F
  19, 19,   1,   -365.996,     -0.000,  14274.863,    925.458,    398.079,   2804.341,            -0.,         18128.,      65259392.,      65259392.,-0.34,    F
  20, 20,   1,   -374.645,     -0.000,  14127.951,    881.089,    398.391,   2775.480,            -0.,         17898.,      64432720.,      64432720.,-0.31,    F
  21, 21,   1,   -384.003,     -0.000,  13979.421,    837.295,    398.808,   2746.301,            -0.,         17666.,      63598932.,      63598932.,-0.28,    F
  22, 22,   1,   -394.068,     -0.000,  13829.290,    794.079,    399.327,   2716.807,            -0.,         17433.,      62758128.,      62758128.,-0.24,    F
  23, 23,   1,   -404.837,     -0.000,  13677.586,    751.446,    399.946,   2687.004,            -0.,         17197.,      61910436.,      61910436.,-0.20,    F
  24, 24,   1,   -416.305,     -0.000,  13524.334,    709.401,    400.662,   2656.898,            -0.,         16960.,      61055988.,      61055988.,-0.16,    F
  25, 25,   1,   -428.470,     -0.000,  13369.559,    667.949,    401.474,   2626.491,            -0.,         16721.,      60194928.,      60194928.,-0.12,    F
  26, 26,   1,   -441.329,     -0.000,  13213.287,    627.094,    402.379,   2595.792,            -0.,         16480.,      59327372.,      59327372.,-0.07,    F
  27, 27,   1,   -454.877,     -0.000,  13055.547,    586.839,    403.374,   2564.803,            -0.,         16237.,      58453460.,      58453460.,-0.02,    F
  28, 28,   1,   -469.110,     -0.000,  12896.365,    547.191,    404.458,   2533.531,            -0.,         15993.,      57573340.,      57573340., 0.03,    F
  29, 29,   1,   -484.025,     -0.000,  12735.770,    508.152,    405.628,   2501.982,            -0.,         15746.,      56687156.,      56687156., 0.09,    F
  30, 30,   1,   -499.616,     -0.000,  12573.791,    469.727,    406.882,   2470.160,            -0.,         15499.,      55795056.,      55795056., 0.14,    F
  31, 31,   1,   -515.880,     -0.000,  12410.457,    431.920,    408.216,   2438.073,            -0.,         15249.,      54897188.,      54897188., 0.21,    F
  32, 32,   1,   -532.810,     -0.000,  12245.801,    394.734,    409.630,   2405.726,            -0.,         14998.,      53993724.,      53993724., 0.27,    F
  33, 33,   1,   -550.404,     -0.000,  12079.850,    358.174,    411.120,   2373.124,            -0.,         14746.,      53084784.,      53084784., 0.34,    F
  34, 34,   1,   -568.654,     -0.000,  11912.642,    322.244,    412.685,   2340.276,            -0.,         14492.,      52170576.,      52170576., 0.41,    F
  35, 35,   1,   -587.556,     -0.000,  11744.198,    286.945,    414.321,   2307.184,            -0.,         14236.,      51251212.,      51251212., 0.48,    F
  36, 36,   1,   -607.103,     -0.000,  11574.558,    252.282,    416.027,   2273.858,            -0.,         13980.,      50326884.,      50326884., 0.56,    F
  37, 37,   1,   -627.292,     -0.000,  11403.753,    218.258,    417.800,   2240.303,            -0.,         13722.,      49397756.,      49397756., 0.64,    F
  38, 38,   1,   -648.114,     -0.000,  11231.819,    184.877,    419.638,   2206.526,            -0.,         13462.,      48464000.,      48464000., 0.72,    F
  39, 39,   1,   -669.565,     -0.000,  11058.787,    152.142,    421.538,   2172.533,            -0.,         13202.,      47525788.,      47525788., 0.80,    F
  40, 40,   1,   -691.637,     -0.000,  10884.695,    120.055,    423.498,   2138.333,            -0.,         12940.,      46583284.,      46583284., 0.89,    F
  41, 41,   1,   -714.325,     -0.000,  10709.574,     88.620,    425.516,   2103.929,            -0.,         12677.,      45636676.,      45636676., 0.98,    F
  42, 42,   1,   -737.621,     -0.000,  10533.462,     57.839,    427.589,   2069.332,            -0.,         12413.,      44686136.,      44686136., 1.07,    F
  43, 43,   1,   -761.519,     -0.000,  10356.396,     27.714,    429.715,   2034.546,            -0.,         12148.,      43731864.,      43731864., 1.16,    F
  44, 44,   1,   -786.011,     -0.000,  10178.408,     -1.752,    431.892,   1999.580,            -0.,         11882.,      42774008.,      42774008., 1.26,    F
  45, 45,   1,   -811.091,     -0.000,   9999.539,    -30.556,    434.117,   1964.441,            -0.,         11615.,      41812788.,      41812788., 1.36,    F
  46, 46,   1,   -836.751,     -0.000,   9819.826,    -58.697,    436.388,   1929.135,            -0.,         11347.,      40848396.,      40848396., 1.47,    F
