Day of sim.,Day of year,Year,Radiation,Generation,Air,Floor,Lower wall,Upper wall,Feed,Total,Total step,          Total step adjusted,Steady state temp,Steady state used
,,,(W),(W),(W),(W),(W),(W),(W),(W),(J),(J),,
day,doy,year,rad,gen,air,floor,lower_wall,upper_wall,feed,total,total_step,total_adjusted,          steady_state_used,steady_state_temp
   1,  1,   1,   -330.168,     -0.000,  16413.240,   5998.705,      0.000,   6452.135,            -0.,         28685.,     103267616.,     103267616.,-4.24,    F
   2,  2,   1,   -325.863,     -0.000,  16257.488,   5937.639,      0.000,   6390.908,            -0.,         28410.,     102276936.,     102276936.,-4.26,    F
   3,  3,   1,   -322.274,     -0.000,  16100.371,   5876.021,      0.000,   6329.145,            -0.,         28132.,     101274760.,     101274760.,-4.28,    F
   4,  4,   1,   -319.401,     -0.000,  15941.905,   5813.858,      0.000,   6266.851,            -0.,         27850.,     100261216.,     100261216.,-4.30,    F
   5,  5,   1,   -317.246,     -0.000,  15782.107,   5751.154,      0.000,   6204.033,            -0.,         27566.,      99236416.,      99236416.,-4.32,    F
   6,  6,   1,   -315.809,     -0.000,  15620.992,   5687.915,      0.000,   6140.698,            -0.,         27278.,      98200448.,      98200448.,-4.33,    F
   7,  7,   1,   -315.090,     -0.000,  15458.582,   5624.150,      0.000,   6076.854,            -0.,         26987.,      97153400.,      97153400.,-4.33,    F
   8,  8,   1,   -315.090,     -0.000,  15294.886,   5559.862,      0.000,   6012.504,            -0.,         26693.,      96095432.,      96095432.,-4.33,    F
   9,  9,   1,   -315.809,     -0.000,  15129.923,   5495.059,      0.000,   5947.656,            -0.,         26396.,      95026592.,      95026592.,-4.33,    F
  10, 10,   1,   -317.246,     -0.000,  14963.719,   5429.748,      0.000,   5882.321,            -0.,         26096.,      93947040.,      93947040.,-4.33,    F
  11, 11,   1,   -319.401,     -0.000,  14796.288,   5363.936,      0.000,   5816.502,            -0.,         25794.,      92856904.,      92856904.,-4.31,    F
  12, 12,   1,   -322.274,     -0.000,  14627.656,   5297.632,      0.000,   5750.212,            -0.,         25488.,      91756344.,      91756344.,-4.30,    F
  13, 13,   1,   -325.863,     -0.000,  14457.838,   5230.842,      0.000,   5683.456,            -0.,         25179.,      90645432.,      90645432.,-4.28,    F
  14, 14,   1,   -330.168,     -0.000,  14286.857,   5163.574,      0.000,   5616.242,            -0.,         24868.,      89524376.,      89524376.,-4.26,    F
  15, 15,   1,   -335.187,     -0.000,  14114.741,   5095.840,      0.000,   5548.582,            -0.,         24554.,      88393272.,      88393272.,-4.23,    F
  16, 16,   1,   -340.918,     -0.000,  13941.508,   5027.645,      0.000,   5480.483,            -0.,         24237.,      87252312.,      87252312.,-4.20,    F
  17, 17,   1,   -347.361,     -0.000,  13767.183,   4959.000,      0.000,   5411.956,            -0.,         23917.,      86101648.,      86101648.,-4.16,    F
  18, 18,   1,   -354.513,     -0.000,  13591.788,   4889.912,      0.000,   5343.007,            -0.,         23595.,      84941432.,      84941432.,-4.12,    F
  19, 19,   1,   -362.372,     -0.000,  13415.355,   4820.393,      0.000,   5273.650,            -0.,         23270.,      83771840.,      83771840.,-4.08,    F
  20, 20,   1,   -370.936,     -0.000,  13237.906,   4750.453,      0.000,   5203.894,            -0.,         22943.,      82593064.,      82593064.,-4.03,    F
  21, 21,   1,   -380.201,     -0.000,  13059.469,   4680.100,      0.000,   5133.749,            -0.,         22613.,      81405256.,      81405256.,-3.98,    F
  22, 22,   1,   -390.167,     -0.000,  12880.065,   4609.344,      0.000,   5063.225,            -0.,         22280.,      80208592.,      80208592.,-3.92,    F
  23, 23,   1,   -400.828,     -0.000,  12699.728,   4538.198,      0.000,   4992.333,            -0.,         21945.,      79003304.,      79003304.,-3.86,    F
  24, 24,   1,   -412.183,     -0.000,  12518.481,   4466.671,      0.000,   4921.084,            -0.,         21608.,      77789536.,      77789536.,-3.80,    F
  25, 25,   1,   -424.228,     -0.000,  12336.354,   4394.773,      0.000,   4849.489,            -0.,         21269.,      76567488.,      76567488.,-3.73,    F
  26, 26,   1,   -436.959,     -0.000,  12153.380,   4322.518,      0.000,   4777.561,            -0.,         20927.,      75337376.,      75337376.,-3.66,    F
  27, 27,   1,   -450.373,     -0.000,  11969.582,   4249.915,      0.000,   4705.309,            -0.,         20583.,      74099400.,      74099400.,-3.58,    F
  28, 28,   1,   -464.466,     -0.000,  11784.996,   4176.976,      0.000,   4632.747,            -0.,         20237.,      72853768.,      72853768.,-3.50,    F
  29, 29,   1,   -479.233,     -0.000,  11599.648,   4103.712,      0.000,   4559.886,            -0.,         19889.,      71600696.,      71600696.,-3.41,    F
  30, 30,   1,   -494.669,     -0.000,  11413.573,   4030.137,      0.000,   4486.739,            -0.,         19539.,      70340392.,      70340392.,-3.33,    F
  31, 31,   1,   -510.772,     -0.000,  11226.801,   3956.263,      0.000,   4413.317,            -0.,         19187.,      69073088.,      69073088.,-3.23,    F
  32, 32,   1,   -527.535,     -0.000,  11039.363,   3882.100,      0.000,   4339.634,            -0.,         18833.,      67798984.,      67798984.,-3.14,    F
  33, 33,   1,   -544.954,     -0.000,  10851.291,   3807.663,      0.000,   4265.702,            -0.,         18477.,      66518324.,      66518324.,-3.04,    F
  34, 34,   1,   -563.023,     -0.000,  10662.620,   3732.963,      0.000,   4191.535,            -0.,         18120.,      65231340.,      65231340.,-2.93,    F
  35, 35,   1,   -581.738,     -0.000,  10473.383,   3658.014,      0.000,   4117.145,            -0.,         17761.,      63938260.,      63938260.,-2.83,    F
  36, 36,   1,   -601.092,     -0.000,  10283.613,   3582.829,      0.000,   4042.545,            -0.,         17400.,      62639332.,      62639332.,-2.72,    F
  37, 37,   1,   -621.081,     -0.000,  10093.345,   3507.421,      0.000,   3967.749,            -0.,         17037.,      61334784.,      61334784.,-2.60,    F
  38, 38,   1,   -641.697,     -0.000,   9902.614,   3431.804,      0.000,   3892.772,            -0.,         16674.,      60024864.,      60024864.,-2.48,    F
  39, 39,   1,   -662.936,     -0.000,   9711.452,   3355.991,      0.000,   3817.625,            -0.,         16308.,      58709824.,      58709824.,-2.36,    F
  40, 40,   1,   -684.789,     -0.000,   9519.897,   3279.996,      0.000,   3742.324,            -0.,         15942.,      57389916.,      57389916.,-2.23,    F
  41, 41,   1,   -707.253,     -0.000,   9327.983,   3203.833,      0.000,   3666.882,            -0.,         15574.,      56065380.,      56065380.,-2.10,    F
  42, 42,   1,   -730.318,     -0.000,   9135.746,   3127.515,      0.000,   3591.312,            -0.,         15205.,      54736492.,      54736492.,-1.97,    F
  43, 43,   1,   -753.979,     -0.000,   8943.228,   3051.058,      0.000,   3515.632,            -0.,         14834.,      53403500.,      53403500.,-1.84,    F
  44, 44,   1,   -778.229,     -0.000,   8750.456,   2974.476,      0.000,   3439.852,            -0.,         14463.,      52066652.,      52066652.,-1.70,    F
  45, 45,   1,   -803.061,     -0.000,   8557.474,   2897.782,      0.000,   3363.990,            -0.,         14091.,      50726240.,      50726240.,-1.55,    F
  46, 46,   1,   -828.466,     -0.000,   8364.318,   2820.991,      0.000,   3288.060,            -0.,         13717.,      49382532.,      49382532.,-1.41,    F
