Day of sim.,Day of year,Year,Radiation,Generation,Air,Floor,Lower wall,Upper wall,Feed,Total,Total step,          Total step adjusted,Steady state temp,Steady state used
,,,(W),(W),(W),(W),(W),(W),(W),(W),(J),(J),,
day,doy,year,rad,gen,air,floor,lower_wall,upper_wall,feed,total,total_step,total_adjusted,          steady_state_used,steady_state_temp
   1,  1,   1,    -13.207,     -0.000,    650.397,    237.445,      0.000,   1255.545,            -0.,          2152.,       7745770.,       7745770.,-4.55,    F
   2,  2,   1,    -13.035,     -0.000,    637.956,    232.468,      0.000,   1231.529,            -0.,          2110.,       7595736.,       7595736.,-4.58,    F
   3,  3,   1,    -12.891,     -0.000,    625.650,    227.546,      0.000,   1207.773,            -0.,          2069.,       7447234.,       7447234.,-4.60,    F
   4,  4,   1,    -12.776,     -0.000,    613.476,    222.679,      0.000,   1184.273,            -0.,          2028.,       7300232.,       7300232.,-4.61,    F
   5,  5,   1,    -12.690,     -0.000,    601.432,    217.864,      0.000,   1161.022,            -0.,          1987.,       7154696.,       7154696.,-4.63,    F
   6,  6,   1,    -12.632,     -0.000,    589.514,    213.101,      0.000,   1138.015,            -0.,          1947.,       7010594.,       7010594.,-4.63,    F
   7,  7,   1,    -12.604,     -0.000,    577.721,    208.388,      0.000,   1115.249,            -0.,          1908.,       6867898.,       6867898.,-4.64,    F
   8,  8,   1,    -12.604,     -0.000,    566.049,    203.726,      0.000,   1092.717,            -0.,          1868.,       6726574.,       6726574.,-4.64,    F
   9,  9,   1,    -12.632,     -0.000,    554.497,    199.112,      0.000,   1070.417,            -0.,          1830.,       6586596.,       6586596.,-4.64,    F
  10, 10,   1,    -12.690,     -0.000,    543.062,    194.546,      0.000,   1048.342,            -0.,          1791.,       6447934.,       6447934.,-4.63,    F
  11, 11,   1,    -12.776,     -0.000,    531.742,    190.027,      0.000,   1026.489,            -0.,          1753.,       6310568.,       6310568.,-4.62,    F
  12, 12,   1,    -12.891,     -0.000,    520.535,    185.554,      0.000,   1004.855,            -0.,          1715.,       6174466.,       6174466.,-4.60,    F
  13, 13,   1,    -13.035,     -0.000,    509.438,    181.126,      0.000,    983.435,            -0.,          1678.,       6039606.,       6039606.,-4.59,    F
  14, 14,   1,    -13.207,     -0.000,    498.451,    176.743,      0.000,    962.225,            -0.,          1641.,       5905966.,       5905966.,-4.56,    F
  15, 15,   1,    -13.407,     -0.000,    487.571,    172.403,      0.000,    941.221,            -0.,          1604.,       5773522.,       5773522.,-4.54,    F
  16, 16,   1,    -13.637,     -0.000,    476.797,    168.106,      0.000,    920.422,            -0.,          1567.,       5642252.,       5642252.,-4.51,    F
  17, 17,   1,    -13.894,     -0.000,    466.126,    163.851,      0.000,    899.822,            -0.,          1531.,       5512138.,       5512138.,-4.47,    F
  18, 18,   1,    -14.181,     -0.000,    455.557,    159.637,      0.000,    879.419,            -0.,          1495.,       5383156.,       5383156.,-4.43,    F
  19, 19,   1,    -14.495,     -0.000,    445.088,    155.465,      0.000,    859.211,            -0.,          1460.,       5255292.,       5255292.,-4.39,    F
  20, 20,   1,    -14.837,     -0.000,    434.718,    151.332,      0.000,    839.193,            -0.,          1425.,       5128524.,       5128524.,-4.34,    F
  21, 21,   1,    -15.208,     -0.000,    424.446,    147.239,      0.000,    819.363,            -0.,          1390.,       5002836.,       5002836.,-4.29,    F
  22, 22,   1,    -15.607,     -0.000,    414.270,    143.184,      0.000,    799.719,            -0.,          1355.,       4878213.,       4878213.,-4.24,    F
  23, 23,   1,    -16.033,     -0.000,    404.189,    139.168,      0.000,    780.258,            -0.,          1321.,       4754638.,       4754638.,-4.18,    F
  24, 24,   1,    -16.487,     -0.000,    394.202,    135.190,      0.000,    760.978,            -0.,          1287.,       4632096.,       4632096.,-4.12,    F
  25, 25,   1,    -16.969,     -0.000,    384.306,    131.249,      0.000,    741.876,            -0.,          1253.,       4510574.,       4510574.,-4.05,    F
  26, 26,   1,    -17.478,     -0.000,    374.502,    127.344,      0.000,    722.950,            -0.,          1219.,       4390058.,       4390058.,-3.98,    F
  27, 27,   1,    -18.015,     -0.000,    364.789,    123.476,      0.000,    704.199,            -0.,          1186.,       4270535.,       4270535.,-3.91,    F
  28, 28,   1,    -18.579,     -0.000,    355.164,    119.644,      0.000,    685.619,            -0.,          1153.,       4151994.,       4151994.,-3.83,    F
  29, 29,   1,    -19.169,     -0.000,    345.627,    115.847,      0.000,    667.209,            -0.,          1121.,       4034423.,       4034423.,-3.75,    F
  30, 30,   1,    -19.787,     -0.000,    336.178,    112.086,      0.000,    648.968,            -0.,          1088.,       3917811.,       3917811.,-3.67,    F
  31, 31,   1,    -20.431,     -0.000,    326.815,    108.359,      0.000,    630.894,            -0.,          1056.,       3802150.,       3802150.,-3.58,    F
  32, 32,   1,    -21.101,     -0.000,    317.538,    104.666,      0.000,    612.985,            -0.,          1024.,       3687429.,       3687429.,-3.49,    F
  33, 33,   1,    -21.798,     -0.000,    308.346,    101.007,      0.000,    595.240,            -0.,           993.,       3573640.,       3573640.,-3.40,    F
  34, 34,   1,    -22.521,     -0.000,    299.237,     97.382,      0.000,    577.656,            -0.,           961.,       3460775.,       3460775.,-3.30,    F
  35, 35,   1,    -23.270,     -0.000,    290.213,     93.790,      0.000,    560.235,            -0.,           930.,       3348826.,       3348826.,-3.19,    F
  36, 36,   1,    -24.044,     -0.000,    281.271,     90.231,      0.000,    542.973,            -0.,           899.,       3237788.,       3237788.,-3.09,    F
  37, 37,   1,    -24.843,     -0.000,    272.411,     86.705,      0.000,    525.869,            -0.,           869.,       3127651.,       3127651.,-2.98,    F
  38, 38,   1,    -25.668,     -0.000,    263.633,     83.211,      0.000,    508.924,            -0.,           838.,       3018413.,       3018413.,-2.87,    F
  39, 39,   1,    -26.517,     -0.000,    254.936,     79.750,      0.000,    492.135,            -0.,           808.,       2910066.,       2910066.,-2.75,    F
  40, 40,   1,    -27.392,     -0.000,    246.319,     76.321,      0.000,    475.502,            -0.,           779.,       2802608.,       2802608.,-2.63,    F
  41, 41,   1,    -28.290,     -0.000,    237.784,     72.924,      0.000,    459.024,            -0.,           749.,       2696032.,       2696032.,-2.51,    F
  42, 42,   1,    -29.213,     -0.000,    229.328,     69.558,      0.000,    442.700,            -0.,           720.,       2590336.,       2590336.,-2.38,    F
  43, 43,   1,    -30.159,     -0.000,    220.951,     66.224,      0.000,    426.530,            -0.,           690.,       2485516.,       2485516.,-2.25,    F
  44, 44,   1,    -31.129,     -0.000,    212.654,     62.922,      0.000,    410.513,            -0.,           662.,       2381568.,       2381568.,-2.12,    F
  45, 45,   1,    -32.122,     -0.000,    204.436,     59.650,      0.000,    394.649,            -0.,           633.,       2278492.,       2278492.,-1.98,    F
  46, 46,   1,    -33.139,     -0.000,    196.297,     56.410,      0.000,    378.936,            -0.,           605.,       2176285.,       2176285.,-1.84,    F
  47, 47,   1,    -34.178,     -0.000,    188.236,     53.201,      0.000,    363.375,            -0.,           576.,       2074944.,       2074944.,-1.70,    F
  48, 48,   1,    -35.239,     -0.000,    180.253,     50.023,      0.000,    347.966,            -0.,           548.,       1974470.,       1974470.,-1.55,    F
