Day of sim.,Day of year,Year,Radiation,Generation,Air,Floor,Lower wall,Upper wall,Feed,Total,Total step,          Total step adjusted,Steady state temp,Steady state used
,,,(W),(W),(W),(W),(W),(W),(W),(W),(J),(J),,
day,doy,year,rad,gen,air,floor,lower_wall,upper_wall,feed,total,total_step,total_adjusted,          steady_state_used,steady_state_temp
   1,  1,   1,    -13.207,     -0.000,    654.798,     71.270,     80.742,    648.698,            -0.,          1455.,       5237048.,       5237048., 0.03,    F
   2,  2,   1,    -13.035,     -0.000,    646.825,     67.715,     78.480,    640.799,            -0.,          1433.,       5158918.,       5158918.,-0.02,    F
   3,  3,   1,    -12.891,     -0.000,    638.860,     64.213,     76.292,    632.909,            -0.,          1411.,       5081211.,       5081211.,-0.06,    F
   4,  4,   1,    -12.776,     -0.000,    630.903,     60.765,     74.179,    625.026,            -0.,          1390.,       5003915.,       5003915.,-0.09,    F
   5,  5,   1,    -12.690,     -0.000,    622.952,     57.369,     72.138,    617.149,            -0.,          1369.,       4927020.,       4927020.,-0.13,    F
   6,  6,   1,    -12.632,     -0.000,    615.008,     54.026,     70.169,    609.279,            -0.,          1347.,       4850516.,       4850516.,-0.16,    F
   7,  7,   1,    -12.604,     -0.000,    607.068,     50.736,     68.270,    601.413,            -0.,          1326.,       4774390.,       4774390.,-0.19,    F
   8,  8,   1,    -12.604,     -0.000,    599.133,     47.498,     66.441,    593.552,            -0.,          1305.,       4698636.,       4698636.,-0.21,    F
   9,  9,   1,    -12.632,     -0.000,    591.203,     44.312,     64.680,    585.695,            -0.,          1284.,       4623240.,       4623240.,-0.23,    F
  10, 10,   1,    -12.690,     -0.000,    583.275,     41.177,     62.986,    577.841,            -0.,          1263.,       4548198.,       4548198.,-0.25,    F
  11, 11,   1,    -12.776,     -0.000,    575.350,     38.094,     61.359,    569.991,            -0.,          1243.,       4473498.,       4473498.,-0.27,    F
  12, 12,   1,    -12.891,     -0.000,    567.428,     35.062,     59.796,    562.142,            -0.,          1222.,       4399136.,       4399136.,-0.28,    F
  13, 13,   1,    -13.035,     -0.000,    559.508,     32.081,     58.298,    554.296,            -0.,          1201.,       4325101.,       4325101.,-0.30,    F
  14, 14,   1,    -13.207,     -0.000,    551.589,     29.151,     56.863,    546.451,            -0.,          1181.,       4251388.,       4251388.,-0.30,    F
  15, 15,   1,    -13.407,     -0.000,    543.672,     26.272,     55.490,    538.607,            -0.,          1161.,       4177989.,       4177989.,-0.31,    F
  16, 16,   1,    -13.637,     -0.000,    535.756,     23.443,     54.178,    530.765,            -0.,          1140.,       4104900.,       4104900.,-0.31,    F
  17, 17,   1,    -13.894,     -0.000,    527.841,     20.664,     52.926,    522.923,            -0.,          1120.,       4032114.,       4032114.,-0.31,    F
  18, 18,   1,    -14.181,     -0.000,    519.926,     17.934,     51.733,    515.082,            -0.,          1100.,       3959626.,       3959626.,-0.31,    F
  19, 19,   1,    -14.495,     -0.000,    512.012,     15.255,     50.598,    507.242,            -0.,          1080.,       3887431.,       3887431.,-0.30,    F
  20, 20,   1,    -14.837,     -0.000,    504.098,     12.625,     49.520,    499.402,            -0.,          1060.,       3815522.,       3815522.,-0.30,    F
  21, 21,   1,    -15.208,     -0.000,    496.185,     10.045,     48.499,    491.563,            -0.,          1040.,       3743899.,       3743899.,-0.28,    F
  22, 22,   1,    -15.607,     -0.000,    488.272,      7.513,     47.532,    483.724,            -0.,          1020.,       3672556.,       3672556.,-0.27,    F
  23, 23,   1,    -16.033,     -0.000,    480.360,      5.031,     46.620,    475.885,            -0.,          1000.,       3601487.,       3601487.,-0.25,    F
  24, 24,   1,    -16.487,     -0.000,    472.448,      2.597,     45.761,    468.047,            -0.,           981.,       3530693.,       3530693.,-0.23,    F
  25, 25,   1,    -16.969,     -0.000,    464.537,      0.212,     44.954,    460.210,            -0.,           961.,       3460170.,       3460170.,-0.21,    F
  26, 26,   1,    -17.478,     -0.000,    456.627,     -2.124,     44.198,    452.373,            -0.,           942.,       3389915.,       3389915.,-0.18,    F
  27, 27,   1,    -18.015,     -0.000,    448.717,     -4.413,     43.493,    444.537,            -0.,           922.,       3319926.,       3319926.,-0.16,    F
  28, 28,   1,    -18.579,     -0.000,    440.809,     -6.653,     42.837,    436.703,            -0.,           903.,       3250201.,       3250201.,-0.13,    F
  29, 29,   1,    -19.169,     -0.000,    432.903,     -8.846,     42.229,    428.870,            -0.,           884.,       3180738.,       3180738.,-0.09,    F
  30, 30,   1,    -19.787,     -0.000,    424.998,    -10.991,     41.670,    421.039,            -0.,           864.,       3111538.,       3111538.,-0.05,    F
  31, 31,   1,    -20.431,     -0.000,    417.095,    -13.088,     41.156,    413.210,            -0.,           845.,       3042598.,       3042598.,-0.02,    F
  32, 32,   1,    -21.101,     -0.000,    409.195,    -15.139,     40.689,    405.383,            -0.,           826.,       2973918.,       2973918., 0.03,    F
  33, 33,   1,    -21.798,     -0.000,    401.298,    -17.142,     40.266,    397.560,            -0.,           807.,       2905498.,       2905498., 0.07,    F
  34, 34,   1,    -22.521,     -0.000,    393.405,    -19.098,     39.887,    389.740,            -0.,           788.,       2837339.,       2837339., 0.12,    F
  35, 35,   1,    -23.270,     -0.000,    385.515,    -21.007,     39.551,    381.924,            -0.,           769.,       2769440.,       2769440., 0.17,    F
  36, 36,   1,    -24.044,     -0.000,    377.630,    -22.870,     39.257,    374.112,            -0.,           751.,       2701804.,       2701804., 0.22,    F
  37, 37,   1,    -24.843,     -0.000,    369.750,    -24.686,     39.005,    366.305,            -0.,           732.,       2634427.,       2634427., 0.28,    F
  38, 38,   1,    -25.668,     -0.000,    361.875,    -26.456,     38.793,    358.504,            -0.,           713.,       2567314.,       2567314., 0.34,    F
  39, 39,   1,    -26.517,     -0.000,    354.006,    -28.180,     38.620,    350.708,            -0.,           695.,       2500465.,       2500465., 0.40,    F
  40, 40,   1,    -27.392,     -0.000,    346.144,    -29.858,     38.486,    342.920,            -0.,           676.,       2433883.,       2433883., 0.46,    F
  41, 41,   1,    -28.290,     -0.000,    338.290,    -31.491,     38.389,    335.138,            -0.,           658.,       2367569.,       2367569., 0.53,    F
  42, 42,   1,    -29.213,     -0.000,    330.443,    -33.078,     38.330,    327.365,            -0.,           639.,       2301524.,       2301524., 0.60,    F
  43, 43,   1,    -30.159,     -0.000,    322.606,    -34.619,     38.306,    319.601,            -0.,           621.,       2235752.,       2235752., 0.67,    F
  44, 44,   1,    -31.129,     -0.000,    314.778,    -36.116,     38.317,    311.845,            -0.,           603.,       2170254.,       2170254., 0.74,    F
  45, 45,   1,    -32.122,     -0.000,    306.960,    -37.567,     38.363,    304.101,            -0.,           585.,       2105034.,       2105034., 0.82,    F
  46, 46,   1,    -33.139,     -0.000,    299.154,    -38.974,     38.442,    296.367,            -0.,           567.,       2040096.,       2040096., 0.90,    F
  47, 47,   1,    -34.178,     -0.000,    291.359,    -40.337,     38.554,    288.645,            -0.,           549.,       1975441.,       1975441., 0.98,    F
  48, 48,   1,    -35.239,     -0.000,    283.577,    -41.655,     38.698,    280.935,            -0.,           531.,       1911074.,       1911074., 1.06,    F
