Day of sim.,Day of year,Year,Slurry mass,Frozen mass,Slurry depth,Air T,Wall T,Floor T,In T,Slurry T
,,,(Mg = 1000 kg),(Mg = 1000 kg),(m),(deg. C),(deg. C),(deg. C),(deg. C),(deg. C)
day,doy,year,slurry_mass,frozen_mass,slurry_depth,air_temp,wall_temp,floor_temp,in_temp,slurry_temp
   1,  1,   1,    8.00,    0.00,    2.00,   -4.92,   -2.91,   -2.86,   15.00,   14.46
   2,  2,   1,    8.00,    0.00,    2.00,   -4.94,   -2.93,   -2.89,   13.98,   13.47
   3,  3,   1,    8.00,    0.00,    2.00,   -4.96,   -2.95,   -2.92,   13.01,   12.53
   4,  4,   1,    8.00,    0.00,    2.00,   -4.98,   -2.97,   -2.94,   12.09,   11.63
   5,  5,   1,    8.00,    0.00,    2.00,   -4.99,   -2.98,   -2.96,   11.22,   10.78
   6,  6,   1,    8.00,    0.00,    2.00,   -5.00,   -2.99,   -2.97,   10.39,    9.97
   7,  7,   1,    8.00,    0.00,    2.00,   -5.00,   -3.00,   -2.98,    9.60,    9.21
   8,  8,   1,    8.00,    0.00,    2.00,   -5.00,   -3.00,   -2.99,    8.86,    8.48
   9,  9,   1,    8.00,    0.00,    2.00,   -5.00,   -3.00,   -3.00,    8.15,    7.80
  10, 10,   1,    8.00,    0.00,    2.00,   -4.99,   -2.99,   -3.00,    7.48,    7.15
  11, 11,   1,    8.00,    0.00,    2.00,   -4.98,   -2.98,   -2.99,    6.85,    6.53
  12, 12,   1,    8.00,    0.00,    2.00,   -4.96,   -2.97,   -2.98,    6.24,    5.95
  13, 13,   1,    8.00,    0.00,    2.00,   -4.94,   -2.95,   -2.97,    5.68,    5.39
  14, 14,   1,    8.00,    0.00,    2.00,   -4.92,   -2.93,   -2.96,    5.14,    4.87
  15, 15,   1,    8.00,    0.00,    2.00,   -4.90,   -2.91,   -2.94,    4.63,    4.38
  16, 16,   1,    8.00,    0.00,    2.00,   -4.87,   -2.88,   -2.92,    4.15,    3.91
  17, 17,   1,    8.00,    0.00,    2.00,   -4.83,   -2.85,   -2.89,    3.69,    3.47
  18, 18,   1,    8.00,    0.00,    2.00,   -4.80,   -2.81,   -2.86,    3.26,    3.05
  19, 19,   1,    8.00,    0.00,    2.00,   -4.76,   -2.78,   -2.83,    2.86,    2.66
  20, 20,   1,    8.00,    0.00,    2.00,   -4.71,   -2.73,   -2.79,    2.48,    2.29
  21, 21,   1,    8.00,    0.00,    2.00,   -4.66,   -2.69,   -2.75,    2.12,    1.94
  22, 22,   1,    8.00,    0.00,    2.00,   -4.61,   -2.64,   -2.71,    1.78,    1.61
  23, 23,   1,    8.00,    0.00,    2.00,   -4.56,   -2.59,   -2.66,    1.46,    1.31
  24, 24,   1,    8.00,    0.00,    2.00,   -4.50,   -2.53,   -2.61,    1.16,    1.02
  25, 25,   1,    8.00,    0.00,    2.00,   -4.44,   -2.47,   -2.55,    0.88,    0.75
  26, 26,   1,    8.00,    0.00,    2.00,   -4.37,   -2.40,   -2.50,    0.62,    0.49
  27, 27,   1,    8.00,    0.00,    2.00,   -4.30,   -2.34,   -2.43,    0.38,    0.26
  28, 28,   1,    8.00,    0.01,    2.00,   -4.23,   -2.27,   -2.37,    0.15,    0.05
  29, 29,   1,    8.00,    0.03,    2.00,   -4.15,   -2.19,   -2.30,    0.00,    0.00
  30, 30,   1,    8.00,    0.05,    2.00,   -4.07,   -2.11,   -2.23,    0.00,    0.00
  31, 31,   1,    8.00,    0.07,    2.00,   -3.99,   -2.03,   -2.15,    0.00,    0.00
  32, 32,   1,    8.00,    0.09,    2.00,   -3.90,   -1.95,   -2.07,    0.00,    0.00
  33, 33,   1,    8.00,    0.10,    2.00,   -3.81,   -1.86,   -1.99,    0.00,    0.00
  34, 34,   1,    8.00,    0.12,    2.00,   -3.72,   -1.77,   -1.90,    0.00,    0.00
  35, 35,   1,    8.00,    0.14,    2.00,   -3.63,   -1.67,   -1.81,    0.00,    0.00
  36, 36,   1,    8.00,    0.16,    2.00,   -3.53,   -1.58,   -1.72,    0.00,    0.00
  37, 37,   1,    8.00,    0.17,    2.00,   -3.42,   -1.47,   -1.62,    0.00,    0.00
  38, 38,   1,    8.00,    0.19,    2.00,   -3.32,   -1.37,   -1.52,    0.00,    0.00
  39, 39,   1,    8.00,    0.21,    2.00,   -3.21,   -1.26,   -1.42,    0.00,    0.00
  40, 40,   1,    8.00,    0.22,    2.00,   -3.09,   -1.15,   -1.31,    0.00,    0.00
  41, 41,   1,    8.00,    0.23,    2.00,   -2.98,   -1.04,   -1.20,    0.00,    0.00
  42, 42,   1,    8.00,    0.25,    2.00,   -2.86,   -0.92,   -1.09,    0.00,    0.00
  43, 43,   1,    8.00,    0.26,    2.00,   -2.74,   -0.80,   -0.98,    0.00,    0.00
  44, 44,   1,    8.00,    0.27,    2.00,   -2.61,   -0.68,   -0.86,    0.00,    0.00
  45, 45,   1,    8.00,    0.28,    2.00,   -2.48,   -0.55,   -0.73,    0.00,    0.00
  46, 46,   1,    8.00,    0.29,    2.00,   -2.35,   -0.42,   -0.61,    0.00,    0.00
  47, 47,   1,    8.00,    0.30,    2.00,   -2.22,   -0.29,   -0.48,    0.00,    0.00
  48, 48,   1,    8.00,    0.31,    2.00,   -2.08,   -0.15,   -0.35,    0.00,    0.00
  49, 49,   1,    8.00,    0.32,    2.00,   -1.94,   -0.01,   -0.22,    0.00,    0.00
  50, 50,   1,    8.00,    0.33,    2.00,   -1.80,    0.13,   -0.08,    0.00,    0.00
  51, 51,   1,    8.00,    0.34,    2.00,   -1.66,    0.27,    0.06,    0.00,    0.00
  52, 52,   1,    8.00,    0.34,    2.00,   -1.51,    0.42,    0.20,    0.00,    0.00
  53, 53,   1,    8.00,    0.35,    2.00,   -1.36,    0.57,    0.35,    0.00,    0.00
  54, 54,   1,    8.00,    0.35,    2.00,   -1.20,    0.72,    0.49,    0.00,    0.00
  55, 55,   1,    8.00,    0.35,    2.00,   -1.05,    0.87,    0.64,    0.00,    0.00
  56, 56,   1,    8.00,    0.36,    2.00,   -0.89,    1.03,    0.80,    0.00,    0.00
  57, 57,   1,    8.00,    0.36,    2.00,   -0.73,    1.19,    0.95,    0.00,    0.00
