"sim","date","mass.slurry","CH4_emis_cum","CH4_emis_cum_Mg"
"Above",2021-12-31,4723.96,26340566.5927853,26.3405665927853
"Absorp.",2021-12-31,4723.96,28256766.4357861,28.2567664357861
"Buried",2021-12-31,4723.96,25694933.1911103,25.6949331911103
"Duplin",2021-12-31,4723.96,46298581.3556531,46.2985813556531
"Empty2x",2021-12-31,3323.89,17260066.779562,17.260066779562
"Heat",2021-12-31,4723.96,28150003.5021685,28.1500035021685
"Ottawa",2021-12-31,4723.96,21060390.7584749,21.0603907584749
"Ref.",2021-12-31,4723.96,24716765.8509738,24.7167658509738
"Small",2021-12-31,306,1192568.83601792,1.19256883601792
