"doy","air.temp","glorad","n","year","date"
1,0.133,6.63,24,2021,2021-01-01
2,0.629,8.93,24,2021,2021-01-02
3,-0.758,4.62,24,2021,2021-01-03
4,-0.133,3.65,24,2021,2021-01-04
5,-0.558,31.3,24,2021,2021-01-05
6,-1.87,5.9,24,2021,2021-01-06
7,-0.742,4.44,24,2021,2021-01-07
8,-0.188,6.2,24,2021,2021-01-08
9,-2.27,17.1,24,2021,2021-01-09
10,-1.53,6,24,2021,2021-01-10
11,-1.9,7.71,24,2021,2021-01-11
12,-3.19,23.1,24,2021,2021-01-12
13,-3.35,8.58,24,2021,2021-01-13
14,-4.47,6.56,24,2021,2021-01-14
15,-10.2,10.9,24,2021,2021-01-15
16,-3.91,8.4,24,2021,2021-01-16
17,-3.05,4.8,24,2021,2021-01-17
18,-1.67,5.71,24,2021,2021-01-18
19,-1.51,10.4,24,2021,2021-01-19
20,0.342,8.12,24,2021,2021-01-20
21,2.02,10,24,2021,2021-01-21
22,1.96,5.97,24,2021,2021-01-22
23,3,28.4,24,2021,2021-01-23
24,-1.9,33.4,24,2021,2021-01-24
25,-0.954,6.26,24,2021,2021-01-25
26,-3.49,9.33,24,2021,2021-01-26
27,-7.17,12.5,24,2021,2021-01-27
28,-4.99,8.35,24,2021,2021-01-28
29,-4.31,17.6,24,2021,2021-01-29
30,-12.1,24.3,24,2021,2021-01-30
31,-14.3,47,24,2021,2021-01-31
32,-11.2,47.6,24,2021,2021-02-01
33,-7.32,7.91,24,2021,2021-02-02
34,-7.08,18.1,24,2021,2021-02-03
35,-9.35,29,24,2021,2021-02-04
36,-10.9,35.7,24,2021,2021-02-05
37,-10.5,39.8,24,2021,2021-02-06
38,-14.3,31.4,24,2021,2021-02-07
39,-12.8,50,24,2021,2021-02-08
40,-17.2,86.5,24,2021,2021-02-09
41,-15.4,16.8,24,2021,2021-02-10
42,-14.2,25.6,24,2021,2021-02-11
43,-11.4,49.2,24,2021,2021-02-12
44,-9.19,102,24,2021,2021-02-13
45,-4.32,45.9,24,2021,2021-02-14
46,-10.4,85.4,24,2021,2021-02-15
47,-9.96,33.9,24,2021,2021-02-16
48,-4.58,28.6,24,2021,2021-02-17
49,-4.9,43.4,24,2021,2021-02-18
50,0.308,30.4,24,2021,2021-02-19
51,2.1,21.4,24,2021,2021-02-20
52,3.37,42.1,24,2021,2021-02-21
53,2.15,18,24,2021,2021-02-22
54,2.42,11.9,24,2021,2021-02-23
55,5.28,19.5,24,2021,2021-02-24
56,8.64,14.9,24,2021,2021-02-25
57,5.76,104,24,2021,2021-02-26
58,2.15,75.3,24,2021,2021-02-27
59,3.62,101,24,2021,2021-02-28
60,3.07,81.5,24,2021,2021-03-01
61,3.08,115,24,2021,2021-03-02
