"doy","air.temp","glorad","year","date"
1,1,10.4,2021,2021-01-01
2,0.9,10.4,2021,2021-01-02
3,-0.6,10.4,2021,2021-01-03
4,0,10.4,2021,2021-01-04
5,-1,13.9,2021,2021-01-05
6,-2,16.2,2021,2021-01-06
7,-0.5,10.4,2021,2021-01-07
8,0,10.4,2021,2021-01-08
9,-2,11.6,2021,2021-01-09
10,-1.1,11.6,2021,2021-01-10
11,-1,12.7,2021,2021-01-11
12,-2.2,22,2021,2021-01-12
13,-2.5,16.2,2021,2021-01-13
14,-4.4,13.9,2021,2021-01-14
15,-9.1,13.9,2021,2021-01-15
16,-3.6,15,2021,2021-01-16
17,-2.6,13.9,2021,2021-01-17
18,-1.5,13.9,2021,2021-01-18
19,-1.1,15,2021,2021-01-19
20,0.4,15,2021,2021-01-20
21,2.8,15,2021,2021-01-21
22,3.2,16.2,2021,2021-01-22
23,3.2,19.7,2021,2021-01-23
24,-1.5,27.8,2021,2021-01-24
25,-1,17.4,2021,2021-01-25
26,-3.1,17.4,2021,2021-01-26
27,-5.5,18.5,2021,2021-01-27
28,-4.8,18.5,2021,2021-01-28
29,-4.4,20.8,2021,2021-01-29
30,-10.2,30.1,2021,2021-01-30
31,-11.2,52.1,2021,2021-01-31
32,-8.9,56.7,2021,2021-02-01
33,-4.7,22,2021,2021-02-02
34,-6.9,26.6,2021,2021-02-03
35,-9.1,28.9,2021,2021-02-04
36,-9.2,33.6,2021,2021-02-05
37,-8.7,47.5,2021,2021-02-06
38,-9.8,34.7,2021,2021-02-07
39,-9.4,35.9,2021,2021-02-08
40,-11,60.2,2021,2021-02-09
41,-11.5,28.9,2021,2021-02-10
42,-10.9,39.4,2021,2021-02-11
43,-7.9,34.7,2021,2021-02-12
44,-5.6,88,2021,2021-02-13
45,-3.1,34.7,2021,2021-02-14
46,-7.1,92.6,2021,2021-02-15
47,-6.9,35.9,2021,2021-02-16
48,-4.1,39.4,2021,2021-02-17
49,-3.5,35.9,2021,2021-02-18
50,0.7,35.9,2021,2021-02-19
51,2.4,38.2,2021,2021-02-20
52,3.8,39.4,2021,2021-02-21
53,2.7,39.4,2021,2021-02-22
54,2.8,39.4,2021,2021-02-23
55,5.3,40.5,2021,2021-02-24
56,8.6,41.7,2021,2021-02-25
57,6.3,126,2021,2021-02-26
58,3.4,93.8,2021,2021-02-27
59,4.9,93.8,2021,2021-02-28
60,3.8,63.7,2021,2021-03-01
61,4.2,84.5,2021,2021-03-02
62,1.9,134,2021,2021-03-03
63,-0.8,99.5,2021,2021-03-04
64,-2.6,113,2021,2021-03-05
65,2,63.7,2021,2021-03-06
66,-0.4,71.8,2021,2021-03-07
