"doy","temp","glorad"
94,5.3,74.1
95,2.4,133
96,3.1,188
97,3.7,142
98,3.3,103
99,4.7,171
100,2.8,189
101,1.1,42.8
102,2.9,183
103,4.2,194
104,4.1,207
105,4.4,183
106,5.4,215
107,8.3,193
108,9.9,242
109,10.3,251
110,10.3,263
111,6.6,226
112,6.5,277
113,6,189
114,5.1,266
115,4.2,273
116,4.2,205
117,5.2,267
118,6.6,182
119,7.4,213
120,6.2,48.6
121,6.9,149
122,8.3,211
123,6.7,190
124,6.5,67.1
125,6,98.4
126,4.7,126
127,5.2,183
128,7.6,238
129,13.3,215
130,14.9,174
131,11.5,99.5
132,10.4,52.1
133,11.2,133
134,11.2,108
135,8.4,88
136,9.5,77.5
137,9.8,130
138,9.8,186
139,8.7,141
140,8.8,231
141,9.8,176
142,9.9,125
143,8.6,99.5
144,10.1,98.4
145,10.3,83.3
146,8.7,69.4
147,10.2,177
148,9.9,277
149,13.3,322
150,14.5,333
151,12.6,334
152,13.1,240
153,13.7,245
154,15.7,159
155,16.9,288
156,17.7,317
157,16.9,231
158,15.2,242
159,15.1,328
160,16.2,329
161,17.3,295
162,17,167
163,13.4,260
164,14.3,336
165,15.2,174
166,12.9,302
167,15,345
168,20.8,286
169,18,168
170,18.5,237
171,15,139
172,12.9,126
173,15.1,213
174,15.3,207
175,14.3,330
176,14.9,168
177,14.9,96.1
178,15,251
179,15.1,350
180,14.3,243
181,16.4,209
182,17.3,287
183,17.1,108
184,16.3,69.4
185,18.6,221
186,17.8,191
187,16.5,146
188,17.5,292
189,17.7,241
190,17.3,204
191,16.5,181
192,17.3,234
193,19.4,284
194,21.1,266
195,23.1,294
196,20.4,300
197,20.6,321
198,18.7,321
199,15.8,207
200,16.1,300
201,15.8,181
202,16,132
203,16.5,220
204,17.4,249
205,18.8,297
206,19.4,119
207,20.6,191
208,19.1,209
209,17.1,178
210,14.7,163
211,16.8,191
212,16,172
213,14.5,188
214,15.1,247
215,14.3,251
216,14,166
217,14.9,171
218,17.7,237
219,15,86.8
220,15.1,135
221,15.8,171
222,14.8,131
223,15.8,209
224,17.7,152
225,17.1,150
226,15.4,181
227,15.1,153
228,12.7,78.7
229,15.8,225
230,14.3,82.2
231,14.4,197
232,13.8,166
233,13.4,171
234,14.2,212
235,15,244
236,14.9,229
237,16.4,138
238,14,76.4
239,14.9,49.8
240,15,101
241,16.3,145
242,15.7,228
243,15.4,220
244,15.5,207
245,15.4,168
246,14.7,215
247,13.9,218
248,12.9,219
249,12.4,115
250,15.2,113
251,18.3,182
252,18.1,190
253,17.3,84.5
254,17.8,79.9
255,15.8,90.3
256,15,71.8
257,14.9,139
258,13.7,37
259,13.6,46.3
260,11.5,45.1
261,13,52.1
262,10.8,56.7
263,10.6,90.3
264,11.5,86.8
265,14.4,157
266,13.2,66
267,13.2,50.9
268,13,144
269,13.3,117
270,15.2,25.5
271,13.4,138
272,12.2,79.9
273,10.8,75.2
274,12.1,31.2
275,12.6,62.5
276,13.5,20.8
277,12.1,41.7
278,11.6,75.2
279,11.8,79.9
280,11,112
281,10.5,119
282,10.3,70.6
283,9.1,81
284,9.5,88
285,7.1,122
286,7.4,71.8
287,10.9,53.2
288,9.8,97.2
289,8.4,74.1
290,7.8,63.7
291,8.5,23.1
292,11.8,17.4
293,13.5,25.5
294,8.3,68.3
295,6.8,81
296,7.7,74.1
297,8.6,31.2
298,8.8,37
299,10,68.3
300,13.3,9.26
301,12.5,46.3
302,10.5,71.8
303,10.8,30.1
304,10.2,49.8
305,10.6,34.7
306,7.4,49.8
307,5.4,60.2
308,3.5,33.6
309,7.7,52.1
310,9.7,17.4
311,7.6,34.7
312,5.9,20.8
313,9.3,9.26
314,10.5,26.6
315,7.5,27.8
316,6.9,12.7
317,7.4,12.7
318,7.5,8.1
319,6.4,6.94
320,5.1,4.63
321,5.7,23.1
322,9.1,10.4
323,11.1,22
324,9.6,9.26
325,4.3,27.8
326,3.2,38.2
327,6.9,28.9
328,7.2,19.7
329,5.2,28.9
330,2.2,25.5
331,2.3,15
332,1.4,10.4
333,-0.6,25.5
334,1.3,26.6
335,-0.4,8.1
336,-1,30.1
337,0.4,10.4
338,0.9,10.4
339,0.2,6.94
340,-0.9,16.2
341,1.1,11.6
342,1.2,5.79
343,0.9,8.1
344,0.9,6.94
345,-0.1,10.4
346,2.2,8.1
347,7,10.4
348,5.5,18.5
349,8.2,9.26
350,6.5,25.5
351,6.1,6.94
352,7,23.1
353,4.9,25.5
354,0.4,25.5
355,-0.8,10.4
356,1.6,10.4
357,0,5.79
358,-3.9,13.9
359,-4.6,24.3
360,-5.5,34.7
361,-3.1,34.7
362,0.2,5.79
363,0.9,12.7
364,7,17.4
365,8.2,13.9
1,7.6,10.4
2,8.4,5.79
3,6.9,9.26
4,1.6,23.1
5,1.1,13.9
6,-0.8,38.2
7,1.9,17.4
8,1.4,17.4
9,0.6,12.7
10,1.6,13.9
11,2.2,11.6
12,4.5,17.4
13,7.5,23.1
14,5.2,34.7
15,1.9,23.1
16,4.9,11.6
17,3.8,40.5
18,4.9,19.7
19,4.7,4.63
20,0.5,45.1
21,2,25.5
22,4.2,15
23,6.3,17.4
24,5.3,5.79
25,5.7,44
26,5.6,17.4
27,6,27.8
28,3.6,50.9
29,6.9,11.6
30,4,57.9
31,1.4,33.6
32,3.8,19.7
33,3.4,52.1
34,5.8,15
35,4.1,13.9
36,3.6,44
37,2.4,41.7
38,3.5,41.7
39,6,54.4
40,5.2,38.2
41,3,54.4
42,0.9,77.5
43,2.3,45.1
44,3.3,13.9
45,6.3,12.7
46,4.7,54.4
47,3.7,15
48,4.2,48.6
49,2.4,18.5
50,3.1,59
51,3,24.3
52,4.3,63.7
53,2.9,48.6
54,5.5,81
55,3.7,32.4
56,3.3,77.5
57,2.6,122
58,2,126
59,2.8,127
60,1.4,37
61,1.4,133
62,1.1,138
63,1.3,138
64,-0.1,146
65,1.6,146
66,1.5,148
67,2.4,125
68,-0.1,105
69,2.7,126
70,3.3,161
71,3.9,155
72,4.2,160
73,5.2,150
74,5.4,130
75,3.8,134
76,4.5,20.8
77,5,171
78,4,175
79,3.6,179
80,5.5,160
81,5.3,175
82,5.6,179
83,6,181
84,7.8,186
85,8.4,183
86,5.4,138
87,5.8,117
88,3.1,186
89,0.2,208
90,0,183
91,0.2,154
92,0.8,172
93,3.4,145
