"site","date","temp"
"B",2020-04-30,8.54333333333333
"B",2020-05-01,8.42125
"B",2020-05-02,8.803125
"B",2020-05-03,9.610625
"B",2020-05-04,9.931875
"B",2020-05-05,9.91875
"B",2020-05-06,9.878125
"A",2020-05-07,7.48571428571429
"B",2020-05-07,10.2375
"D",2020-05-07,7.4025
"A",2020-05-08,7.426875
"B",2020-05-08,10.531875
"D",2020-05-08,7.56125
"A",2020-05-09,7.374375
"B",2020-05-09,10.423125
"D",2020-05-09,7.719375
"A",2020-05-10,7.46625
"B",2020-05-10,10.59125
"D",2020-05-10,7.888125
"A",2020-05-11,7.61875
"B",2020-05-11,10.859375
"D",2020-05-11,7.914375
"A",2020-05-12,7.645625
"B",2020-05-12,9.85625
"D",2020-05-12,7.795
"A",2020-05-13,7.670625
"B",2020-05-13,9.701875
"D",2020-05-13,7.77375
"A",2020-05-14,7.664375
"B",2020-05-14,10.16125
"D",2020-05-14,7.638125
"A",2020-05-15,7.634375
"B",2020-05-15,9.53875
"D",2020-05-15,7.5975
"A",2020-05-16,7.463125
"B",2020-05-16,10.09875
"D",2020-05-16,7.70125
"A",2020-05-17,7.80625
"B",2020-05-17,10.116875
"D",2020-05-17,7.76875
"A",2020-05-18,7.735625
"B",2020-05-18,9.72875
"D",2020-05-18,7.78625
"A",2020-05-19,7.746875
"B",2020-05-19,9.97
"D",2020-05-19,7.87
"A",2020-05-20,7.941875
"B",2020-05-20,9.759375
"D",2020-05-20,7.989375
"A",2020-05-21,8.20375
"B",2020-05-21,10.146875
"D",2020-05-21,8.169375
"A",2020-05-22,8.23375
"B",2020-05-22,10.751875
"D",2020-05-22,8.45125
"A",2020-05-23,8.363125
"B",2020-05-23,10.47625
"D",2020-05-23,8.69625
"A",2020-05-24,8.646875
"B",2020-05-24,10.46125
"D",2020-05-24,8.748125
"A",2020-05-25,8.66375
"B",2020-05-25,11.08
"D",2020-05-25,8.855
"A",2020-05-26,8.78375
"B",2020-05-26,11.715625
"D",2020-05-26,9.17375
"A",2020-05-27,8.98625
"B",2020-05-27,12.029375
"D",2020-05-27,9.54
"A",2020-05-28,9.2125
"B",2020-05-28,12.079375
"D",2020-05-28,9.739375
"A",2020-05-29,9.4275
"B",2020-05-29,12.07
"D",2020-05-29,9.7225
"A",2020-05-30,9.57125
"B",2020-05-30,12.279375
"D",2020-05-30,9.71125
"A",2020-05-31,9.639375
"B",2020-05-31,12.17875
"D",2020-05-31,9.789375
"A",2020-06-01,9.7225
"B",2020-06-01,12.664375
"D",2020-06-01,9.909375
"A",2020-06-02,9.834375
"B",2020-06-02,13.35375
"D",2020-06-02,9.74375
"A",2020-06-03,10.0375
"B",2020-06-03,13.064375
"D",2020-06-03,10.19875
"A",2020-06-04,10.251875
"B",2020-06-04,13.001875
"D",2020-06-04,10.481875
"A",2020-06-05,10.374375
"B",2020-06-05,13.095625
"D",2020-06-05,9.996875
"A",2020-06-06,10.565
"B",2020-06-06,13.301875
"D",2020-06-06,10.351875
"A",2020-06-07,10.825625
"B",2020-06-07,13.03375
"D",2020-06-07,10.52875
"A",2020-06-08,10.765
"B",2020-06-08,13.32625
"D",2020-06-08,10.436875
"A",2020-06-09,10.679375
"B",2020-06-09,13.591875
"D",2020-06-09,10.63
"A",2020-06-10,10.68625
"B",2020-06-10,13.69125
"D",2020-06-10,10.93625
"A",2020-06-11,10.785
"B",2020-06-11,13.6775
"D",2020-06-11,11.211875
"A",2020-06-12,10.89875
"B",2020-06-12,13.901875
"D",2020-06-12,11.48
"A",2020-06-13,11.106875
"B",2020-06-13,14.18875
"D",2020-06-13,11.818125
"A",2020-06-14,11.825
"B",2020-06-14,14.235625
"D",2020-06-14,12.0925
"A",2020-06-15,11.743125
"B",2020-06-15,14.451875
"D",2020-06-15,12.35875
"A",2020-06-16,11.77
"B",2020-06-16,14.68
"D",2020-06-16,12.66375
"A",2020-06-17,11.859375
"B",2020-06-17,14.538125
"D",2020-06-17,12.818125
"A",2020-06-18,11.921875
"B",2020-06-18,14.91125
"D",2020-06-18,12.795625
"A",2020-06-19,11.95875
"B",2020-06-19,15.6875
"C",2020-06-19,16.26
"D",2020-06-19,13.030625
"A",2020-06-20,12.071875
"B",2020-06-20,15.926875
"C",2020-06-20,16.565
"D",2020-06-20,13.24125
"A",2020-06-21,12.469375
"B",2020-06-21,16.071875
"C",2020-06-21,16.846875
"D",2020-06-21,13.600625
"A",2020-06-22,12.67125
"B",2020-06-22,16.125
"C",2020-06-22,16.5925
"D",2020-06-22,13.91625
"A",2020-06-23,12.689375
"B",2020-06-23,16.29625
"C",2020-06-23,16.72375
"D",2020-06-23,14.1775
"A",2020-06-24,12.961875
"B",2020-06-24,16.6225
"C",2020-06-24,17.018125
"D",2020-06-24,14.4875
"A",2020-06-25,13.208125
"B",2020-06-25,16.98875
"C",2020-06-25,17.31375
"D",2020-06-25,14.899375
"A",2020-06-26,13.345625
"B",2020-06-26,17.2375
"C",2020-06-26,17.52375
"D",2020-06-26,15.3875
"A",2020-06-27,13.4425
"B",2020-06-27,17.356875
"C",2020-06-27,17.7025
"D",2020-06-27,15.5625
"A",2020-06-28,13.67375
"B",2020-06-28,17.520625
"C",2020-06-28,18.04375
"D",2020-06-28,15.80125
"A",2020-06-29,13.97375
"B",2020-06-29,17.670625
"C",2020-06-29,18.32625
"D",2020-06-29,15.875625
"A",2020-06-30,14.0825
"B",2020-06-30,17.541875
"C",2020-06-30,18.01875
"D",2020-06-30,15.8625
"A",2020-07-01,14.0175
"B",2020-07-01,17.150625
"C",2020-07-01,17.59125
"D",2020-07-01,15.595
"A",2020-07-02,13.928125
"B",2020-07-02,17.169375
"C",2020-07-02,17.439375
"D",2020-07-02,15.46125
"A",2020-07-03,13.98375
"B",2020-07-03,16.99375
"C",2020-07-03,17.086875
"D",2020-07-03,15.24
"A",2020-07-04,13.961875
"B",2020-07-04,16.6925
