 Day of  Day of    Year   Slurry  Frozen  Slurry   Air    Wall   Floor    Slurry
 sim.     year             mass    mass   depth     T      T       T        T
    1       1        1    67.00    0.00    0.07   -3.72    7.97   11.06    3.42
    2       2        1   134.00    0.00    0.13   -3.81    7.80   11.04    1.50
    3       3        1   201.00    0.00    0.20   -3.90    7.63   11.02    1.07
    4       4        1   268.00    0.00    0.26   -3.99    7.46   10.99    0.84
    5       5        1   335.00    0.00    0.33   -4.07    7.29   10.97    0.68
    6       6        1   402.00    0.00    0.39   -4.15    7.12   10.94    0.56
    7       7        1   469.00    0.00    0.46   -4.23    6.95   10.91    0.47
    8       8        1   536.00    0.00    0.53   -4.30    6.78   10.88    0.38
    9       9        1   603.00    0.00    0.59   -4.37    6.61   10.85    0.31
   10      10        1   670.00    0.00    0.66   -4.44    6.44   10.82    0.25
   11      11        1   737.00    0.00    0.72   -4.50    6.28   10.79    0.19
   12      12        1   804.00    0.00    0.79   -4.56    6.11   10.76    0.14
   13      13        1   871.00    0.00    0.86   -4.61    5.94   10.73    0.09
   14      14        1   938.00    0.00    0.92   -4.66    5.77   10.69    0.05
   15      15        1  1005.00    0.16    0.99   -4.71    5.61   10.66    0.01
   16      16        1  1072.00    0.67    1.05   -4.76    5.44   10.62    0.00
   17      17        1  1139.00    1.21    1.12   -4.80    5.28   10.58    0.00
   18      18        1  1206.00    1.76    1.18   -4.83    5.11   10.54    0.00
   19      19        1  1273.00    2.33    1.25   -4.87    4.95   10.50    0.00
   20      20        1  1340.00    2.92    1.32   -4.90    4.78   10.46    0.00
   21      21        1  1407.00    3.52    1.38   -4.92    4.62   10.42    0.00
   22      22        1  1474.00    4.14    1.45   -4.94    4.46   10.38    0.00
   23      23        1  1541.00    4.76    1.51   -4.96    4.30   10.34    0.00
   24      24        1  1607.99    5.40    1.58   -4.98    4.14   10.30    0.00
   25      25        1  1674.99    6.06    1.65   -4.99    3.98   10.25    0.00
   26      26        1  1741.99    6.74    1.71   -5.00    3.82   10.21    0.00
   27      27        1  1808.99    7.43    1.78   -5.00    3.67   10.16    0.00
   28      28        1  1875.99    8.13    1.84   -5.00    3.51   10.11    0.00
   29      29        1  1942.99    8.84    1.91   -5.00    3.36   10.07    0.00
   30      30        1  2009.99    9.56    1.97   -4.99    3.21   10.02    0.00
   31      31        1  2076.99   10.28    2.04   -4.98    3.05    9.97    0.00
   32      32        1  2143.99   11.01    2.11   -4.96    2.90    9.92    0.00
   33      33        1  2210.99   11.75    2.17   -4.94    2.75    9.87    0.00
   34      34        1  2277.99   12.48    2.24   -4.92    2.61    9.82    0.00
   35      35        1  2345.00   13.22    2.30   -4.90    2.46    9.76    0.00
   36      36        1  2412.00   13.95    2.37   -4.87    2.32    9.71    0.00
   37      37        1  2479.00   14.68    2.44   -4.83    2.17    9.66    0.00
   38      38        1  2546.00   15.41    2.50   -4.80    2.03    9.61    0.00
   39      39        1  2613.00   16.12    2.57   -4.76    1.89    9.55    0.00
