 Day of  Day of    Year   Slurry  Frozen  Slurry   Air    Wall   Floor    Slurry
 sim.     year             mass    mass   depth     T      T       T        T
    1       1        1    67.00    0.00    0.07   -3.72    7.97   11.06    3.17
    2       2        1   134.00    0.00    0.13   -3.81    7.80   11.04    1.21
    3       3        1   201.00    0.00    0.20   -3.90    7.63   11.02    0.78
    4       4        1   268.00    0.00    0.26   -3.99    7.46   10.99    0.54
    5       5        1   335.00    0.00    0.33   -4.07    7.29   10.97    0.39
    6       6        1   402.00    0.00    0.39   -4.15    7.12   10.94    0.27
    7       7        1   469.00    0.00    0.46   -4.23    6.95   10.91    0.17
    8       8        1   536.00    0.00    0.53   -4.30    6.78   10.88    0.09
    9       9        1   603.00    0.04    0.59   -4.37    6.61   10.85    0.02
   10      10        1   670.00    0.52    0.66   -4.44    6.44   10.82    0.00
   11      11        1   737.00    1.02    0.72   -4.50    6.28   10.79    0.00
   12      12        1   804.00    1.55    0.79   -4.56    6.11   10.76    0.00
   13      13        1   871.00    2.09    0.86   -4.61    5.94   10.73    0.00
   14      14        1   938.00    2.66    0.92   -4.66    5.77   10.69    0.00
   15      15        1  1005.00    3.25    0.99   -4.71    5.61   10.66    0.00
   16      16        1  1072.00    3.86    1.05   -4.76    5.44   10.62    0.00
   17      17        1  1139.00    4.49    1.12   -4.80    5.28   10.58    0.00
   18      18        1  1206.00    5.14    1.18   -4.83    5.11   10.54    0.00
   19      19        1  1273.00    5.80    1.25   -4.87    4.95   10.50    0.00
   20      20        1  1340.00    6.47    1.32   -4.90    4.78   10.46    0.00
   21      21        1  1407.00    7.16    1.38   -4.92    4.62   10.42    0.00
   22      22        1  1474.00    7.86    1.45   -4.94    4.46   10.38    0.00
   23      23        1  1541.00    8.57    1.51   -4.96    4.30   10.34    0.00
   24      24        1  1607.99    9.30    1.58   -4.98    4.14   10.30    0.00
   25      25        1  1674.99   10.04    1.65   -4.99    3.98   10.25    0.00
   26      26        1  1741.99   10.80    1.71   -5.00    3.82   10.21    0.00
   27      27        1  1808.99   11.57    1.78   -5.00    3.67   10.16    0.00
   28      28        1  1875.99   12.36    1.84   -5.00    3.51   10.11    0.00
   29      29        1  1942.99   13.15    1.91   -5.00    3.36   10.07    0.00
   30      30        1  2009.99   13.95    1.97   -4.99    3.21   10.02    0.00
   31      31        1  2076.99   14.76    2.04   -4.98    3.05    9.97    0.00
   32      32        1  2143.99   15.58    2.11   -4.96    2.90    9.92    0.00
   33      33        1  2210.99   16.40    2.17   -4.94    2.75    9.87    0.00
   34      34        1  2277.99   17.22    2.24   -4.92    2.61    9.82    0.00
   35      35        1  2345.00   18.04    2.30   -4.90    2.46    9.76    0.00
   36      36        1  2412.00   18.87    2.37   -4.87    2.32    9.71    0.00
   37      37        1  2479.00   19.69    2.44   -4.83    2.17    9.66    0.00
   38      38        1  2546.00   20.51    2.50   -4.80    2.03    9.61    0.00
   39      39        1  2613.00   21.32    2.57   -4.76    1.89    9.55    0.00
   40      40        1  2680.01   22.13    2.63   -4.71    1.75    9.50    0.00
   41      41        1  2747.01   22.93    2.70   -4.66    1.62    9.44    0.00
   42      42        1  2814.01   23.71    2.76   -4.61    1.48    9.38    0.00
   43      43        1  2881.01   24.49    2.83   -4.56    1.35    9.33    0.00
   44      44        1  2948.01   25.26    2.90   -4.50    1.22    9.27    0.00
   45      45        1  3015.02   26.00    2.96   -4.44    1.09    9.21    0.00
   46      46        1  3082.02   26.74    3.03   -4.37    0.96    9.15    0.00
   47      47        1  3149.02   27.45    3.09   -4.30    0.84    9.09    0.00
   48      48        1  3216.02   28.15    3.16   -4.23    0.71    9.03    0.00
   49      49        1  3283.02   28.82    3.23   -4.15    0.59    8.98    0.00
   50      50        1  3350.03   29.47    3.29   -4.07    0.47    8.91    0.00
   51      51        1  3417.03   30.10    3.36   -3.99    0.35    8.85    0.00
   52      52        1  3484.03   30.70    3.42   -3.90    0.24    8.79    0.00
   53      53        1  3551.03   31.27    3.49   -3.81    0.13    8.73    0.00
   54      54        1  3618.03   31.81    3.55   -3.72    0.01    8.67    0.00
   55      55        1  3685.04   32.32    3.62   -3.63   -0.09    8.61    0.00
   56      56        1  3752.04   32.80    3.69   -3.53   -0.20    8.55    0.00
   57      57        1  3819.04   33.24    3.75   -3.42   -0.30    8.48    0.00
   58      58        1  3886.04   33.65    3.82   -3.32   -0.41    8.42    0.00
   59      59        1  3953.04   34.02    3.88   -3.21   -0.51    8.36    0.00
   60      60        1  4020.05   34.35    3.95   -3.09   -0.60    8.29    0.00
   61      61        1  4087.05   34.64    4.02   -2.98   -0.70    8.23    0.00
   62      62        1  4154.04   34.88    4.08   -2.86   -0.79    8.16    0.00
   63      63        1  4221.04   35.08    4.15   -2.74   -0.88    8.10    0.00
   64      64        1  4288.04   35.24    4.21   -2.61   -0.97    8.04    0.00
   65      65        1  4355.03   35.34    4.28   -2.48   -1.05    7.97    0.00
   66      66        1  4422.03   35.40    4.34   -2.35   -1.13    7.91    0.00
   67      67        1  4489.02   35.41    4.41   -2.22   -1.21    7.84    0.00
   68      68        1  4556.02   35.36    4.48   -2.08   -1.29    7.78    0.00
   69      69        1  4623.02   35.26    4.54   -1.94   -1.37    7.71    0.00
   70      70        1  4690.01   35.10    4.61   -1.80   -1.44    7.65    0.00
   71      71        1  4757.01   34.89    4.67   -1.66   -1.51    7.58    0.00
   72      72        1  4824.01   34.61    4.74   -1.51   -1.57    7.52    0.00
   73      73        1  4891.00   34.28    4.81   -1.36   -1.64    7.45    0.00
   74      74        1  4958.00   33.88    4.87   -1.20   -1.70    7.39    0.00
   75      75        1  5024.99   33.42    4.94   -1.05   -1.76    7.32    0.00
   76      76        1  5091.99   32.89    5.00   -0.89   -1.81    7.26    0.00
