"doy","air.temp","glorad","date","year"
1,0.1,12.7,2021-01-01,2021
2,0.4,12.7,2021-01-02,2021
3,1.2,10.4,2021-01-03,2021
4,-0.1,5.79,2021-01-04,2021
5,0.9,8.1,2021-01-05,2021
6,-0.1,4.63,2021-01-06,2021
7,0,4.63,2021-01-07,2021
8,-0.2,9.26,2021-01-08,2021
9,0.2,9.26,2021-01-09,2021
10,0.8,18.5,2021-01-10,2021
11,4.1,12.7,2021-01-11,2021
12,0.7,24.3,2021-01-12,2021
13,0.2,11.6,2021-01-13,2021
14,-1.8,6.94,2021-01-14,2021
15,-3.4,13.9,2021-01-15,2021
16,-5.7,48.6,2021-01-16,2021
17,-1.2,30.1,2021-01-17,2021
18,0,12.7,2021-01-18,2021
19,1.6,10.4,2021-01-19,2021
20,5.3,6.94,2021-01-20,2021
21,5.2,23.1,2021-01-21,2021
22,4.2,24.3,2021-01-22,2021
23,1.9,19.7,2021-01-23,2021
24,1.2,17.4,2021-01-24,2021
25,0.3,19.7,2021-01-25,2021
26,-1.1,26.6,2021-01-26,2021
27,0.3,15,2021-01-27,2021
28,-2.6,62.5,2021-01-28,2021
29,-3.6,27.8,2021-01-29,2021
30,-2.1,39.4,2021-01-30,2021
31,-0.8,66,2021-01-31,2021
32,-2.5,62.5,2021-02-01,2021
33,-4.8,41.7,2021-02-02,2021
34,-2.2,19.7,2021-02-03,2021
35,-4.2,26.6,2021-02-04,2021
36,-5,39.4,2021-02-05,2021
37,-4.9,70.6,2021-02-06,2021
38,-4.4,33.6,2021-02-07,2021
39,-3.3,37,2021-02-08,2021
40,-4.4,28.9,2021-02-09,2021
41,-5.3,79.9,2021-02-10,2021
42,-7.4,59,2021-02-11,2021
43,-7.6,102,2021-02-12,2021
44,-6,98.4,2021-02-13,2021
45,-5.2,90.3,2021-02-14,2021
46,-1.3,23.1,2021-02-15,2021
47,-1.2,33.6,2021-02-16,2021
48,0.6,26.6,2021-02-17,2021
49,2.8,25.5,2021-02-18,2021
50,4.2,72.9,2021-02-19,2021
51,6.3,50.9,2021-02-20,2021
52,7.4,72.9,2021-02-21,2021
53,6,79.9,2021-02-22,2021
54,6.4,26.6,2021-02-23,2021
55,9.8,30.1,2021-02-24,2021
56,8.4,55.6,2021-02-25,2021
57,5.6,52.1,2021-02-26,2021
58,5.1,101,2021-02-27,2021
59,5.5,103,2021-02-28,2021
60,4.3,57.9,2021-03-01,2021
61,3.8,130,2021-03-02,2021
62,1.4,78.7,2021-03-03,2021
63,0.9,138,2021-03-04,2021
64,0.1,141,2021-03-05,2021
65,2.7,68.3,2021-03-06,2021
66,3,132,2021-03-07,2021
67,-0.5,150,2021-03-08,2021
68,-0.1,157,2021-03-09,2021
69,0.5,71.8,2021-03-10,2021
70,4.5,27.8,2021-03-11,2021
71,4.3,67.1,2021-03-12,2021
72,2.9,35.9,2021-03-13,2021
73,4,99.5,2021-03-14,2021
74,3.7,72.9,2021-03-15,2021
75,2.7,153,2021-03-16,2021
76,2.7,92.6,2021-03-17,2021
77,1.5,138,2021-03-18,2021
78,0.6,147,2021-03-19,2021
79,3.5,54.4,2021-03-20,2021
80,4.6,155,2021-03-21,2021
81,4.1,71.8,2021-03-22,2021
82,5.6,94.9,2021-03-23,2021
83,6.9,104,2021-03-24,2021
84,6.3,149,2021-03-25,2021
85,6.9,79.9,2021-03-26,2021
86,5.4,93.8,2021-03-27,2021
87,6,40.5,2021-03-28,2021
88,8.9,32.4,2021-03-29,2021
89,10.6,189,2021-03-30,2021
90,9.9,118,2021-03-31,2021
91,6.5,203,2021-04-01,2021
92,5.6,182,2021-04-02,2021
93,4.6,205,2021-04-03,2021
94,5.3,74.1,2021-04-04,2021
95,2.4,133,2021-04-05,2021
96,3.1,188,2021-04-06,2021
97,3.7,142,2021-04-07,2021
98,3.3,103,2021-04-08,2021
99,4.7,171,2021-04-09,2021
100,2.8,189,2021-04-10,2021
101,1.1,42.8,2021-04-11,2021
102,2.9,183,2021-04-12,2021
103,4.2,194,2021-04-13,2021
104,4.1,207,2021-04-14,2021
105,4.4,183,2021-04-15,2021
106,5.4,215,2021-04-16,2021
107,8.3,193,2021-04-17,2021
108,9.9,242,2021-04-18,2021
109,10.3,251,2021-04-19,2021
110,10.3,263,2021-04-20,2021
111,6.6,226,2021-04-21,2021
112,6.5,277,2021-04-22,2021
113,6,189,2021-04-23,2021
114,5.1,266,2021-04-24,2021
115,4.2,273,2021-04-25,2021
116,4.2,205,2021-04-26,2021
117,5.2,267,2021-04-27,2021
118,6.6,182,2021-04-28,2021
119,7.4,213,2021-04-29,2021
120,6.2,48.6,2021-04-30,2021
121,6.9,149,2021-05-01,2021
122,8.3,211,2021-05-02,2021
123,6.7,190,2021-05-03,2021
124,6.5,67.1,2021-05-04,2021
125,6,98.4,2021-05-05,2021
126,4.7,126,2021-05-06,2021
127,5.2,183,2021-05-07,2021
128,7.6,238,2021-05-08,2021
129,13.3,215,2021-05-09,2021
130,14.9,174,2021-05-10,2021
131,11.5,99.5,2021-05-11,2021
132,10.4,52.1,2021-05-12,2021
133,11.2,133,2021-05-13,2021
134,11.2,108,2021-05-14,2021
135,8.4,88,2021-05-15,2021
136,9.5,77.5,2021-05-16,2021
137,9.8,130,2021-05-17,2021
138,9.8,186,2021-05-18,2021
139,8.7,141,2021-05-19,2021
140,8.8,231,2021-05-20,2021
141,9.8,176,2021-05-21,2021
142,9.9,125,2021-05-22,2021
143,8.6,99.5,2021-05-23,2021
144,10.1,98.4,2021-05-24,2021
145,10.3,83.3,2021-05-25,2021
146,8.7,69.4,2021-05-26,2021
147,10.2,177,2021-05-27,2021
148,9.9,277,2021-05-28,2021
149,13.3,322,2021-05-29,2021
150,14.5,333,2021-05-30,2021
151,12.6,334,2021-05-31,2021
152,13.1,240,2021-06-01,2021
153,13.7,245,2021-06-02,2021
154,15.7,159,2021-06-03,2021
155,16.9,288,2021-06-04,2021
156,17.7,317,2021-06-05,2021
157,16.9,231,2021-06-06,2021
158,15.2,242,2021-06-07,2021
159,15.1,328,2021-06-08,2021
160,16.2,329,2021-06-09,2021
161,17.3,295,2021-06-10,2021
162,17,167,2021-06-11,2021
163,13.4,260,2021-06-12,2021
164,14.3,336,2021-06-13,2021
165,15.2,174,2021-06-14,2021
166,12.9,302,2021-06-15,2021
167,15,345,2021-06-16,2021
168,20.8,286,2021-06-17,2021
169,18,168,2021-06-18,2021
170,18.5,237,2021-06-19,2021
171,15,139,2021-06-20,2021
172,12.9,126,2021-06-21,2021
173,15.1,213,2021-06-22,2021
174,15.3,207,2021-06-23,2021
175,14.3,330,2021-06-24,2021
176,14.9,168,2021-06-25,2021
177,14.9,96.1,2021-06-26,2021
178,15,251,2021-06-27,2021
179,15.1,350,2021-06-28,2021
180,14.3,243,2021-06-29,2021
181,16.4,209,2021-06-30,2021
182,17.3,287,2021-07-01,2021
183,17.1,108,2021-07-02,2021
184,16.3,69.4,2021-07-03,2021
185,18.6,221,2021-07-04,2021
186,17.8,191,2021-07-05,2021
187,16.5,146,2021-07-06,2021
188,17.5,292,2021-07-07,2021
189,17.7,241,2021-07-08,2021
190,17.3,204,2021-07-09,2021
191,16.5,181,2021-07-10,2021
192,17.3,234,2021-07-11,2021
193,19.4,284,2021-07-12,2021
194,21.1,266,2021-07-13,2021
195,23.1,294,2021-07-14,2021
196,20.4,300,2021-07-15,2021
197,20.6,321,2021-07-16,2021
198,18.7,321,2021-07-17,2021
199,15.8,207,2021-07-18,2021
200,16.1,300,2021-07-19,2021
201,15.8,181,2021-07-20,2021
