 Day of  Day of    Year   Slurry  Frozen  Slurry   Air    Wall   Floor    Slurry
 sim.     year             mass    mass   depth     T      T       T        T
    1       1        1  1509.54    0.00    2.00    0.13   10.32    7.46   14.88
    2       2        1  1520.15    0.00    2.01    0.63   10.24    7.46   14.65
    3       3        1  1530.77    0.00    2.03   -0.76   10.16    7.46   14.42
    4       4        1  1541.39    0.00    2.04   -0.13   10.08    7.46   14.19
    5       5        1  1552.01    0.00    2.06   -0.56   10.00    7.46   13.97
    6       6        1  1562.62    0.00    2.07   -1.87    9.91    7.46   13.74
    7       7        1  1573.24    0.00    2.08   -0.74    9.84    7.46   13.52
    8       8        1  1583.86    0.00    2.10   -0.19    9.76    7.46   13.31
    9       9        1  1594.48    0.00    2.11   -2.27    9.67    7.46   13.10
   10      10        1  1605.10    0.00    2.13   -1.53    9.59    7.46   12.88
   11      11        1  1615.71    0.00    2.14   -1.90    9.50    7.46   12.67
   12      12        1  1626.33    0.00    2.15   -3.19    9.41    7.46   12.46
   13      13        1  1636.95    0.00    2.17   -3.35    9.31    7.46   12.24
   14      14        1  1647.57    0.00    2.18   -4.47    9.19    7.46   12.01
   15      15        1  1658.19    0.00    2.20  -10.20    9.04    7.46   11.75
   16      16        1  1668.80    0.00    2.21   -3.91    8.91    7.46   11.50
   17      17        1  1679.42    0.00    2.23   -3.05    8.79    7.46   11.29
   18      18        1  1690.04    0.00    2.24   -1.67    8.66    7.46   11.11
   19      19        1  1700.66    0.00    2.25   -1.51    8.55    7.46   10.94
   20      20        1  1711.28    0.00    2.27    0.34    8.47    7.46   10.79
   21      21        1  1721.89    0.00    2.28    2.02    8.41    7.46   10.66
   22      22        1  1732.51    0.00    2.30    1.96    8.35    7.46   10.54
   23      23        1  1743.13    0.00    2.31    3.00    8.28    7.46   10.43
   24      24        1  1753.75    0.00    2.32   -1.90    8.19    7.46   10.31
   25      25        1  1764.37    0.00    2.34   -0.95    8.09    7.46   10.16
   26      26        1  1774.98    0.00    2.35   -3.49    7.97    7.46   10.00
   27      27        1  1785.60    0.00    2.37   -7.17    7.84    7.46    9.81
   28      28        1  1796.22    0.00    2.38   -4.99    7.73    7.46    9.61
   29      29        1  1806.84    0.00    2.39   -4.31    7.62    7.46    9.44
   30      30        1  1817.46    0.00    2.41  -12.10    7.46    7.46    9.23
   31      31        1  1828.07    0.00    2.42  -14.30    7.28    7.46    8.96
   32      32        1  1838.69    0.00    2.44  -11.20    7.11    7.46    8.71
   33      33        1  1849.31    0.00    2.45   -7.32    6.98    7.46    8.50
   34      34        1  1859.93    0.00    2.46   -7.08    6.85    7.46    8.32
   35      35        1  1870.55    0.00    2.48   -9.35    6.71    7.46    8.13
   36      36        1  1881.16    0.00    2.49  -10.90    6.54    7.46    7.92
   37      37        1  1891.78    0.00    2.51  -10.50    6.37    7.46    7.71
   38      38        1  1902.40    0.00    2.52  -14.30    6.16    7.46    7.49
   39      39        1  1913.02    0.00    2.53  -12.80    5.99    7.46    7.26
   40      40        1  1923.64    0.00    2.55  -17.20    5.81    7.46    7.02
   41      41        1  1934.25    0.00    2.56  -15.40    5.65    7.46    6.76
   42      42        1  1944.87    0.00    2.58  -14.20    5.46    7.46    6.53
   43      43        1  1955.49    0.00    2.59  -11.40    5.30    7.46    6.32
   44      44        1  1966.11    0.00    2.60   -9.19    5.13    7.46    6.15
   45      45        1  1976.73    0.00    2.62   -4.32    4.99    7.46    6.03
   46      46        1  1987.34    0.00    2.63  -10.40    4.82    7.46    5.89
