Year,Month,Day,DOY,temp.s,temp.up,temp.m,temp.b,Depth,depth0.5,depth1.5,depth2.5,temp.avg
2020,1,1,1,-0.81427704,2.621380875,8.45,9.435656229,0.699092072,0.5,0.699092072,0.699092072,8.51948857
2020,1,2,2,-0.238957749,3.391263698,8.41,9.371678646,0.734897698,0.5,0.734897698,0.734897698,8.990427544
2020,1,3,3,2.400490465,2.767168708,8.19,9.409033385,0.770703325,0.5,0.770703325,0.770703325,9.844967772
2020,1,4,4,-0.037860308,2.514556583,8.27,9.40851576,0.806508951,0.5,0.806508951,0.806508951,9.995596414
2020,1,5,5,-7.437671021,2.903291948,8.46,9.43075726,0.842314578,0.5,0.842314578,0.842314578,9.816961567
2020,1,6,6,-7.280440219,2.801693938,8.57,9.473695792,0.878120205,0.5,0.878120205,0.878120205,9.805289717
2020,1,7,7,-2.773527041,3.041772667,8.62,9.474510958,0.913925831,0.5,0.913925831,0.913925831,10.2177535
2020,1,8,8,-6.157342365,3.424121938,8.41,9.380701313,0.949731458,0.5,0.949731458,0.949731458,10.50957518
2020,1,9,9,-13.10199739,3.499500271,8.04,9.235549781,0.985537084,0.5,0.985537084,0.985537084,10.47237307
2020,1,10,10,-0.552426826,3.266865031,7.78,9.139108563,1.021342711,0.5,1.021342711,1.021342711,10.68479167
2020,1,11,11,2.64805764,3.001172125,7.60,8.93617176,1.057148338,0.5,1.057148338,1.057148338,11.008125
2020,1,12,12,-6.869399375,2.627360083,7.45,8.923104417,1.092953964,0.5,1.092953964,1.092953964,9.734375
2020,1,13,13,-7.732051667,3.510353292,7.60,8.956961688,1.128759591,0.5,1.128759591,1.128759591,9.625208333
2020,1,14,14,-6.516111365,3.437210719,7.30,8.976696438,1.164565217,0.5,1.164565217,1.164565217,10.28208333
2020,1,15,15,-1.886629954,3.395335073,7.27,8.959048792,1.200370844,0.5,1.200370844,1.200370844,9.487291667
2020,1,16,16,-5.417155267,3.71078624,7.51,8.953390635,1.236176471,0.5,1.236176471,1.236176471,10.23541667
2020,1,17,17,-18.49372073,3.964411958,7.60,8.959253896,1.271982097,0.5,1.271982097,1.271982097,10.31354167
2020,1,18,18,-15.5624875,4.928483844,7.63,8.978571427,1.307787724,0.5,1.307787724,1.307787724,9.728541667
2020,1,19,19,-12.18436549,4.730637802,7.66,8.934663958,1.34359335,0.5,1.34359335,1.34359335,9.998333333
2020,1,20,20,-16.34420409,4.770350573,7.40,8.987384396,1.379398977,0.5,1.379398977,1.379398977,9.719375
2020,1,21,21,-12.16328628,4.401937021,7.21,8.97214576,1.415204604,0.5,1.415204604,1.415204604,10.21895833
