site,year,doy,temp
F,2015,220,21.739
F,2015,221,21.705
F,2015,222,21.703
F,2015,223,21.762
F,2015,224,21.661
F,2015,225,21.402
F,2015,226,21.401
F,2015,227,21.374
F,2015,228,22.258
F,2015,229,22.437
F,2015,230,22.586
F,2015,231,22.919
F,2015,232,22.932
F,2015,233,22.857
F,2015,234,22.469
F,2015,235,22.569
F,2015,236,22.363
F,2015,237,22.102
F,2015,238,21.806
F,2015,239,21.730
F,2015,240,21.386
F,2015,241,21.320
F,2015,242,21.401
F,2015,243,21.485
F,2015,244,21.109
F,2015,245,21.584
F,2015,246,21.704
F,2015,247,21.766
F,2015,248,21.345
F,2015,249,21.586
F,2015,250,22.060
F,2015,251,22.372
F,2015,252,22.414
F,2015,253,21.958
F,2015,254,21.898
F,2015,255,22.206
F,2015,256,
F,2015,257,20.719
F,2015,258,20.750
F,2015,259,21.751
F,2015,260,23.201
F,2015,261,22.828
F,2015,262,22.353
F,2015,263,20.885
F,2015,264,18.894
F,2015,265,18.832
F,2015,266,18.859
F,2015,267,19.308
F,2015,268,18.924
F,2015,269,17.995
F,2015,270,17.682
F,2015,271,18.062
F,2015,272,18.661
F,2015,273,19.109
F,2015,274,15.734
F,2015,275,15.637
F,2015,276,14.813
F,2015,277,14.474
F,2015,278,14.746
F,2015,279,15.264
F,2015,280,15.334
F,2015,281,15.139
F,2015,282,14.212
F,2015,283,13.669
F,2015,284,13.708
F,2015,285,14.431
F,2015,286,15.074
F,2015,287,14.671
F,2015,288,13.519
F,2015,289,13.377
F,2015,290,12.907
F,2015,291,11.742
F,2015,292,10.679
F,2015,293,10.654
F,2015,294,12.217
F,2015,295,11.484
F,2015,296,11.655
F,2015,297,10.524
F,2015,298,10.474
F,2015,299,10.925
F,2015,300,9.8957
F,2015,301,9.7983
F,2015,302,9.4990
F,2015,303,10.147
F,2015,304,9.4396
F,2015,305,9.3547
F,2015,306,9.8737
F,2015,307,10.174
F,2015,308,10.274
F,2015,309,10.080
F,2015,310,10.809
F,2015,311,11.384
F,2015,312,10.253
F,2015,313,9.4775
F,2015,314,9.4961
F,2015,315,9.4111
F,2015,316,9.9710
F,2015,317,10.176
F,2015,318,9.6271
F,2015,319,8.7544
F,2015,320,8.9077
F,2015,321,8.9047
F,2015,322,8.0853
F,2015,323,8.2981
F,2015,324,9.6408
F,2015,325,9.4138
F,2015,326,8.8643
F,2015,327,8.7497
F,2015,328,7.8789
F,2015,329,7.5533
F,2015,330,7.5790
F,2015,331,8.1254
F,2015,332,6.7241
F,2015,333,2.5162
F,2015,334,3.3724
F,2015,335,6.1683
F,2015,336,7.3780
F,2015,337,7.5731
F,2015,338,7.8834
F,2015,339,8.2756
F,2015,340,8.3453
F,2015,341,7.6349
F,2015,342,7.2404
F,2015,343,7.7235
F,2015,344,8.5705
F,2015,345,9.0778
F,2015,346,8.3373
F,2015,347,7.4963
F,2015,348,7.2169
F,2015,349,7.5927
F,2015,350,6.6302
F,2015,351,7.2868
F,2015,352,6.9328
F,2015,353,6.0309
F,2015,354,5.0076
F,2015,355,5.9079
F,2015,356,6.4282
F,2015,357,6.8390
F,2015,358,8.8947
F,2015,359,7.3728
F,2015,360,6.2141
F,2015,361,5.6491
F,2015,362,4.0797
F,2015,363,3.6945
F,2015,364,4.1053
F,2015,365,4.9218
F,2016,1,4.977349
F,2016,2,4.475458
F,2016,3,4.214169
F,2016,4,1.771043
F,2016,5,1.634105
F,2016,6,2.674856
F,2016,7,2.911922
F,2016,8,3.353469
F,2016,9,4.972101
F,2016,10,6.27457
F,2016,11,3.96055
F,2016,12,3.11234
F,2016,13,2.37869
F,2016,14,2.97525
F,2016,15,2.64567
F,2016,16,3.51518
F,2016,17,2.51454
F,2016,18,1.93772
F,2016,19,1.23327
F,2016,20,1.74286
F,2016,21,1.37236
F,2016,22,2.35010
F,2016,23,1.80443
F,2016,24,1.57516
F,2016,25,2.88872
F,2016,26,3.71710
F,2016,27,
F,2016,28,2.68236
F,2016,29,2.17170
F,2016,30,1.40506
F,2016,31,3.39580
F,2016,32,3.73833
F,2016,33,2.27696
F,2016,34,2.90332
F,2016,35,3.21341
F,2016,36,1.75224
